w tutej dobje rozłama jednota duchowneje a swětneje mocy .	w tutón doba rozłamać jednota duchowny a swětny moc .	ADP DET;ESS;FEM;SG ESS;FEM;N;SG 3;FIN;IND;PST;SG;V FEM;N;NOM;SG ADJ;FEM;GEN;SG CONJ ADJ;FEM;GEN;SG FEM;GEN;N;SG _
přez pozdźiše wikowanske poćahi so dósta wopřijeće wina wot germanow hač do słowjanow ( hlej serbske wopřijeće wino a ruske słowo vinó ) a hač do baltow , při čimž na př . w litawskej wopřijeće vynas a w letiskej słowo vins stej znatej .	přez pózdni wikowanski poćah so dóstać wopřijeće wino wot german hač do słowjan ( hladać serbski wopřijeće wino a ruski słowo vinó ) a hač do balt , při štož na přikład . w litawska wopřijeće vynas a w letiska słowo vins być znaty .	ADP ACC;ADJ;CMPR;INAN;MASC;PL ACC;ADJ;INAN;MASC;PL ACC;INAN;MASC;N;PL ACC;PRO;REFL 3;FIN;IND;PST;SG;V N;NEUT;NOM;SG GEN;N;NEUT;SG ADP ANIM;GEN;MASC;PL;PROPN CONJ ADP ANIM;GEN;MASC;PL;PROPN _ 2;FIN;IMP;SG;V ACC;ADJ;NEUT;SG ACC;N;NEUT;SG N;NEUT;NOM;SG CONJ ACC;ADJ;NEUT;SG ACC;N;NEUT;SG _ _ CONJ CONJ ADP ANIM;GEN;MASC;PL;PROPN _ ADP ESS;NEUT;PRO;SG ADP ACC;INAN;MASC;N;SG _ ADP ESS;FEM;PROPN;SG N;NEUT;NOM;SG _ CONJ ADP ESS;FEM;PROPN;SG N;NEUT;NOM;SG _ 3;DU;FIN;IND;PRS;V ADJ;DU;NEUT;NOM;PASS;V.PTCP _
so móže widźeć tute hdyž tróšku wody bu kapana na njerozpušćomny powjerch kaž škleńcu .	so móc widźeć tutón hdyž tróšku woda być kapany na rozpušćomny powjerch kaž škleńca .	ACC;PRO;REFL 3;FIN;IND;PRS;SG;V NFIN;V ACC;DET;FEM;PL CONJ DET FEM;GEN;N;SG 3;FIN;IND;PASS;PST;SG;V ADJ;FEM;NOM;PASS;SG;V.PTCP ADP ACC;ADJ;INAN;MASC;NEG;SG ACC;INAN;MASC;N;SG CONJ ACC;FEM;N;SG _
december započnje so ze samsnym dnjom tydźenja kaž september .	december započeć so z samsny dźeń tydźeń kaž september .	INAN;MASC;N;NOM;SG 3;FIN;IND;PRS;SG;V ACC;PRO;REFL ADP ADJ;INS;MASC;SG INAN;INS;MASC;N;SG GEN;INAN;MASC;N;SG CONJ INAN;MASC;N;NOM;SG _
při tym pisachu jenož konsonanty , wokale so w přisłušnym pismje njepisaše ( samsne płaći za prapisma biblije kaž tež hieroglyfowe pismo egyptowčanow ) .	při to pisać jenož konsonant , wokal so w přisłušny pismo pisać ( samsny płaćić za prapismo biblija kaž tež hieroglyfowy pismo egyptowčan ) .	ADP INS;NEUT;PRO;SG 3;FIN;IND;PL;PST;V PART ACC;INAN;MASC;N;PL _ INAN;MASC;N;NOM;PL ACC;PRO;REFL ADP ADJ;ESS;NEUT;SG ESS;N;NEUT;SG 3;FIN;IND;NEG;PST;SG;V _ ADJ;NEUT;NOM;SG 3;FIN;IND;PST;SG;V ADP ACC;N;NEUT;PL FEM;GEN;PROPN;SG CONJ ADV ACC;ADJ;NEUT;SG ACC;N;NEUT;SG ANIM;GEN;MASC;PL;PROPN _ _
w indiskej so wjace hač 400 rěčow rěči .	w indiska so wjele hač 400 rěč rěčeć .	ADP ESS;FEM;PROPN;SG ACC;PRO;REFL ADV;CMPR CONJ NUM FEM;GEN;N;PL 3;FIN;IND;PRS;SG;V _
london ( wurjekowanje ) je stolica jendźelskeje a tež stolica zjednoćeneho kralestwa wulkobritaniskeje a sewjerneje irskeje .	london ( wurjekowanje ) być stolica jendźelska a tež stolica zjednoćeny kralestwo wulkobritaniska a sewjerny irska .	INAN;MASC;NOM;PROPN;SG _ N;NEUT;NOM;SG _ 3;FIN;IND;PRS;SG;V FEM;N;NOM;SG FEM;GEN;PROPN;SG CONJ ADV FEM;N;NOM;SG ADJ;GEN;NEUT;SG GEN;N;NEUT;SG FEM;GEN;PROPN;SG CONJ ADJ;FEM;GEN;SG FEM;GEN;PROPN;SG _
tute wobrazowe pismo dowoli ludźom , wšědne wěcy lěpje organizować .	tutón wobrazowy pismo dowolić čłowjek , wšědny wěc derje organizować .	DET;NEUT;NOM;SG ADJ;NEUT;NOM;SG N;NEUT;NOM;SG 3;FIN;IND;PRS;SG;V ANIM;DAT;MASC;N;SG _ ACC;ADJ;FEM;PL ACC;FEM;N;PL ADV;CMPR NFIN;V _
cirkulacija wody mjez oceanami a powětrom zwjetša kreěruje wjedro .	cirkulacija woda mjez ocean a powětr zwjetša kreěrować wjedro .	FEM;N;NOM;SG FEM;GEN;N;SG ADP INAN;INS;MASC;N;PL CONJ INAN;INS;MASC;N;SG ADV 3;FIN;IND;PRS;SG;V ACC;N;NEUT;SG _
dokelž woda je trěbna za čłowjekowe , zwěrjatkowe a rostlinowe žiwjenje , jeje disponujomnosć ma wulku wažnosć sociusku a politisku .	dokelž woda być trěbny za čłowjekowy , zwěrjatkowy a rostlinowy žiwjenje , jeje disponujomnosć měć wulki wažnosć sociuski a politiski .	CONJ FEM;N;NOM;SG 3;FIN;IND;PRS;SG;V ADJ;FEM;NOM;SG ADP ACC;ADJ;NEUT;SG _ ACC;ADJ;NEUT;SG CONJ ACC;ADJ;NEUT;SG ACC;N;NEUT;SG _ 3;DET;PSSS FEM;N;NOM;SG 3;FIN;IND;PRS;SG;V ACC;ADJ;FEM;SG ACC;FEM;N;SG ACC;ADJ;FEM;SG CONJ ACC;ADJ;FEM;SG _
detaile su na stronje předłohi .	detail być na strona předłoha .	INAN;MASC;N;NOM;PL 3;FIN;IND;PL;PRS;V ADP ESS;FEM;N;SG FEM;GEN;N;SG _
běchu fazy , kotrež buchu přez wulke mócnarstwa dominowane a druhe , w kotrychž mócy ze susodnych regionow dobywanske wójnske wuprawy wjedźechu .	być faza , kotryž być přez wulki mócnarstwo dominowany a druhi , w kotryž móc z susodny region dobywanski wójnski wuprawa wjedźec .	3;FIN;IND;PL;PST;V FEM;N;NOM;PL _ DET;FEM;NOM;PL 3;FIN;IND;PASS;PL;PST;V ADP ACC;ADJ;NEUT;PL ACC;N;NEUT;PL ADJ;FEM;NOM;PASS;PL;V.PTCP CONJ ADJ;FEM;NOM;PL _ ADP DET;ESS;FEM;PL FEM;GEN;N;SG ADP ADJ;GEN;MASC;PL GEN;INAN;MASC;N;PL ADJ;FEM;NOM;PL ADJ;FEM;NOM;PL FEM;N;NOM;PL 3;FIN;IND;PL;PST;V _
jeli namakaš nastawk , kotryž wobsahuje wobrazy z prostej wulkosću , je zdwórliwe najprjedy diskutować před wulkimi změnami .	jeli namakać nastawk , kotryž wobsahować wobraz z prosty wulkosć , być zdwórliwy bórze diskutować před wulki změna .	CONJ 2;FIN;IND;PRS;SG;V ACC;INAN;MASC;N;SG _ DET;INAN;MASC;NOM;SG 3;FIN;IND;PRS;SG;V ACC;INAN;MASC;N;PL ADP ADJ;FEM;INS;SG FEM;INS;N;SG _ 3;FIN;IND;PRS;SG;V ADJ;NEUT;NOM;SG ADV;RL NFIN;V ADP ADJ;FEM;INS;PL FEM;INS;N;PL _
wšě nastawki w tutym kapitlu maja markěrowanje přez předłohu { { ekscelentny } } .	wšě nastawk w tutón kapitl měć markěrowanje přez předłoha { { ekscelentny } } .	DET;NOM;PL INAN;MASC;N;NOM;PL ADP DET;ESS;INAN;MASC;SG ESS;INAN;MASC;N;SG 3;FIN;IND;PL;PRS;V ACC;N;NEUT;SG ADP ACC;FEM;N;SG _ _ ADJ;MASC;NOM;SG _ _ _
slepo je wuchodnosakska wjes a sydło gmejny ze samsnym mjenom a zarjadniskeho zjednoćenstwa slepo we wokrjesu zhorjelc .	slepo być wuchodnosakski wjes a sydło gmejna z samsny mjeno a zarjadniski zjednoćenstwo slepo w wokrjes zhorjelc .	NEUT;NOM;PROPN;SG 3;FIN;IND;PRS;SG;V ADJ;FEM;NOM;SG FEM;N;NOM;SG CONJ N;NEUT;NOM;SG FEM;GEN;N;SG ADP ADJ;INS;NEUT;SG INS;N;NEUT;SG CONJ ADJ;GEN;NEUT;SG GEN;N;NEUT;SG NEUT;NOM;PROPN;SG ADP ESS;INAN;MASC;N;SG INAN;MASC;NOM;PROPN;SG _
kral nabopolassar dobywa naposledk nad assyriskej .	kral nabopolassar dobywać naposledk nad assyriska .	ANIM;MASC;N;NOM;SG ANIM;MASC;NOM;PROPN;SG 3;FIN;IND;PST;SG;V ADV ADP FEM;INS;PROPN;SG _
( njewěm , hač trjebamy separatnu lisćinu za tute nastawki . - - tlustulimu 20 : 04 , 4 . jan 2008 ( cet ) )	( wědźeć , hač trjebać separatny lisćina za tutón nastawk . - - tlustulimu 20 : 04 , 4 . januar 2008 ( cet ) )	_ 1;FIN;IND;NEG;PRS;SG;V _ CONJ 1;FIN;IND;PL;PRS;V ACC;ADJ;FEM;SG ACC;FEM;N;SG ADP ACC;DET;INAN;MASC;PL ACC;INAN;MASC;N;PL _ _ _ PROPN;SG NUM _ NUM _ NUM _ N NUM _ PROPN _ _
po aktualnej systematice eukaryotow wot adl a . d . ( 2005 ) [ 2 ] njesłuša zastupjerje zelenych algow a tež čerwjenych algow , kotrež buchu dołho k rostlinam ličene , wjace k plantae .	po aktualny systematika eukaryot wot adl a . d . ( 2005 ) [ 2 ] słušeć zastupjer zeleny alga a tež čerwjeny alga , kotryž być dołho k rostlina ličeny , wjele k plantae .	ADP ADJ;ESS;FEM;SG ESS;FEM;N;SG GEN;INAN;MASC;N;PL ADP PROPN CONJ _ ADJ;PL _ _ NUM _ _ NUM _ 3;FIN;IND;NEG;PRS;SG;V ANIM;MASC;N;NOM;PL ADJ;FEM;GEN;PL FEM;GEN;N;PL CONJ ADV ADJ;FEM;GEN;PL FEM;GEN;N;PL _ DET;FEM;NOM;PL 3;FIN;IND;PASS;PL;PST;V ADV ADP DAT;FEM;N;PL ADJ;FEM;NOM;PASS;PL;V.PTCP _ ADV;CMPR ADP _ _
6 . wobmjezowanja wupožčenja płaća za a ) knihi a časopisy , kiž dyrbja w čitarni za wužiwarjow kóždy čas k dispoziciji stać , b ) serbske periodika ( hač na časopis maćicy serbskeje a lětopis ) a t . mj . historiske časopisy , c ) před 1950 wušłe knihi ( wuwzaće : knihi , kiž su we wjacorych eksemplarach we wobstatku a k drohoćinkam njeliča ) .	6 . wobmjezowanje wupožčenje płaćić za a ) kniha a časopis , kiž dyrbjeć w čitarnja za wužiwar kóždy čas k dispozicija stać , b ) serbski periodikum ( hač na časopis maćica serbski a lětopis ) a to . mj . historiski časopis , c ) před 1950 wušły kniha ( wuwzaće : kniha , kiž być w wjacory eksemplar w wobstatk a k drohoćinka ličić ) .	NUM _ N;NEUT;NOM;PL GEN;N;NEUT;SG 3;FIN;IND;PL;PRS;V ADP _ _ FEM;N;NOM;PL CONJ INAN;MASC;N;NOM;PL _ NOM;PL;PRO 3;FIN;IND;PL;PRS;V ADP ESS;FEM;N;SG ADP ACC;ANIM;MASC;N;PL ACC;DET;INAN;MASC;SG ACC;INAN;MASC;N;SG ADP DAT;FEM;N;SG NFIN;V _ _ _ ADJ;NEUT;NOM;PL N;NEUT;NOM;PL _ CONJ ADP ACC;INAN;MASC;N;SG FEM;GEN;PROPN;SG ADJ;FEM;GEN;SG CONJ ACC;INAN;MASC;N;SG _ CONJ NEUT;PRO;SG _ 3;FIN;IND;PRS;SG;V _ ACC;ADJ;INAN;MASC;PL ACC;INAN;MASC;N;PL _ _ _ ADP NUM ACT;ADJ;FEM;NOM;PL;PST;V.PTCP FEM;N;NOM;PL _ N;NEUT;NOM;SG _ FEM;N;NOM;PL _ NOM;PL;PRO 3;FIN;IND;PL;PRS;V ADP ADJ;ESS;MASC;PL ESS;INAN;MASC;N;PL ADP ESS;INAN;MASC;N;SG CONJ ADP DAT;FEM;N;PL 3;FIN;IND;NEG;PL;PRS;V _ _
w babylonskej so lětnje mjěna ( po wažnym podawkom ) hač do časa knjejstwa krala kurigalzu i . wužiwachu , po tym wužiwa so zwjetša jenož lěto knjejstwa krala jako referencu .	w babylonska so lětnje mjeno ( po wažny podawk ) hač do čas knjejstwo kral kurigalzu i . wužiwać , po tón wužiwać so zwjetša jenož lěto knjejstwo kral jako referenca .	ADP ESS;FEM;PROPN;SG ACC;PRO;REFL ADV N;NEUT;NOM;PL _ ADP ADJ;INS;MASC;SG INAN;INS;MASC;N;SG _ ADV ADP GEN;INAN;MASC;N;SG GEN;N;NEUT;SG ANIM;GEN;MASC;N;SG ANIM;MASC;NOM;PROPN;SG NUM _ 3;FIN;IND;PL;PST;V _ ADP DET;ESS;NEUT;SG 3;FIN;IND;PRS;SG;V ACC;PRO;REFL ADV PART N;NEUT;NOM;SG GEN;N;NEUT;SG ANIM;GEN;MASC;N;SG CONJ ACC;FEM;N;SG _
nimo toho so tu tež diskusija wo namjetach wotměwa .	nimo to so tu tež diskusija wo namjet wotměwać .	ADP GEN;NEUT;PRO;SG ACC;PRO;REFL ADV ADV FEM;N;NOM;SG ADP ESS;INAN;MASC;N;PL 3;FIN;IND;PRS;SG;V _
pozicija tutych štyrjoch skupinow mjez sobu hišće njeje doskónčnje wujasnjena .	pozicija tutón štyri skupina mjez so hišće być doskónčnje wujasnjeny .	FEM;N;NOM;SG DET;FEM;GEN;PL FEM;GEN;NUM FEM;GEN;N;PL ADP INS;PRO;REFL ADV 3;FIN;IND;NEG;PRS;SG;V ADV ADJ;FEM;NOM;PASS;SG;V.PTCP _
přez rjad synchronizmow hodźi so najwjace babylonskich kralow ( po sumeriskej a babylonskej lisćinje kralow a ) do systema zasunyć .	přez rjad synchronizm hodźić so wjele babylonski kral ( po sumeriski a babylonski lisćina kral a ) do system zasunyć .	ADP ACC;INAN;MASC;N;SG GEN;INAN;MASC;N;PL 3;FIN;IND;PRS;SG;V ACC;PRO;REFL DET;RL ADJ;GEN;MASC;PL ANIM;GEN;MASC;N;PL _ ADP ADJ;ESS;FEM;SG CONJ ADJ;ESS;FEM;SG ESS;FEM;N;SG ANIM;GEN;MASC;N;PL _ _ ADP GEN;INAN;MASC;N;SG NFIN;V _
móžeš tež při tym pomhać , nastawki ze serbskej tematiku z němskorěčneje wikipedije a druhich wikipedijow přełožować abo přełožować dać a je jow załožić .	móc tež při to pomhać , nastawk z serbski tematika z němskorěčny wikipedija a druhi wikipedija přełožować abo přełožować dać a wón jow załožić .	2;FIN;IND;PRS;SG;V ADV ADP ESS;NEUT;PRO;SG NFIN;V _ ACC;INAN;MASC;N;PL ADP ADJ;FEM;INS;SG FEM;INS;N;SG ADP ADJ;FEM;GEN;SG FEM;GEN;PROPN;SG CONJ ADJ;FEM;GEN;PL FEM;GEN;PL;PROPN NFIN;V CONJ NFIN;V NFIN;V CONJ 3;ACC;INAN;MASC;PL;PRO ADV NFIN;V _
z werba danci " rejować " móže substantiw nastać danco " reja " , adjektiw danca " rejowanski " a adwerb dance " rejowansce " , ale tež z substantiwa martelo " hamor " móže nastać werb marteli " klepać z hamorom " , adjektiw martela " hamorowy " a adwerb martele " z hamorom " .	z werb danci " rejować " móc substantiw nastać danco " reja " , adjektiw danca " rejowanski " a adwerb dance " rejowansce " , ale tež z substantiw martelo " hamor " móc nastać werb marteli " klepać z hamor " , adjektiw martela " hamorowy " a adwerb martele " z hamor " .	ADP GEN;INAN;MASC;N;SG _ _ NFIN;V _ 3;FIN;IND;PRS;SG;V INAN;MASC;N;NOM;SG NFIN;V _ _ FEM;N;NOM;SG _ _ INAN;MASC;N;NOM;SG _ _ ADJ;MASC;NOM;SG _ CONJ INAN;MASC;N;NOM;SG _ _ ADV _ _ CONJ ADV ADP GEN;INAN;MASC;N;SG _ _ INAN;MASC;N;NOM;SG _ 3;FIN;IND;PRS;SG;V NFIN;V INAN;MASC;N;NOM;SG _ _ NFIN;V ADP INAN;INS;MASC;N;SG _ _ INAN;MASC;N;NOM;SG _ _ ADJ;MASC;NOM;SG _ CONJ INAN;MASC;N;NOM;SG _ _ ADP INAN;INS;MASC;N;SG _ _
pod aššur - uballit i . om ( 1353 - 1318 př . n . l . ) naby assyriska swój wliw wróćo .	pod aššur - uballit i . om ( 1353 - 1318 před . naš . lětoličba . ) nabyć assyriska swój wliw wróćo .	ADP ANIM;MASC;NOM;PROPN;SG _ ANIM;MASC;NOM;PROPN;SG NUM _ ANIM;INS;MASC;PROPN;SG _ NUM _ NUM ADP _ 1;DET;FEM;INS;PSSP;SG _ FEM;INS;N;SG _ _ 3;FIN;IND;PST;SG;V FEM;NOM;PROPN;SG ACC;DET;INAN;MASC;REFL;SG ACC;INAN;MASC;N;SG ADV _
tutón so při zrałoće do płoda přetworjuje , při čimž so dalše dźěle kćenja móžeja wobdźělować .	tutón so při zrałoći do płod přetworjować , při štož so dalši dźěl kćenje móc wobdźělować .	DET;NOM;SG ACC;PRO;REFL ADP ADJ;ESS;FEM;SG ADP GEN;INAN;MASC;N;SG 3;FIN;IND;PRS;SG;V _ ADP ESS;NEUT;PRO;SG ACC;PRO;REFL ADJ;INAN;MASC;NOM;PL INAN;MASC;N;NOM;PL GEN;N;NEUT;SG 3;FIN;IND;PL;PRS;V NFIN;V _
při ćežkej a přećežkej wodźe normalny wodźikowy atom ( protium , symbol h ) so přez jeju ćežkej izotopaj deuterium abo tritium naruna .	při ćežki a přećežki woda normalny wodźikowy atom ( protium , symbol h ) so přez jeju ćežki izotop deuterium abo tritium narunać .	ADP ADJ;ESS;FEM;SG CONJ ADJ;ESS;FEM;SG ESS;FEM;N;SG ADJ;MASC;NOM;SG ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG _ INAN;MASC;N;NOM;SG _ INAN;MASC;N;NOM;SG NOM;PROPN _ ACC;PRO;REFL ADP 3;ACC;DET;DU;FEM;PSSD ACC;ADJ;DU;FEM ACC;DU;INAN;MASC;N INAN;MASC;N;NOM;SG CONJ INAN;MASC;N;NOM;SG 3;FIN;IND;PL;PRS;V _
tutón nastawk resp . wotrězk hišće ma wobsahowe mjezoty : faluje wjele družinow .	tutón nastawk resp . wotrězk hišće měć wobsahowy mjezota : falować wjele družina .	DET;MASC;NOM;SG INAN;MASC;N;NOM;SG ADV _ INAN;MASC;N;NOM;SG ADV 3;FIN;IND;PRS;SG;V ACC;ADJ;FEM;PL ACC;FEM;N;PL _ 3;FIN;IND;PRS;SG;V DET FEM;GEN;N;PL _
projekt je nastał w kooperaciji z rěčnym centrumom witaj .	projekt być nastać w kooperacija z rěčny centrum witaj .	INAN;MASC;N;NOM;SG 3;FIN;IND;PRS;SG;V ACT;MASC;PST;SG;V;V.PTCP ADP ESS;FEM;N;SG ADP ADJ;INS;MASC;SG INAN;INS;MASC;N;SG INAN;MASC;NOM;PROPN;SG _
chronologija zepěra so na assyrisku lisćinu kralow , lisćinu eponymow a chroniku eponymow .	chronologija zepěrać so na assyriski lisćina kral , lisćina eponym a chronika eponym .	FEM;N;NOM;SG 3;FIN;IND;PRS;SG;V ACC;PRO;REFL ADP ACC;ADJ;FEM;SG ACC;FEM;N;SG ANIM;GEN;MASC;N;PL _ ACC;FEM;N;SG GEN;INAN;MASC;N;PL CONJ ACC;FEM;N;SG GEN;INAN;MASC;N;PL _
ale tež podkasty hižo eksistuja .	ale tež podkast hižo eksistować .	CONJ ADV INAN;MASC;N;NOM;PL ADV 3;FIN;IND;PL;PRS;V _
hammurabi je znaty , dokelž spisa jednu z prěnich traděrowanych zběrkow zakonjow , tak mjenowany kodeks hammurabi .	hammurabi być znaty , dokelž spisać jedyn z prěni traděrowany zběrka zakoń , tak mjenowany kodeks hammurabi .	ANIM;MASC;N;NOM;SG 3;FIN;IND;PRS;SG;V ADJ;MASC;NOM;PASS;SG;V.PTCP _ CONJ 3;FIN;IND;PST;SG;V ACC;FEM;NUM;SG ADP ADJ;FEM;GEN;PL ADJ;FEM;GEN;PL FEM;GEN;N;PL GEN;INAN;MASC;N;PL _ ADV ACC;ADJ;INAN;MASC;PASS;SG;V.PTCP ACC;INAN;MASC;N;SG ANIM;MASC;NOM;PROPN;SG _
tak zapřijeće " jěsć " předstaji so přez symbolej " huba " a " chlěb " .	tak zapřijeće " jěsć " předstajić so přez symbol " huba " a " chlěb " .	ADV N;NEUT;NOM;SG _ NFIN;V _ 3;FIN;IND;PRS;SG;V ACC;PRO;REFL ADP ACC;DU;INAN;MASC;N _ FEM;N;NOM;SG _ CONJ _ INAN;MASC;N;NOM;SG _ _
2 . wotewrjenske časy serbskeje centralneje biblioteki su	2 . wotewrjenski čas serbski centralny biblioteka być	NUM _ ADJ;INAN;MASC;NOM;PL INAN;MASC;N;NOM;PL ADJ;FEM;GEN;SG ADJ;FEM;GEN;SG FEM;GEN;N;SG 3;FIN;IND;PL;PRS;V
woda je chemiska wjazba , kotraž je njeparujomna za wšěch žiwochow na zemi .	woda być chemiski wjazba , kotryž być parujomny za wšě žiwoch na zemja .	FEM;N;NOM;SG 3;FIN;IND;PRS;SG;V ADJ;FEM;NOM;SG FEM;N;NOM;SG _ DET;FEM;NOM;SG 3;FIN;IND;PRS;SG;V ADJ;FEM;NEG;NOM;SG ADP ACC;ANIM;DET;MASC;PL ACC;MASC;N;NHUM;PL ADP ESS;FEM;N;SG _
assur , geografisce ležo při wažnych wikowanskich pućach , wikowaše z babylonom , anatolskej a dźensnišim iranom .	assur , geografisce ležeć při wažny wikowanski puć , wikować z babylon , anatolska a dźensniši iran .	INAN;MASC;NOM;PROPN;SG _ ADV 3;IND;PRS;V;V.PTCP ADP ADJ;ESS;MASC;PL ADJ;ESS;MASC;PL ESS;INAN;MASC;N;PL _ 3;FIN;IND;PST;SG;V ADP INAN;INS;MASC;PROPN;SG _ FEM;INS;PROPN;SG CONJ ADJ;INS;MASC;SG INAN;INS;MASC;PROPN;SG _
po horjeka naspomnjenej definiciji je ablawt tež w zapado - a serwjernogermanšćinje rozšerjeny přezwuk ( na př . němsce maus - mäuse , mäuslein ; fahren - fährt ) , kotryž bu přez - i / j - w sćěhowacej złóžce zawinowany .	po horjeka naspomnjeny definicija być ablawt tež w zapado - a serwjernogermanšćina rozšerjeny přezwuk ( na přikład . němsce maus - mäuse , mäuslein ; fahren - fährt ) , kotryž być přez - i / j - w sćěhowacy złóžka zawinowany .	ADP ADV ADJ;ESS;FEM;PASS;SG;V.PTCP ESS;FEM;N;SG 3;FIN;IND;PRS;SG;V INAN;MASC;N;NOM;SG ADV ADP ADJ _ CONJ ESS;FEM;N;SG ADJ;MASC;NOM;PASS;SG;V.PTCP INAN;MASC;N;NOM;SG _ ADP ACC;INAN;MASC;N;SG _ ADV _ _ _ _ _ _ _ _ _ _ _ DET;INAN;MASC;NOM;SG 3;FIN;IND;PASS;PST;SG;V ADP _ _ _ _ _ ADP ACT;ADJ;ESS;FEM;PRS;SG;V.PTCP ESS;FEM;N;SG ADJ;MASC;NOM;PASS;SG;V.PTCP _
naš zaměr je , serbski słowoskład tak šěroko kaž móžno registrować , tak zo budu w nim tež słowa , kiž hišće njejsu nihdźe registrowane .	naš zaměr być , serbski słowoskład tak šěroko kaž móžno registrować , tak zo być w wón tež słowo , kiž hišće być nihdźe registrowany .	1;DET;MASC;NOM;PSSP;SG INAN;MASC;N;NOM;SG 3;FIN;IND;PRS;SG;V _ ACC;ADJ;MASC;SG ACC;INAN;MASC;N;SG ADV ADV CONJ ADV NFIN;V _ ADV CONJ 3;FIN;FUT;IND;PL;V ADP 3;ESS;MASC;PRO;SG ADV N;NEUT;NOM;PL _ NOM;PRO ADV 3;FIN;IND;NEG;PL;PRS;V ADV ADJ;NOM;PASS;PL;V.PTCP _
3 . wužiwanje biblioteki je bjezpłatne .	3 . wužiwanje biblioteka być bjezpłatny .	NUM _ N;NEUT;NOM;SG FEM;GEN;N;SG 3;FIN;IND;PRS;SG;V ADJ;NEUT;NOM;SG _
serbja we łužicomaj słyšachu k połobskosłowjanskim kmjenam , kotrež so wot 6 . lětstotka sem mjez wódru a łobjom / solawu zasydlichu .	serb w łužica słyšać k połobskosłowjanski kmjen , kotryž so wot 6 . lětstotk sem mjez wódra a łobjo / solawa zasydlić .	ANIM;MASC;N;NOM;PL ADP DU;ESS;FEM;PROPN 3;FIN;IND;PL;PST;V ADP ADJ;DAT;MASC;PL DAT;INAN;MASC;N;PL _ DET;INAN;MASC;NOM;PL ACC;PRO;REFL ADP NUM _ GEN;INAN;MASC;N;SG ADV ADP FEM;INS;PROPN;SG CONJ INS;NEUT;PROPN;SG _ FEM;INS;PROPN;SG 3;FIN;IND;PL;PST;V _
sukcesiwnje zadźěła so do njeje tež wobsah zažnišich bibliografijow ( dotal : w budyšinje wušłe knihi wot 1958 ) .	sukcesiwnje zadźěłać so do wón tež wobsah zažny bibliografija ( dotal : w budyšin wušły kniha wot 1958 ) .	ADV 3;FIN;IND;PRS;SG;V ACC;PRO;REFL ADP 3;FEM;GEN;PRO;SG ADV INAN;MASC;N;NOM;SG ADJ;CMPR;FEM;GEN;PL FEM;GEN;N;PL _ ADV _ ADP ESS;INAN;MASC;PROPN;SG ACT;ADJ;FEM;NOM;PL;PST;V.PTCP FEM;N;NOM;PL ADP NUM _ _
to zmóžni narod literatury , kaž so tež na př . w gilgamešowym eposu wotbłyšćowaše , kotryž je w cyłym region znaty był .	to zmóžnić narod literatura , kaž so tež na přikład . w gilgamešowy epos wotbłyšćować , kotryž być w cyły region znaty być .	NEUT;NOM;PRO;SG 3;FIN;IND;PST;SG;V ACC;INAN;MASC;N;SG FEM;GEN;N;SG _ CONJ ACC;PRO;REFL ADV ADP ACC;INAN;MASC;N;SG _ ADP ADJ;ESS;MASC;SG ESS;INAN;MASC;N;SG 3;FIN;IND;PST;SG;V _ DET;MASC;NOM;SG 3;FIN;IND;PRS;SG;V ADP ADJ;ESS;MASC;SG INAN;MASC;N;NOM;SG ADJ;MASC;NOM;PASS;SG;V.PTCP ACT;MASC;PST;SG;V;V.PTCP _
serbski institut ze sydłom w budyšinje a wotnožku w choćebuzu je so k 1 . januarej 1992 wot swobodneho stata sakska zhromadnje z krajom braniborska wutworił .	serbski institut z sydło w budyšin a wotnožka w choćebuz być so k 1 . januar 1992 wot swobodny stat sakska zhromadnje z kraj braniborska wutworić .	ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG ADP INS;N;NEUT;SG ADP ESS;INAN;MASC;PROPN;SG CONJ FEM;INS;N;SG ADP ESS;INAN;MASC;PROPN;SG 3;FIN;IND;PRS;SG;V ACC;PRO;REFL ADP NUM _ DAT;INAN;MASC;N;SG NUM ADP ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG FEM;NOM;PROPN;SG ADV ADP INAN;INS;MASC;N;SG FEM;NOM;PROPN;SG ACT;MASC;PST;SG;V;V.PTCP _
w lěće 153 do krystusa wšak so spočatk lěta wo dwaj měsacaj doprědka sćahny , tak zo poćah mjez mjenom a ličenjom wotpadny .	w lěto 153 do krystus wšak so spočatk lěto wo dwaj měsac doprědka sćahnyć , tak zo poćah mjez mjeno a ličenje wotpadnyć .	ADP ESS;N;NEUT;SG NUM ADP ANIM;GEN;MASC;PROPN;SG CONJ ACC;PRO;REFL INAN;MASC;N;NOM;SG GEN;N;NEUT;SG ADP ACC;DU;INAN;MASC;NUM ACC;DU;INAN;MASC;N ADV 3;FIN;IND;PST;SG;V _ ADV CONJ INAN;MASC;N;NOM;SG ADP INS;N;NEUT;SG CONJ INS;N;NEUT;SG 3;FIN;IND;PST;SG;V _
