1 quaffle ( volleyball , frisbee , soccer ball , etc . )	1 quaffle ( volleyball , frisbee , soccer ball , etc . )	NUM N;SG _ N;SG _ N;SG _ N;SG N;SG _ _ _ _
make sure the shelter box has no nails or safety hazards .	make sure the shelter box have no nail or safety hazard .	NFIN;V ADV DEF;DET N;SG N;SG 3;FIN;IND;PRS;SG;V DET;NEG N;PL CONJ N;SG N;PL _
" i smacked them around . "	" i smack them around . "	_ 1;NOM;PRO;SG FIN;IND;PST;V 3;ACC;PL;PRO ADP _ _
dab 's starry lee ; from file , 2015 .	dab 's starry lee ; from file , @card@ .	PROPN;SG PART PROPN;SG PROPN;SG _ ADP N;SG _ NUM _
quinoa will continue cooking for a bit even after you take it off the heat .	quinoa will continue cook for a bit even after you take it off the heat .	N;SG FIN;V NFIN;V V;V.MSDR ADP DET;INDF N;SG ADV CONJ 2;NOM;PRO FIN;IND;PRS;V 3;ACC;NEUT;PRO;SG ADP DEF;DET N;SG _
remove the aluminum foil from the baking dish , add cheese or other seasonings , and bake for an additional 5 minutes .	remove the aluminum foil from the baking dish , add cheese or other seasoning , and bake for an additional 5 minute .	NFIN;V DEF;DET N;SG N;SG ADP DEF;DET N;SG N;SG _ NFIN;V N;SG CONJ DET N;PL _ CONJ NFIN;V ADP DET;INDF ADJ NUM N;PL _
the blog aims to help address " a gap between scientists and ' the general public ' . "	the blog aim to help address " a gap between scientist and ' the general public ' . "	DEF;DET N;SG 3;FIN;IND;PRS;SG;V PART NFIN;V NFIN;V _ DET;INDF N;SG ADP N;PL CONJ _ DEF;DET ADJ N;SG _ _ _
your santorum cocktail creation has already received media coverage from publications including ; the brooklyn paper , the new york times , jezebel , metro.us , edge on the net , and instinct magazine .	your santorum cocktail creation have already receive medium coverage from publication include ; the brooklyn paper , the new york times , jezebel , metro.us , edge on the net , and instinct magazine .	2;PRO PROPN;SG N;SG N;SG 3;FIN;IND;PRS;SG;V ADV PST;V;V.PTCP N;PL N;SG ADP N;PL V;V.MSDR _ DEF;DET PROPN;SG PROPN;SG _ DEF;DET PROPN;SG PROPN;SG PROPN;SG _ PROPN;SG _ PROPN;SG _ PROPN;SG ADP DEF;DET PROPN;SG _ CONJ PROPN;SG PROPN;SG _
k.c. maurer , chief financial officer and treasurer at the andy warhol foundation , said 500 institutions received the initial invitation and currently 190 universities have accepted one or more donations .	k.c. maurer , chief financial officer and treasurer at the andy warhol foundation , say @card@ institution receive the initial invitation and currently @card@ university have accept one or more donation .	PROPN;SG PROPN;SG _ ADJ ADJ N;SG CONJ N;SG ADP DEF;DET PROPN;SG PROPN;SG PROPN;SG _ FIN;IND;PST;V NUM N;PL FIN;IND;PST;V DEF;DET ADJ N;SG CONJ ADV NUM N;PL FIN;IND;PRS;V PST;V;V.PTCP NUM CONJ ADJ;CMPR N;PL _
get masking tape or packing tape and tape screws and other little things that came out of something back against it .	get mask tape or packing tape and tape screw and other little thing that come out of something back against it .	NFIN;V V;V.MSDR N;SG CONJ N;SG N;SG CONJ NFIN;V N;PL CONJ ADJ ADJ N;PL PRO FIN;IND;PST;V ADP ADP N;SG ADP ADP 3;NEUT;NOM;PRO;SG _
2 enjoy the basil fresh .	2 enjoy the basil fresh .	_ NFIN;V DEF;DET N;SG ADJ _
first , summary statistics of the study variables and racial categories were produced .	first , summary statistic of the study variable and racial category be produce .	ADV _ N;SG N;PL ADP DEF;DET N;SG N;PL CONJ ADJ N;PL FIN;IND;PST;V PST;V;V.PTCP _
la désirade : dry and cliffy .	la désirade : dry and cliffy .	PROPN;SG PROPN;SG _ ADJ CONJ ADJ _
beaters can try hitting the bludgers around in the air with a shortened hockey sticks or a short bat .	beater can try hit the bludger around in the air with a shorten hockey stick or a short bat .	N;PL FIN;V NFIN;V V;V.MSDR DEF;DET N;PL ADP ADP DEF;DET N;SG ADP DET;INDF PST;V;V.PTCP N;SG N;PL CONJ DET;INDF ADJ N;SG _
higuchi 's likeness adorns the japanese 5000 yen banknote as of fall 2004 , becoming the third woman to appear on a japanese banknote , after empress jingū in 1881 and murasaki shikibu in 2000 .	higuchi 's likeness adorn the japanese @card@ yen banknote as of fall @card@ , become the third woman to appear on a japanese banknote , after empress jingū in @card@ and murasaki shikibu in @card@ .	PROPN;SG PART N;SG 3;FIN;IND;PRS;SG;V DEF;DET ADJ NUM _ N;SG ADP ADP N;SG NUM _ V;V.MSDR DEF;DET ADJ N;SG PART NFIN;V ADP DET;INDF ADJ N;SG _ ADP PROPN;SG PROPN;SG ADP NUM CONJ PROPN;SG PROPN;SG ADP NUM _
nida has been a pioneer in the fields of translation theory and linguistics .	nida have be a pioneer in the field of translation theory and linguistics .	PROPN;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP DET;INDF N;SG ADP DEF;DET N;PL ADP N;SG N;SG CONJ N;SG _
wait until the fourth or fifth day of the festival when the crowds will have dwindled .	wait until the fourth or fifth day of the festival when the crowd will have dwindle .	NFIN;V ADP DEF;DET ADJ CONJ ADJ N;SG ADP DEF;DET N;SG CONJ DEF;DET N;PL FIN;V NFIN;V FIN;IND;PST;V _
sunday , october 21 , 2007	sunday , october @card@ , @card@	PROPN;SG _ PROPN;SG NUM _ NUM
the problem is how to enable the whole world to enter the new future , including the arabs .	the problem be how to enable the whole world to enter the new future , include the arabs .	DEF;DET N;SG 3;FIN;IND;PRS;SG;V CONJ PART NFIN;V DEF;DET ADJ N;SG PART NFIN;V DEF;DET ADJ N;SG _ V;V.MSDR DEF;DET PL;PROPN _
and other .	and other .	CONJ ADJ _
knowledge is power and wikihow has the potential to make all of us a bit more powerful .	knowledge be power and wikihow have the potential to make all of us a bit more powerful .	N;SG 3;FIN;IND;PRS;SG;V N;SG CONJ PROPN;SG 3;FIN;IND;PRS;SG;V DEF;DET N;SG PART NFIN;V PRO ADP 1;ACC;PL;PRO DET;INDF N;SG ADV ADJ _
i understood it was an oath to all of our people .	i understand it be an oath to all of our people .	1;NOM;PRO;SG FIN;IND;PST;V 3;NEUT;NOM;PRO;SG 3;FIN;IND;PST;SG;V DET;INDF N;SG ADP PRO ADP 1;PL;PRO N;PL _
belle	belle	PROPN;SG
some national companies even offer free shipping and handling so you can have some delivered or go to the local location .	some national company even offer free ship and handle so you can have some deliver or go to the local location .	DET ADJ N;PL ADV FIN;IND;PRS;V ADJ V;V.MSDR CONJ V;V.MSDR CONJ 2;NOM;PRO FIN;V NFIN;V PRO PST;V;V.PTCP CONJ NFIN;V ADP DEF;DET ADJ N;SG _
whether it is appropriate or not is another thing we leave to the pros to decide .	whether it be appropriate or not be another thing we leave to the pro to decide .	CONJ 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V ADJ CONJ PART 3;FIN;IND;PRS;SG;V DET N;SG 1;NOM;PL;PRO FIN;IND;PRS;V ADP DEF;DET N;PL PART NFIN;V _
fort lee is the first town on the new jersey side of the bridge .	fort lee be the first town on the new jersey side of the bridge .	PROPN;SG PROPN;SG 3;FIN;IND;PRS;SG;V DEF;DET ADJ N;SG ADP DEF;DET PROPN;SG PROPN;SG N;SG ADP DEF;DET N;SG _
we started working with a few of our friends , and colleagues and whatnot .	we start work with a few of our friend , and colleague and whatnot .	1;NOM;PL;PRO FIN;IND;PST;V V;V.MSDR ADP DET;INDF ADJ ADP 1;PL;PRO N;PL _ CONJ N;PL CONJ N;SG _
founded in 1871 , it has become the region 's primary political , cultural , economic , and transportation center .	found in @card@ , it have become the region 's primary political , cultural , economic , and transportation center .	PST;V;V.PTCP ADP NUM _ 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP DEF;DET N;SG PART ADJ ADJ _ ADJ _ ADJ _ CONJ N;SG N;SG _
mosques	mosque	N;PL
opening night , january 23 , 2014 , of the andy warhol exhibit of polaroids and screen prints at the university of southern indiana .	open night , january @card@ , @card@ , of the andy warhol exhibit of polaroid and screen print at the university of southern indiana .	V;V.MSDR N;SG _ PROPN;SG NUM _ NUM _ ADP DEF;DET PROPN;SG PROPN;SG N;SG ADP N;PL CONJ N;SG N;PL ADP DEF;DET PROPN;SG ADP PROPN;SG PROPN;SG _
it 's very soft stone that you can easily carve .	it be very soft stone that you can easily carve .	3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V ADV ADJ N;SG CONJ 2;NOM;PRO FIN;V ADV NFIN;V _
i did n't understand so i did n't say anything .	i do n't understand so i do n't say anything .	1;NOM;PRO;SG FIN;IND;PST;V NEG;PART NFIN;V CONJ 1;NOM;PRO;SG FIN;IND;PST;V NEG;PART NFIN;V N;SG _
andrew westphal is the director of stardust @ home .	andrew westphal be the director of stardust @ home .	PROPN;SG PROPN;SG 3;FIN;IND;PRS;SG;V DEF;DET N;SG ADP PROPN;SG ADP PROPN;SG _
cognitive games involve a number of different games working aspects of human cognition , while proposing the intersection between the sets of concepts , fun and cognition , for the improvement of cognitive functions .	cognitive game involve a number of different game work aspect of human cognition , while propose the intersection between the set of concept , fun and cognition , for the improvement of cognitive function .	ADJ N;PL FIN;IND;PRS;V DET;INDF N;SG ADP ADJ N;PL V;V.MSDR N;PL ADP ADJ N;SG _ CONJ V;V.MSDR DEF;DET N;SG ADP DEF;DET N;PL ADP N;PL _ N;SG CONJ N;SG _ ADP DEF;DET N;SG ADP ADJ N;PL _
do n't pinch on the lower part of the stem , or the basil plants will grow tall and reedy .	do n't pinch on the low part of the stem , or the basil plant will grow tall and reedy .	NFIN;V NEG;PART NFIN;V ADP DEF;DET ADJ;CMPR N;SG ADP DEF;DET N;SG _ CONJ DEF;DET N;SG N;PL FIN;V NFIN;V ADJ CONJ ADJ _
local music ( ragga , zouk , rnb ) and local customers .	local music ( ragga , zouk , rnb ) and local customer .	ADJ N;SG _ N;SG _ N;SG _ N;SG _ CONJ ADJ N;PL _
preston , victoria , australia	preston , victoria , australia	PROPN;SG _ PROPN;SG _ PROPN;SG
to rinse , place the measured grain in a strainer under running water for a few minutes .	to rinse , place the measure grain in a strainer under running water for a few minute .	PART NFIN;V _ NFIN;V DEF;DET ADJ N;SG ADP DET;INDF N;SG ADP ADJ N;SG ADP DET;INDF ADJ N;PL _
in addition to continuing to write , he convened and chaired the first international meeting on linguistic research in geneva in 1930 , and acted as president of the fourth international congress of linguists in copenhagen in 1936 .	in addition to continue to write , he convene and chair the first international meeting on linguistic research in geneva in @card@ , and act as president of the fourth international congress of linguists in copenhagen in @card@ .	ADP N;SG PART V;V.MSDR PART NFIN;V _ 3;MASC;NOM;PRO;SG FIN;IND;PST;V CONJ FIN;IND;PST;V DEF;DET ADJ PROPN;SG PROPN;SG ADP PROPN;SG PROPN;SG ADP PROPN;SG ADP NUM _ CONJ FIN;IND;PST;V ADP N;SG ADP DEF;DET ADJ PROPN;SG PROPN;SG ADP PROPN;SG ADP PROPN;SG ADP NUM _
when i was a young man in air force rotc i was chosen to attend a unique pilot training program called euro- nato joint jet pilot training .	when i be a young man in air force rotc i be choose to attend a unique pilot training program call euro- nato joint jet pilot training .	CONJ 1;NOM;PRO;SG 3;FIN;IND;PST;SG;V DET;INDF ADJ N;SG ADP PROPN;SG PROPN;SG PROPN;SG 1;NOM;PRO;SG 3;FIN;IND;PST;SG;V PST;V;V.PTCP PART NFIN;V DET;INDF ADJ PROPN;SG PROPN;SG PROPN;SG PST;V;V.PTCP PROPN;SG PROPN;SG PROPN;SG PROPN;SG PROPN;SG PROPN;SG _
ingredients	ingredient	N;PL
climate	climate	N;SG
from the later 1800s to the 1920s mérida enjoyed prosperous boom times fueled by the henequen or sisal plant harvest , which made yucatán the rope maker to the world .	from the later 1800s to the 1920s mérida enjoy prosperous boom time fuel by the henequen or sisal plant harvest , which make yucatán the rope maker to the world .	ADP DEF;DET ADJ;CMPR N;PL ADP DEF;DET N;PL PROPN;SG FIN;IND;PST;V ADJ N;SG N;PL PST;V;V.PTCP ADP DEF;DET N;SG CONJ N;SG N;SG N;SG _ PRO FIN;IND;PST;V PROPN;SG DEF;DET N;SG N;SG ADP DEF;DET N;SG _
method two of two : reducing stress in the chicken	method two of two : reduce stress in the chicken	N;SG NUM ADP NUM _ V;V.MSDR N;SG ADP DEF;DET N;SG
he steps off the moving sidewalk near you : tall , hook-nosed , the fashionable whorls of pox and acne making constellations of his cheeks and chest ; the glowing , formal tattoos of his committees and lifebrands adorning his massive triceps .	he step off the move sidewalk near you : tall , hook-nosed , the fashionable whorl of pox and acne make constellation of his cheek and chest ; the glowing , formal tattoo of his committee and lifebrands adorn his massive triceps .	3;MASC;NOM;PRO;SG 3;FIN;IND;PRS;SG;V ADP DEF;DET V;V.MSDR N;SG ADP 2;ACC;PRO _ ADJ _ ADJ _ DEF;DET ADJ N;PL ADP N;SG CONJ N;SG V;V.MSDR N;PL ADP 3;MASC;PRO;SG N;PL CONJ N;SG _ DEF;DET ADJ _ ADJ N;PL ADP 3;MASC;PRO;SG N;PL CONJ N;PL V;V.MSDR 3;MASC;PRO;SG ADJ N;PL _
since most people are going there anyway , you can always ask people to share taxi .	since most people be go there anyway , you can always ask people to share taxi .	CONJ ADJ;RL N;PL FIN;IND;PRS;V PRS;V;V.PTCP ADV ADV _ 2;NOM;PRO FIN;V ADV NFIN;V N;PL PART NFIN;V N;SG _
and it 's an amalgamation of questions .	and it be an amalgamation of question .	CONJ 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V DET;INDF N;SG ADP N;PL _
but she was developing rapidly .	but she be develop rapidly .	CONJ 3;FEM;NOM;PRO;SG 3;FIN;IND;PST;SG;V PRS;V;V.PTCP ADV _
image : daily et al.	image : daily et al.	N;SG _ PROPN;SG _ _
why should i bother my children with all this nonsense ?	why should i bother my child with all this nonsense ?	CONJ FIN;V 1;NOM;PRO;SG NFIN;V 1;PRO;SG N;PL ADP PRO DET;SG N;SG _
wilkins also said warhol was both an artist and a businessperson .	wilkins also say warhol be both an artist and a businessperson .	PROPN;SG ADV FIN;IND;PST;V PROPN;SG 3;FIN;IND;PST;SG;V CONJ DET;INDF N;SG CONJ DET;INDF N;SG _
they say you can be muslim and modern .	they say you can be muslim and modern .	3;NOM;PL;PRO FIN;IND;PRS;V 2;NOM;PRO FIN;V NFIN;V ADJ CONJ ADJ _
in a shady garden bed , simply scatter the seeds on the soil .	in a shady garden bed , simply scatter the seed on the soil .	ADP DET;INDF ADJ N;SG N;SG _ ADV NFIN;V DEF;DET N;PL ADP DEF;DET N;SG _
he was released on us$ 20,000 bail on thursday .	he be release on us$ @card@ bail on thursday .	3;MASC;NOM;PRO;SG 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADP _ NUM N;SG ADP PROPN;SG _
if you do n’t lay a good foundation here , then the punchline wo n’t make sense to the audience or they wo n’t find it humorous .	if you do n't lie a good foundation here , then the punchline wo n't make sense to the audience or they wo n't find it humorous .	CONJ 2;NOM;PRO FIN;IND;PRS;V NEG;PART NFIN;V DET;INDF ADJ N;SG ADV _ ADV DEF;DET N;SG FIN;V NEG;PART NFIN;V N;SG ADP DEF;DET N;SG CONJ 3;NOM;PL;PRO FIN;V NEG;PART NFIN;V 3;ACC;NEUT;PRO;SG ADJ _
the baseline data that i use to --	the baseline datum that i use to --	DEF;DET N;SG N;PL PRO 1;NOM;PRO;SG FIN;IND;PRS;V PART _
“ it ’s okay , mom , ” i say .	" it be okay , mom , " i say .	_ 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V ADJ _ PROPN;SG _ _ 1;NOM;PRO;SG FIN;IND;PRS;V _
fort lee can also be accessed by boat or ferry from new york city via edgewater and weehawken docks .	fort lee can also be access by boat or ferry from new york city via edgewater and weehawken dock .	PROPN;SG PROPN;SG FIN;V ADV NFIN;V PST;V;V.PTCP ADP N;SG CONJ N;SG ADP PROPN;SG PROPN;SG PROPN;SG ADP PROPN;SG CONJ PROPN;SG N;PL _
and then when you do it in an asymptotic way is like you do n't look at the small details .	and then when you do it in an asymptotic way be like you do n't look at the small detail .	CONJ ADV CONJ 2;NOM;PRO FIN;IND;PRS;V 3;ACC;NEUT;PRO;SG ADP DET;INDF ADJ N;SG 3;FIN;IND;PRS;SG;V CONJ 2;NOM;PRO FIN;IND;PRS;V NEG;PART NFIN;V ADP DEF;DET ADJ N;PL _
the rules are even more strict for foreign visitors , so even if you see a local in shorts it 's not ok for everyone .	the rule be even more strict for foreign visitor , so even if you see a local in short it be not ok for everyone .	DEF;DET N;PL FIN;IND;PRS;V ADV ADV ADJ ADP ADJ N;PL _ ADV ADV CONJ 2;NOM;PRO FIN;IND;PRS;V DET;INDF ADJ ADP N;PL 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V NEG;PART ADJ ADP N;SG _
they also claimed paris was a volunteer and claim she has a vested interest for misrepresenting her experiences with the church .	they also claim paris be a volunteer and claim she have a vested interest for misrepresent her experience with the church .	3;NOM;PL;PRO ADV FIN;IND;PST;V PROPN;SG 3;FIN;IND;PST;SG;V DET;INDF N;SG CONJ FIN;IND;PRS;V 3;FEM;NOM;PRO;SG 3;FIN;IND;PRS;SG;V DET;INDF ADJ N;SG CONJ V;V.MSDR 3;FEM;PRO;SG N;PL ADP DEF;DET PROPN;SG _
late in his life he published analytic syntax ( 1937 ) , in which he presents his views on syntactic structure using an idiosyncratic shorthand notation .	late in his life he publish analytic syntax ( @card@ ) , in which he present his view on syntactic structure use an idiosyncratic shorthand notation .	ADV ADP 3;MASC;PRO;SG N;SG 3;MASC;NOM;PRO;SG FIN;IND;PST;V PROPN;SG PROPN;SG _ NUM _ _ ADP PRO 3;MASC;NOM;PRO;SG 3;FIN;IND;PRS;SG;V 3;MASC;PRO;SG N;PL ADP ADJ N;SG V;V.MSDR DET;INDF ADJ N;SG N;SG _
a string of islands and reefs along the eastern edge of the group shelters the area from strong winds and ocean swells and humpback whales come to these protected waters to give birth .	a string of island and reef along the eastern edge of the group shelter the area from strong wind and ocean swell and humpback whale come to these protect water to give birth .	DET;INDF N;SG ADP N;PL CONJ N;PL ADP DEF;DET ADJ N;SG ADP DEF;DET PROPN;SG 3;FIN;IND;PRS;SG;V DEF;DET N;SG ADP ADJ N;PL CONJ N;SG N;PL CONJ N;SG N;PL FIN;IND;PRS;V ADP DET;PL PST;V;V.PTCP N;PL PART NFIN;V N;SG _
previous eye tracking research has highlighted the potential to transform the ways we understand visual processing in the arts ( see for example brieber 2014 ; binderman et al. , 2005 ) and at the same time offers a direct way of studying several important factors of a museum visit ( filippini fantoni et al. , 2013 ; heidenreich & turano 2011 ; milekic 2010 ) .	previous eye tracking research have highlight the potential to transform the way we understand visual processing in the art ( see for example brieber @card@ ; binderman et al. , @card@ ) and at the same time offer a direct way of study several important factor of a museum visit ( filippini fantoni et al. , @card@ ; heidenreich & turano @card@ ; milekic @card@ ) .	ADJ N;SG N;SG N;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP DEF;DET N;SG PART NFIN;V DEF;DET N;PL 1;NOM;PL;PRO FIN;IND;PRS;V ADJ N;SG ADP DEF;DET N;PL _ NFIN;V ADP N;SG PROPN;SG NUM _ PROPN;SG _ _ _ NUM _ CONJ ADP DEF;DET ADJ N;SG 3;FIN;IND;PRS;SG;V DET;INDF ADJ N;SG CONJ V;V.MSDR ADJ ADJ N;PL ADP DET;INDF N;SG N;SG _ PROPN;SG PROPN;SG _ _ _ NUM _ PROPN;SG CONJ PROPN;SG NUM _ PROPN;SG NUM _ _
