ja vel kor langt uti kunne ein gå ?	ja vel kor lang uti kunne ein gå $?	INTJ ADV ADV ADJ;INDF;NEUT;SG ADP FIN;IND;PST;V HUM;NOM;PRO;SG NFIN;V _
så vart den for liten så måtte eg bytte # og eg hadde masse bytta annakvart år # bilar .	så bli den for liten så måtte eg byte # og eg ha masse bytte annankvar år # bil $.	ADV FIN;IND;PST;V 3;NOM;PRO;SG ADV ADJ;INDF;MASC;SG ADV FIN;IND;PST;V 1;HUM;NOM;PRO;SG ADJ;INDF;NEUT;SG _ CONJ 1;HUM;NOM;PRO;SG FIN;IND;PST;V ADJ;DEF;SG DEF;N;NEUT;PL NEUT;NUM;SG INDF;N;NEUT;SG _ INDF;MASC;N;PL _
ja .	ja $.	INTJ _
men heldigvis så var det jo ikkje så mykje mjølk der da som m ... .	men heldigvis så vere det jo ikkje så mykje mjølk der da som m … $.	CONJ ADV ADV FIN;IND;PST;V 3;NEUT;PRO;SG ADV NEG;PART ADV ADJ;INDF;SG FEM;INDF;N;SG ADV ADV PRO INTJ _ _
ja .	ja $.	INTJ _
og så # hadde dei kvitlehåvar så dei kalla .	og så # ha dei kvitlehåvar så dei kalle $.	CONJ ADV _ FIN;IND;PST;V 3;HUM;NOM;PL;PRO INDF;N CONJ 3;HUM;NOM;PL;PRO FIN;IND;PST;V _
men eg trur da det # økonomisk for bøndene så .	men eg tru da det # økonomisk for bonde så $.	CONJ 1;HUM;NOM;PRO;SG FIN;IND;PRS;V ADV 3;NEUT;PRO;SG _ ADJ;INDF;NEUT;SG ADP DEF;MASC;N;PL ADV _
men så var nå eg heldig eg fekk som oftast god plass eg .	men så vere nå eg heldig eg få som ofte god plass eg $.	CONJ ADV FIN;IND;PST;V ADV 1;HUM;NOM;PRO;SG ADJ;INDF;SG 1;HUM;NOM;PRO;SG FIN;IND;PST;V ADP ADJ;RL ADJ;INDF;SG INDF;MASC;N;SG 1;HUM;NOM;PRO;SG _
ja .	ja $.	INTJ _
men her det var s- # eg kan ikkje hugse akkurat så men eg har høyrt berre min far fortalde # da han kom til vardø første åra så brukte dei å å vere på lofoten .	men her det vere s- # eg kunne ikkje hugse akkurat så men eg ha høyre berre min far fortelje # da han komme til vardø første år så bruke dei å å vere på lofoten $.	CONJ ADV 3;NEUT;PRO;SG FIN;IND;PST;V _ _ 1;HUM;NOM;PRO;SG FIN;IND;PRS;V NEG;PART NFIN;V ADV ADV CONJ 1;HUM;NOM;PRO;SG FIN;IND;PRS;V V;V.PTCP ADV MASC;PRO;SG INDF;MASC;N;SG FIN;IND;PST;V _ CONJ 3;MASC;NOM;PRO;SG FIN;IND;PST;V ADP PROPN ADJ;DEF;SG DEF;N;NEUT;PL ADV FIN;IND;PST;V 3;HUM;NOM;PL;PRO PART PART NFIN;V CONJ PROPN _
ja vel det var likt såleis ?	ja vel det vere lik såleis $?	INTJ ADV 3;NEUT;PRO;SG FIN;IND;PST;V ADJ;INDF;NEUT;SG ADV _
stor olje- bensintank sånn jordtank .	stor olje- bensintank sånn jordtank $.	ADJ;INDF;SG _ INDF;MASC;N;SG DET;MASC;SG INDF;MASC;N;SG _
var det samlestasjonar det da ?	vere det samlestasjon det da $?	FIN;IND;PST;V 3;NEUT;PRO;SG INDF;MASC;N;PL 3;NEUT;PRO;SG ADV _
det var forholdsvis # bra med mjølk hos alle saman for dei hadde jo ikkje noko anna å klare seg med den tid .	det vere forholdsvis # bra med mjølk hos all saman for dei ha jo ikkje nokon annan å klare seg med den tid $.	3;NEUT;PRO;SG FIN;IND;PST;V ADV _ ADJ;INDF;NEUT;SG ADP FEM;INDF;N;SG ADP DET;PL ADV CONJ 3;HUM;NOM;PL;PRO FIN;IND;PST;V ADV NEG;PART DET;NEUT;SG DET;INDF;NEUT;SG PART NFIN;V ACC;PRO;REFL ADP DET;FEM;SG FEM;INDF;N;SG _
og # men så i einogførti da russ- # tyskland og russland ## kom i krig .	og # men så i einogførti da russ- # tyskland og russland ## komme i krig $.	CONJ _ CONJ ADV ADP NUM;PL ADV _ _ PROPN CONJ PROPN _ FIN;IND;PST;V ADP INDF;MASC;N;SG _
og # om helgene ?	og # om helg $?	CONJ _ ADP DEF;FEM;N;PL _
isjias det er nå ein ## typisk sjukdom for sånne som som kanskje ikkje er så bra for dei at når dei k- frys og forskjellige ting s- .	isjias det vere nå ein ## typisk sjukdom for sånn som som kanskje ikkje vere så bra for dei at når dei k- fryse og forskjellig ting s- $.	INDF;MASC;N;SG 3;NEUT;PRO;SG FIN;IND;PRS;V ADV DET;MASC;SG _ ADJ;INDF;SG INDF;MASC;N;SG ADP DET;PL PRO PRO ADV NEG;PART FIN;IND;PRS;V ADV ADJ;INDF;NEUT;SG ADP 3;ACC;HUM;PL;PRO CONJ CONJ 3;HUM;NOM;PL;PRO _ FIN;IND;PRS;V CONJ ADJ;PL INDF;MASC;N;PL _ _
korleis fungerte det ?	korleis fungere det $?	ADV FIN;IND;PST;V 3;NEUT;PRO;SG _
og den e # den hadde eg jobben å køyre alle sjukepleierskene .	og den e # den ha eg jobb å køyre all sjukepleierske $.	CONJ 3;NOM;PRO;SG _ _ 3;NOM;PRO;SG FIN;IND;PST;V 1;HUM;NOM;PRO;SG DEF;MASC;N;SG PART NFIN;V DET;PL DEF;FEM;N;PL _
ja .	ja $.	INTJ _
barnebarn og ?	barnebarn og $?	INDF;N;NEUT;PL CONJ _
som oftast seks .	som ofte seks $.	ADP ADJ;RL NUM;PL _
og e # brukte de landnot òg ?	og e # bruke de landnot òg $?	CONJ _ _ FIN;IND;PST;V 2;HUM;NOM;PL;PRO FEM;INDF;N;SG ADV _
og det var der det farsgarden .	og det vere der det farsgard $.	CONJ 3;NEUT;PRO;SG FIN;IND;PST;V ADV 3;NEUT;PRO;SG DEF;MASC;N;SG _
korleis gjekk det der måtte du lesse av dei sjølv i byen eller ?	korleis gå det der måtte du lesse av dei sjølv i by eller $?	ADV FIN;IND;PST;V 3;NEUT;PRO;SG ADV FIN;IND;PST;V 2;HUM;NOM;PRO;SG NFIN;V ADP 3;ACC;HUM;PL;PRO ADV ADP DEF;MASC;N;SG CONJ _
n det var .	n det vere $.	INDF;MASC;N;SG 3;NEUT;PRO;SG FIN;IND;PST;V _
ja kom opp i ei krigshandling .	ja komme opp i ein krigshandling $.	INTJ FIN;IND;PST;V ADP ADP DET;FEM;SG FEM;INDF;N;SG _
ja kva eg synest om .	ja kva eg synast om $.	INTJ PRO 1;HUM;NOM;PRO;SG FIN;IND;PRS;V ADP _
dei leverte ho # dei leverte ho til byen dei au # da m7 han køyrde mjølka for grinigardane .	dei levere ho # dei levere ho til by dei au # da m7 han køyre mjølk for grinigardane $.	3;HUM;NOM;PL;PRO FIN;IND;PST;V 3;ACC;FEM;PRO;SG _ 3;HUM;NOM;PL;PRO FIN;IND;PST;V 3;ACC;FEM;PRO;SG ADP DEF;MASC;N;SG 3;HUM;NOM;PL;PRO ADV _ CONJ PROPN 3;MASC;NOM;PRO;SG FIN;IND;PST;V DEF;FEM;N;SG ADP PROPN _
ja gikta men eg må jo seie at eg var jo heldig på den måten at eg har # frå eg var # ja # antakeleg i nittenhundreogsjuogtretti ja .	ja gikt men eg måtte jo seie at eg vere jo heldig på den måte at eg ha # frå eg vere # ja # antakeleg i nittenhundreogsjuogtretti ja $.	INTJ DEF;FEM;N;SG CONJ 1;HUM;NOM;PRO;SG FIN;IND;PRS;V ADV NFIN;V CONJ 1;HUM;NOM;PRO;SG FIN;IND;PST;V ADV ADJ;INDF;NEUT;SG ADP DET;MASC;SG DEF;MASC;N;SG CONJ 1;HUM;NOM;PRO;SG FIN;IND;PRS;V _ ADP 1;HUM;NOM;PRO;SG FIN;IND;PST;V _ INTJ _ ADJ;INDF;NEUT;SG ADP NUM;PL INTJ _
og så # når ein e når ein e var på riksen da så skulle ein få lånt e .	og så # når ein e når ein e vere på riksen da så skulle ein få låne e $.	CONJ ADV _ ADV HUM;NOM;PRO;SG _ ADV HUM;NOM;PRO;SG _ FIN;IND;PST;V CONJ PROPN ADV ADV FIN;IND;PST;V HUM;NOM;PRO;SG NFIN;V V;V.PTCP _ _
det hadde eg veldig interesse av .	det ha eg veldig interesse av $.	3;NEUT;PRO;SG FIN;IND;PST;V 1;HUM;NOM;PRO;SG ADJ;INDF;SG FEM;INDF;N;SG ADP _
og ## dei var ute to veker # da hadde vi lastebåten # tre hundre og tretti hektoliter # og ikkje ein lever og han .	og ## dei vere ute to veke # da ha vi lastebåt # tre hundre og tretti hektoliter # og ikkje ein leve og han $.	CONJ _ 3;HUM;NOM;PL;PRO FIN;IND;PST;V ADP NUM;PL FEM;INDF;N;PL _ ADV FIN;IND;PST;V 1;HUM;NOM;PL;PRO DEF;MASC;N;SG _ NUM;PL NUM;PL CONJ NUM;PL INDF;MASC;N;PL _ CONJ NEG;PART HUM;NOM;PRO;SG FIN;IND;PRS;V CONJ 3;MASC;NOM;PRO;SG _
nei # og så orka han mindre .	nei # og så orke han liten $.	INTJ _ CONJ ADV FIN;IND;PST;V 3;MASC;NOM;PRO;SG ADJ _
og da køyrde vi e # og da # viss om dei hadde nokon riktig store oksar .	og da køyre vi e # og da # viss om dei ha nokon riktig stor okse $.	CONJ ADV FIN;IND;PST;V 1;HUM;NOM;PL;PRO _ _ CONJ ADV _ CONJ CONJ 3;HUM;NOM;PL;PRO FIN;IND;PST;V DET;PL ADJ;INDF;NEUT;SG ADJ;PL INDF;MASC;N;PL _
to # to gutar # ja da ja .	to # to gut # ja da ja $.	NUM;PL _ NUM;PL INDF;MASC;N;PL _ INTJ ADV INTJ _
ja .	ja $.	INTJ _
ja .	ja $.	INTJ _
men det var oss dei s- ## dei trudde at vi s- ein fiskebåt .	men det vere vi dei s- ## dei tru at vi s- ein fiskebåt $.	CONJ 3;NEUT;PRO;SG FIN;IND;PST;V 1;ACC;HUM;PL;PRO 3;HUM;NOM;PL;PRO _ _ 3;HUM;NOM;PL;PRO FIN;IND;PST;V CONJ 1;HUM;NOM;PL;PRO _ DET;MASC;SG INDF;MASC;N;SG _
det var hardt å vere sjømann under krigen .	det vere hard å vere sjømann under krig $.	3;NEUT;PRO;SG FIN;IND;PST;V ADJ;INDF;NEUT;SG PART NFIN;V INDF;MASC;N;SG ADP DEF;MASC;N;SG _
ja på ton- ja # det kan .	ja på ton- ja # det kunne $.	INTJ ADP _ INTJ _ 3;NEUT;PRO;SG FIN;IND;PRS;V _
så ville dei kjøpe og .	så vilje dei kjøpe og $.	ADV FIN;IND;PST;V 3;HUM;NOM;PL;PRO NFIN;V CONJ _
nei vi vart seks .	nei vi bli seks $.	INTJ 1;HUM;NOM;PL;PRO FIN;IND;PST;V NUM;PL _
ja .	ja $.	INTJ _
men ja sa ho det det har ennå harstaddialekt sa ho .	men ja seie ho det det ha ennå harstaddialekt seie ho $.	CONJ INTJ FIN;IND;PST;V 3;FEM;NOM;PRO;SG 3;NEUT;PRO;SG 3;NEUT;PRO;SG FIN;IND;PRS;V ADV INDF;MASC;N;SG FIN;IND;PST;V 3;FEM;NOM;PRO;SG _
ja .	ja $.	INTJ _
ja .	ja $.	INTJ _
han m2 ?	han m2 $?	3;MASC;NOM;PRO;SG PROPN _
ja .	ja $.	INTJ _
i # før den tid så var det båtar som var på sjøen og # kom bort # veit ikkje korleis det foregått .	i # før den tid så vere det båt som vere på sjø og # komme bort # vite ikkje korleis det foregå $.	ADP _ ADP DET;FEM;SG FEM;INDF;N;SG ADV FIN;IND;PST;V 3;NEUT;PRO;SG INDF;MASC;N;PL PRO FIN;IND;PST;V ADP DEF;MASC;N;SG CONJ _ FIN;IND;PST;V ADP _ FIN;IND;PRS;V NEG;PART ADV 3;NEUT;PRO;SG V;V.PTCP _
nei såg aldri meir til dei .	nei sjå aldri mykje til dei $.	INTJ FIN;IND;PST;V ADV ADJ ADP 3;ACC;HUM;PL;PRO _
det var for kommunen da at det ?	det vere for kommune da at det $?	3;NEUT;PRO;SG FIN;IND;PST;V ADP DEF;MASC;N;SG ADV CONJ 3;NEUT;PRO;SG _
var det sild i nota # så var det til kave og så var det til tørke og så når du kom med henne på sida så var det .	vere det sild i not # så vere det til kave og så vere det til tørke og så når du komme med ho på side så vere det $.	FIN;IND;PST;V 3;NEUT;PRO;SG FEM;INDF;N;SG ADP DEF;FEM;N;SG _ ADV FIN;IND;PST;V 3;NEUT;PRO;SG ADP NFIN;V CONJ ADV FIN;IND;PST;V 3;NEUT;PRO;SG ADP NFIN;V CONJ ADV CONJ 2;HUM;NOM;PRO;SG FIN;IND;PST;V ADP 3;ACC;FEM;PRO;SG ADP DEF;FEM;N;SG ADV FIN;IND;PST;V 3;NEUT;PRO;SG _
ja .	ja $.	INTJ _
e kva du synest om byen nå da ?	e kva du synast om by nå da $?	_ PRO 2;HUM;NOM;PRO;SG FIN;IND;PRS;V ADP DEF;MASC;N;SG ADV ADV _
potetene som var på dekket låg vi hadde jo fullt av poteter på dekk i sekkar .	potet som vere på dekk ligge vi ha jo full av potet på dekk i sekk $.	DEF;FEM;N;PL PRO FIN;IND;PST;V ADP DEF;N;NEUT;SG FIN;IND;PST;V 1;HUM;NOM;PL;PRO FIN;IND;PST;V ADV ADJ;INDF;NEUT;SG ADP FEM;INDF;N;PL ADP INDF;N;NEUT;SG ADP INDF;MASC;N;PL _
kvifor det da ?	kvifor det da $?	ADV 3;NEUT;PRO;SG ADV _
mm # d- ... # ja .	mm # d- … # ja $.	INTJ _ _ _ _ INTJ _
mm .	mm $.	INTJ _
fekk du oppgjer i byen da ?	få du oppgjer i by da $?	FIN;IND;PST;V 2;HUM;NOM;PRO;SG INDF;N;NEUT;SG ADP DEF;MASC;N;SG ADV _
å ja da # nei gjekk ikkje ein månad heller det .	å ja da # nei gå ikkje ein månad heller det $.	INTJ INTJ ADV _ INTJ FIN;IND;PST;V NEG;PART DET;MASC;SG INDF;MASC;N;SG ADV 3;NEUT;PRO;SG _
ja .	ja $.	INTJ _
den oøka # den var veldig fin å køyre m knupp .	den _ # den vere veldig fin å køyre m knupp $.	DET;MASC;SG _ _ 3;NOM;PRO;SG FIN;IND;PST;V ADJ;INDF;NEUT;SG ADJ;INDF;SG PART NFIN;V INTJ INDF;MASC;N;SG _
var det du kjøpte oreveden hen da ?	vere det du kjøpe oreved hen da $?	FIN;IND;PST;V 3;NEUT;PRO;SG 2;HUM;NOM;PRO;SG FIN;IND;PST;V DEF;MASC;N;SG ADP ADV _
men kva som gjorde kom du opp i noko e under krigen ?	men kva som gjere komme du opp i noko e under krig $?	CONJ PRO PRO FIN;IND;PST;V FIN;IND;PST;V 2;HUM;NOM;PRO;SG ADP ADP 3;ACC;NEUT;PRO;SG _ ADP DEF;MASC;N;SG _
ja .	ja $.	INTJ _
ja .	ja $.	INTJ _
ja vel .	ja vel $.	INTJ ADV _
mm .	mm $.	INTJ _
mm .	mm $.	INTJ _
.	$.	_
på e # nei k- hjelp meg den gata heiter igjen da og # schweigaards gate .	på e # nei k- hjelpe eg den gate heite igjen da og # schweigaards gate $.	ADP _ _ INTJ _ FIN;IMP;V 1;ACC;HUM;PRO;SG DET;FEM;SG DEF;FEM;N;SG FIN;IND;PRS;V ADV ADV CONJ _ PROPN FEM;INDF;N;SG _
ja ja # kl- kvit jolle kloss forbi sida på # og i jollen der var det to menn heiv seg over rekka # på båten altså # det var fint vêr .	ja ja # kl- kvit jolle kloss forbi side på # og i jolle der vere det to mann hive seg over rekke # på båt altså # det vere fin vêr $.	INTJ INTJ _ _ ADJ;INDF;SG INDF;MASC;N;SG ADV;INDF;MASC;SG ADP DEF;FEM;N;SG ADP _ CONJ ADP DEF;MASC;N;SG ADV FIN;IND;PST;V 3;NEUT;PRO;SG NUM;PL INDF;MASC;N;PL FIN;IND;PST;V ACC;PRO;REFL ADP DEF;FEM;N;SG _ ADP DEF;MASC;N;SG ADV _ 3;NEUT;PRO;SG FIN;IND;PST;V ADJ;INDF;NEUT;SG INDF;N;NEUT;SG _
men dei fann visst noko # noko utav ## ja eg _ det var i fireogtretti # ja i fireogtretti det var det nei det var i treogtretti om hausten om e våren var det .	men dei finne visst noko # noko utav ## ja eg _ det vere i fireogtretti # ja i fireogtretti det vere det nei det vere i treogtretti om haust om e vår vere det $.	CONJ 3;HUM;NOM;PL;PRO FIN;IND;PST;V ADV 3;ACC;NEUT;PRO;SG _ 3;ACC;NEUT;PRO;SG ADP _ INTJ 1;HUM;NOM;PRO;SG _ 3;NEUT;PRO;SG FIN;IND;PST;V ADP NUM;PL _ INTJ ADP NUM;PL 3;NEUT;PRO;SG FIN;IND;PST;V 3;NEUT;PRO;SG INTJ 3;NEUT;PRO;SG FIN;IND;PST;V ADP NUM;PL ADP DEF;MASC;N;SG ADP _ DEF;MASC;N;SG FIN;IND;PST;V 3;NEUT;PRO;SG _
hm .	hm $.	INTJ _
og det var ikkje alle gongane like så bra men så # var ikkje nokre sure miner ja dei måtte berre neste gong så var det # ut igjen .	og det vere ikkje all gong like så bra men så # vere ikkje nokon sur mine ja dei måtte berre neste gong så vere det # ut igjen $.	CONJ 3;NEUT;PRO;SG FIN;IND;PST;V NEG;PART DET;PL DEF;MASC;N;PL ADV ADV ADJ;INDF;NEUT;SG CONJ ADV _ FIN;IND;PST;V NEG;PART DET;PL ADJ;PL FEM;INDF;N;PL INTJ 3;HUM;NOM;PL;PRO FIN;IND;PST;V ADV ADJ;INDF;NEUT;SG INDF;MASC;N;SG ADV FIN;IND;PST;V 3;NEUT;PRO;SG _ ADP ADV _
dieselolja av e tyskebilane og så selde så kjøpte vi dei e .	dieselolje av e tyskebil og så selje så kjøpe vi dei e $.	DEF;FEM;N;SG ADP _ DEF;MASC;N;PL CONJ ADV FIN;IND;PST;V ADV FIN;IND;PST;V 1;HUM;NOM;PL;PRO 3;ACC;HUM;PL;PRO _ _
å den hesselman den # kjøpte eg # den kjøpte eg fjorten tusen for .	å den hesselman den # kjøpe eg # den kjøpe eg fjorten tusen for $.	INTJ DET;MASC;SG PROPN 3;NOM;PRO;SG _ FIN;IND;PST;V 1;HUM;NOM;PRO;SG _ 3;NOM;PRO;SG FIN;IND;PST;V 1;HUM;NOM;PRO;SG NUM;PL NUM;PL ADP _
å ja .	å ja $.	INTJ INTJ _
og dette her kj- fortsette vi med og køyrde # mjølk da leste på ein e # mellom åtti og hundre spann .	og dette her kj- fortsette vi med og køyre # mjølk da lesse på ein e # mellom åtti og hundre spann $.	CONJ 3;NEUT;NOM;PRO;SG ADV _ FIN;IND;PST;V 1;HUM;NOM;PL;PRO ADP CONJ FIN;IND;PST;V _ FEM;INDF;N;SG ADV FIN;IND;PST;V ADP DET;MASC;SG _ _ ADP NUM;PL CONJ NUM;PL INDF;N;NEUT;PL _
tyssken inn i landet her .	tysk inn i land her $.	DEF;MASC;N;SG ADP ADP DEF;N;NEUT;SG ADV _
ja .	ja $.	INTJ _
ja # han eigde det altså ?	ja # han eige det altså $?	INTJ _ 3;MASC;NOM;PRO;SG FIN;IND;PST;V 3;NEUT;PRO;SG ADV _
ja # ja korleis er det korleis kunne eg seie det ?	ja # ja korleis vere det korleis kunne eg seie det $?	INTJ _ INTJ ADV FIN;IND;PRS;V 3;NEUT;PRO;SG ADV FIN;IND;PST;V 1;HUM;NOM;PRO;SG NFIN;V 3;NEUT;PRO;SG _
ja .	ja $.	INTJ _
å han m3 ein var jo med ein del .	å han m3 ein vere jo med ein del $.	INTJ 3;MASC;NOM;PRO;SG PROPN HUM;NOM;PRO;SG FIN;IND;PST;V ADV ADP DET;MASC;SG INDF;MASC;N;SG _
# ja vel ja .	# ja vel ja $.	_ INTJ ADV INTJ _
skulle ein køyre før # ja korleis det # jo eg ser det eg ser lysa utav han sa nå eg .	skulle ein køyre før # ja korleis det # jo eg sjå det eg sjå lys utav han seie nå eg $.	FIN;IND;PST;V HUM;NOM;PRO;SG NFIN;V ADP _ INTJ ADV 3;NEUT;PRO;SG _ ADV 1;HUM;NOM;PRO;SG FIN;IND;PRS;V 3;NEUT;PRO;SG 1;HUM;NOM;PRO;SG FIN;IND;PRS;V DEF;N;NEUT;PL ADP 3;MASC;NOM;PRO;SG FIN;IND;PST;V ADV 1;HUM;NOM;PRO;SG _
hm ## ja det er merkeleg .	hm ## ja det vere merkeleg $.	INTJ _ INTJ 3;NEUT;PRO;SG FIN;IND;PRS;V ADJ;INDF;NEUT;SG _
å ja # eg hadde smør # å så ha- # hadde vi med og alle varene til butikkane .	å ja # eg ha smør # å så ha- # ha vi med og all vare til butikk $.	INTJ INTJ _ 1;HUM;NOM;PRO;SG FIN;IND;PST;V INDF;N;NEUT;PL _ INTJ ADV _ _ FIN;IND;PST;V 1;HUM;NOM;PL;PRO ADP CONJ DET;PL DEF;FEM;N;PL ADP DEF;MASC;N;PL _
jaha .	jaha $.	INTJ _
etter snurpenota kom så vart det vel noko enklare å # og mindre slit kanskje og eller skulle til å seie ?	etter snurpenot komme så bli det vel nokon enkel å # og liten slit kanskje og eller skulle til å seie $?	ADP DEF;FEM;N;SG FIN;IND;PST;V ADV FIN;IND;PST;V 3;NEUT;PRO;SG ADV DET;NEUT;SG ADJ PART _ CONJ ADJ INDF;N;NEUT;PL ADV CONJ CONJ FIN;IND;PST;V CONJ PART NFIN;V _
nei det gjer eg ikkje # fjernsyn .	nei det gjere eg ikkje # fjernsyn $.	INTJ 3;NEUT;PRO;SG FIN;IND;PRS;V 1;HUM;NOM;PRO;SG NEG;PART _ INDF;N;NEUT;SG _
når ein har budd i vadsø frå ein var unge av # så kunne du høyre dei hadde ein ein liksom ein liten ein e # liten ein e eg veit ikkje kva eg skal seie men det var li- kunne høyre nesten at .	når ein ha bu i vadsø frå ein vere unge av # så kunne du høyre dei ha ein ein liksom ein liten ein e # liten ein e eg vite ikkje kva eg skulle seie men det vere li- kunne høyre nesten at $.	CONJ HUM;NOM;PRO;SG FIN;IND;PRS;V V;V.PTCP ADP PROPN CONJ HUM;NOM;PRO;SG FIN;IND;PST;V INDF;MASC;N;SG ADP _ ADV FIN;IND;PST;V 2;HUM;NOM;PRO;SG NFIN;V 3;ACC;HUM;PL;PRO FIN;IND;PST;V DET;MASC;SG DET;MASC;SG ADV DET;MASC;SG ADJ;INDF;MASC;SG DET;MASC;SG _ _ ADJ;INDF;MASC;SG DET;MASC;SG _ 1;HUM;NOM;PRO;SG FIN;IND;PRS;V NEG;PART PRO 1;HUM;NOM;PRO;SG FIN;IND;PRS;V NFIN;V CONJ 3;NEUT;PRO;SG FIN;IND;PST;V _ FIN;IND;PST;V NFIN;V ADV CONJ _
under krigen ?	under krig $?	ADP DEF;MASC;N;SG _
jaha .	jaha $.	INTJ _
ja .	ja $.	INTJ _
å da var det å køyre tur .	å da vere det å køyre tur $.	INTJ ADV FIN;IND;PST;V 3;NEUT;PRO;SG PART NFIN;V INDF;MASC;N;SG _
vart du sliten .	bli du sliten $.	FIN;IND;PST;V 2;HUM;NOM;PRO;SG ADJ;INDF;SG _
dagsnytt .	dagsnytt $.	PROPN _
ja den som låg over gardsplassen .	ja den som ligge over gardsplass $.	INTJ 3;NOM;PRO;SG PRO FIN;IND;PST;V ADP DEF;MASC;N;SG _
mm .	mm $.	INTJ _
ja .	ja $.	INTJ _
vi # vi låg slik til at vi fekk # drege unna vêret # det gjekk bra # og på den måten var vi tidlegare på land mykje tidlegare på land enn dei andre båtane # også gjekk vi ut same dagen .	vi # vi ligge slik til at vi få # dra unna vêr # det gå bra # og på den måte vere vi tidleg på land mykje tidleg på land enn dei annan båt # også gå vi ut same dag $.	1;HUM;NOM;PL;PRO _ 1;HUM;NOM;PL;PRO FIN;IND;PST;V ADV ADP CONJ 1;HUM;NOM;PL;PRO FIN;IND;PST;V _ V;V.PTCP ADP DEF;N;NEUT;SG _ 3;NEUT;PRO;SG FIN;IND;PST;V ADJ;INDF;NEUT;SG _ CONJ ADP DET;MASC;SG DEF;MASC;N;SG FIN;IND;PST;V 1;HUM;NOM;PL;PRO ADJ ADP INDF;N;NEUT;PL ADJ;INDF;NEUT;SG ADJ ADP INDF;N;NEUT;PL ADP DET;PL DET;PL DEF;MASC;N;PL _ ADV FIN;IND;PST;V 1;HUM;NOM;PL;PRO ADP DEF;DET DEF;MASC;N;SG _
basen òg hadde same ?	bas òg ha same $?	DEF;MASC;N;SG ADV FIN;IND;PST;V DEF;DET _
ja .	ja $.	INTJ _
skulle alle desse sjukepleierskene # få # prestevillaen han har ein villa som ligg oppi eit bjørkeholt og den .	skulle all desse sjukepleierske # få # prestevilla han ha ein villa som ligge oppi ein bjørkeholt og den $.	FIN;IND;PST;V DET;PL DET;PL DEF;FEM;N;PL _ NFIN;V _ DEF;MASC;N;SG 3;MASC;NOM;PRO;SG FIN;IND;PRS;V DET;MASC;SG INDF;MASC;N;SG PRO FIN;IND;PRS;V ADP DET;NEUT;SG INDF;N;NEUT;SG CONJ 3;ACC;PRO;SG _
med ved # knupp .	med ved # knupp $.	ADP ADP _ INDF;MASC;N;SG _
det er same gata ja # ja .	det vere same gate ja # ja $.	3;NEUT;PRO;SG FIN;IND;PRS;V DEF;DET DEF;FEM;N;SG INTJ _ INTJ _
ja .	ja $.	INTJ _
vel det da .	vel det da $.	ADV 3;NEUT;PRO;SG ADV _
vi var # evakuert til kongsfjord .	vi vere # evakuere til kongsfjord $.	1;HUM;NOM;PL;PRO FIN;IND;PST;V _ ADJ;INDF;SG ADP PROPN _
ja ja .	ja ja $.	INTJ INTJ _
e diesel lenge # på den måten der ja # da hadde eg den veldig lenge .	e diesel lenge # på den måte der ja # da ha eg den veldig lenge $.	_ INDF;MASC;N;SG ADJ _ ADP DET;MASC;SG DEF;MASC;N;SG ADV INTJ _ ADV FIN;IND;PST;V 1;HUM;NOM;PRO;SG 3;ACC;PRO;SG ADJ;INDF;NEUT;SG ADJ _
mm .	mm $.	INTJ _
e kva slags e ... ?	e kva slags e … $?	_ DET N;NEUT _ _ _
« nei kor det blir utav han e1 ?	« nei kor det bli utav han e1 $?	_ INTJ ADV 3;NEUT;PRO;SG FIN;IND;PRS;V ADP 3;ACC;MASC;PRO;SG PROPN _
osl- ja dei var .	osl- ja dei vere $.	PROPN INTJ 3;HUM;NOM;PL;PRO FIN;IND;PST;V _
ja vel # nei .	ja vel # nei $.	INTJ ADV _ INTJ _
og da # da ja eg hadde p- eigen båt frå nittenhundreogfireogtjue da var eg ein og tjue år .	og da # da ja eg ha p- eigen båt frå nittenhundreogfireogtjue da vere eg ein og tjue år $.	CONJ ADV _ ADV INTJ 1;HUM;NOM;PRO;SG FIN;IND;PST;V _ DET;INDF;MASC;SG INDF;MASC;N;SG ADP NUM;PL ADV FIN;IND;PST;V 1;HUM;NOM;PRO;SG DET;MASC;SG CONJ NUM;PL INDF;N;NEUT;PL _
mm .	mm $.	INTJ _
i hærlandssalen .	i hærlandssalen $.	ADP PROPN _
.	$.	_
mm .	mm $.	INTJ _
ja e om sommaren så dreiv vi gardsbruk .	ja e om sommar så drive vi gardsbruk $.	INTJ _ ADP DEF;MASC;N;SG ADV FIN;IND;PST;V 1;HUM;NOM;PL;PRO INDF;N;NEUT;SG _
hugsar du nokon gonger du du hadde med andre slags varer til inn byen # kreps .	hugse du nokon gong du du ha med annan slags vare til inn by # kreps $.	FIN;IND;PRS;V 2;HUM;NOM;PRO;SG DET;PL INDF;MASC;N;PL 2;HUM;NOM;PRO;SG 2;HUM;NOM;PRO;SG FIN;IND;PST;V ADP DET;PL FEM;N FEM;INDF;N;PL ADP ADP DEF;MASC;N;SG _ INDF;MASC;N;SG _
