в ингушетии нет улицы хучбарова , и многих достойных вайнахов .	в ингушетия нет улица хучбаров , и много достойный вайнах .	ADP ESS;FEM;INAN;PROPN;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V FEM;GEN;INAN;N;SG ANIM;GEN;MASC;PROPN;SG _ CONJ GEN;NUM ADJ;GEN;PL GEN;INAN;MASC;N;PL _
новодвинское отделение лдпр поздравило горожан с праздником ...	новодвинский отделение лдпр поздравить горожанин с праздник ...	ADJ;NEUT;NOM;SG INAN;N;NEUT;NOM;SG FEM;GEN;INAN;PROPN;SG ACT;FIN;IND;NEUT;PFV;PST;SG;V ACC;ANIM;MASC;N;PL ADP INAN;INS;MASC;N;SG _
магнитолу , руль открутили !	магнитола , руль открутить !	ACC;FEM;INAN;N;SG _ ACC;INAN;MASC;N;SG ACT;FIN;IND;PFV;PL;PST;V _
@zhirinovskiy любят в россии праздники и поздравления .	@zhirinovskiy любить в россия праздник и поздравление .	PROPN 3;ACT;FIN;IND;IPFV;PL;PRS;V ADP ESS;FEM;INAN;PROPN;SG ACC;INAN;MASC;N;PL CONJ ACC;INAN;N;NEUT;PL _
уверена , бог это увидит и поймет всю глубину ее жертвы .	уверенный , бог это увидеть и понять весь глубина ее жертва .	ADJ;FEM;SG _ ANIM;MASC;N;NOM;SG ACC;INAN;NEUT;PRO;SG 3;ACT;FIN;FUT;IND;PFV;SG;V CONJ 3;ACT;FIN;FUT;IND;PFV;SG;V ACC;DET;FEM;SG ACC;FEM;INAN;N;SG DET ANIM;FEM;GEN;N;SG _
сахар 700 гр	сахар 700 грамм	INAN;MASC;N;NOM;SG NUM FEM;GEN;INAN;N;PL
эвелина , лена , саша .	эвелина , лена , саша .	ANIM;FEM;NOM;PROPN;SG _ ANIM;FEM;NOM;PROPN;SG _ ANIM;MASC;NOM;PROPN;SG _
которую нам присоединили еще в 1997 году .	который мы присоединить еще в 1997 год .	ACC;PRO 1;DAT;PL;PRO ACT;FIN;IND;PFV;PL;PST;V ADV ADP ADJ ESS;INAN;MASC;N;SG _
@zhirinovskiy @xxxxxx когда жкх образумится и капремонт не правомерный , жулики заставляют их содержать	@zhirinovskiy @xxxxxx когда жкх образумиться и капремонт не правомерный , жулик заставлять они содержать	ANIM;MASC;NOM;PROPN;SG _ CONJ INAN;MASC;N;NOM;SG 3;FIN;FUT;IND;MID;PFV;SG;V PART INAN;MASC;N;NOM;SG NEG;PART ADJ;MASC;NOM;SG _ ANIM;MASC;N;NOM;PL 3;ACT;FIN;IND;IPFV;PL;PRS;V 3;ACC;PL;PRO ACT;IPFV;NFIN;V
и за электричество будем платить и молчать !	и за электричество быть платить и молчать !	CONJ ADP ACC;INAN;N;NEUT;SG 1;ACT;FIN;IND;IPFV;PL;PRS;V ACT;IPFV;NFIN;V CONJ ACT;IPFV;NFIN;V _
но не доводить до кипения .	но не доводить до кипение .	CONJ NEG;PART ACT;IPFV;NFIN;V ADP GEN;INAN;N;NEUT;SG _
вы все — беспомощней нервных дам , бестактнее во сто раз , и мне не будет покоя там , куда я уйду от вас !	вы весь — беспомощный нервный дама , бестактный во сто раз , и я не быть покой там , куда я уйти от вы !	2;NOM;PL;PRO DET;NOM;PL _ ADJ;CMPR ADJ;GEN;PL ANIM;FEM;GEN;N;PL _ ADJ;CMPR ADP ACC;NUM GEN;INAN;MASC;N;PL _ CONJ 1;DAT;PRO;SG NEG;PART 3;ACT;FIN;IND;IPFV;PRS;SG;V GEN;INAN;MASC;N;SG ADV _ ADV 1;NOM;PRO;SG 1;ACT;FIN;FUT;IND;PFV;SG;V ADP 2;GEN;PL;PRO _
так бывает , не спорьте - если речь об общественной работе в 27 лет - анна юный гений .	так бывать , не спорить - если речь об общественный работа в 27 год - анна юный гений .	ADV 3;ACT;FIN;IND;IPFV;PRS;SG;V _ NEG;PART 2;ACT;FIN;IMP;IPFV;PL;V _ CONJ FEM;INAN;N;NOM;SG ADP ADJ;ESS;FEM;SG ESS;FEM;INAN;N;SG ADP NUM GEN;INAN;MASC;N;PL _ ANIM;FEM;NOM;PROPN;SG ADJ;MASC;NOM;SG ANIM;MASC;N;NOM;SG _
худею ...	худеть ...	1;ACT;FIN;IND;IPFV;PRS;SG;V _
ингредиенты :	ингредиент :	INAN;MASC;N;NOM;PL _
и самое главное для кого ?	и самый главный для кто ?	CONJ ADJ;NEUT;NOM;SG ADJ;NEUT;NOM;SG ADP ANIM;GEN;MASC;PRO;SG _
савченко скоро начнет вoйнy прoтив рoccии с помощью @youtube	савченко скоро начать война прoтив рoccия с помощь @youtube	ANIM;FEM;NOM;PROPN;SG ADV 3;ACT;FIN;FUT;IND;PFV;SG;V ACC;FEM;INAN;N;SG ADP FEM;GEN;INAN;PROPN;SG ADP FEM;INAN;INS;N;SG GEN;INAN;MASC;PROPN;SG
приоткрой эмпирей , полымем слепя , ясным светом умой , божьим днем согрей !	приоткрыть эмпирей , полымя слепить , ясный свет умыть , божий день согреть !	2;ACT;FIN;IMP;PFV;SG;V ACC;INAN;MASC;N;SG _ INAN;INS;N;NEUT;SG ACT;IPFV;PRS;V;V.CVB _ ADJ;INS;MASC;SG INAN;INS;MASC;N;SG 2;ACT;FIN;IMP;PFV;SG;V _ ADJ;INS;MASC;SG INAN;INS;MASC;N;SG 2;ACT;FIN;IMP;PFV;SG;V _
детям до 6 лет ( масса тела менее 22 кг ) – 0,25 - 1 мл ( 0,25 - 1 мг – 5 - 20 капель ) , до 3 раз в день	ребенок до 6 год ( масса тело менее 22 килограмм ) – 0,25 - 1 миллилитр ( 0,25 - 1 миллиграмм – 5 - 20 капля ) , до 3 раз в день	ANIM;DAT;MASC;N;PL ADP NUM GEN;INAN;MASC;N;PL _ FEM;INAN;N;NOM;SG GEN;INAN;N;NEUT;SG ADV;CMPR NUM GEN;INAN;MASC;N;SG _ _ NUM _ NUM INAN;MASC;N;NOM;SG _ NUM _ NUM INAN;MASC;N;NOM;SG _ NUM _ NUM FEM;GEN;INAN;N;PL _ _ ADP NUM GEN;INAN;MASC;N;PL ADP ACC;INAN;MASC;N;SG
► " дудочка " - с напряжением вытянуть вперед губы ( зубы сомкнуты )	► " дудочка " - с напряжение вытянуть вперед губа ( зуб сомкнуть )	_ _ FEM;INAN;N;NOM;SG _ _ ADP INAN;INS;N;NEUT;SG ACT;NFIN;PFV;V ADV ACC;FEM;INAN;N;PL _ INAN;MASC;N;NOM;PL PASS;PFV;PL;PST;V;V.PTCP _
люди умирают , открыв конверт : " я не люблю тебя " ... и человек погиб .	человек умирать , открыть конверт : " я не любить ты " … и человек погибнуть .	ANIM;MASC;N;NOM;PL 3;ACT;FIN;IND;IPFV;PL;PRS;V _ ACT;PFV;PST;V;V.CVB ACC;INAN;MASC;N;SG _ _ 1;NOM;PRO;SG NEG;PART 1;ACT;FIN;IND;IPFV;PRS;SG;V 2;ACC;PRO;SG _ _ CONJ ANIM;MASC;N;NOM;SG ACT;FIN;IND;MASC;PFV;PST;SG;V _
а вы знаете , что это на самом деле ?	а вы знать , что это на самый дело ?	CONJ 2;NOM;PL;PRO 2;ACT;FIN;IND;IPFV;PL;PRS;V _ INAN;NEUT;NOM;PRO;SG INAN;NEUT;NOM;PRO;SG ADP ADJ;ESS;NEUT;SG ESS;INAN;N;NEUT;SG _
но чья бы корова мычала , а твоей придется помолчать .	но чей бы корова мычать , а твой прийтись помолчать .	CONJ DET;FEM;NOM;SG COND;PART ANIM;FEM;N;NOM;SG ACT;FEM;FIN;IND;IPFV;PST;SG;V _ CONJ DET;FEM;INS;SG 3;FIN;FUT;IND;MID;PFV;SG;V ACT;IPFV;NFIN;V _
цена : 20_000 рублей	цена : 20_000 рубль	FEM;INAN;N;NOM;SG _ NUM GEN;INAN;MASC;N;PL
а теперь правым виском надавите на правую ладонь ( 3 раза по 7 секунд ) .	а теперь правый висок надавить на правый ладонь ( 3 раз по 7 секунда ) .	CONJ ADV ADJ;INS;MASC;SG INAN;INS;MASC;N;SG 2;ACT;FIN;IMP;PFV;PL;V ADP ACC;ADJ;FEM;SG ACC;FEM;INAN;N;SG _ NUM GEN;INAN;MASC;N;SG ADP NUM FEM;GEN;INAN;N;PL _ _
пусть докажет что его бухгалтерия чистая и продолжает работать .	пусть доказать что его бухгалтерия чистый и продолжать работать .	PART 3;ACT;FIN;FUT;IND;PFV;SG;V CONJ DET FEM;INAN;N;NOM;SG ADJ;FEM;NOM;SG CONJ 3;ACT;FIN;IND;IPFV;PRS;SG;V ACT;IPFV;NFIN;V _
ну тогда флаг тебе в руки и электричку на встречу .	ну тогда флаг ты в рука и электричка на встреча .	PART ADV INAN;MASC;N;NOM;SG 2;DAT;PRO;SG ADP ACC;FEM;INAN;N;PL CONJ ACC;FEM;INAN;N;SG ADP ACC;FEM;INAN;N;SG _
@xxxxxx на хер нужен этот парнас .	@xxxxxx на хер нужный этот парнас .	_ ADP ACC;INAN;MASC;N;SG ADJ;MASC;SG DET;MASC;NOM;SG INAN;MASC;NOM;PROPN;SG _
я тогда сбегаю ещё мочу отнесу .	я тогда сбегать еще моча относить .	1;NOM;PRO;SG ADV 1;ACT;FIN;IND;IPFV;PRS;SG;V ADV ACC;FEM;INAN;N;SG 1;ACT;FIN;IND;IPFV;PRS;SG;V _
треть россиян не знает порядок цветов флага россии . http://xxxxxx	треть россиянин не знать порядок цвет флаг россия . http://xxxxxx	FEM;INAN;N;NOM;SG ANIM;GEN;MASC;N;PL NEG;PART 3;ACT;FIN;IND;IPFV;PRS;SG;V ACC;INAN;MASC;N;SG GEN;INAN;MASC;N;PL GEN;INAN;MASC;N;SG FEM;GEN;INAN;PROPN;SG _ _
пусть все умрут на моих руках - и живности , и ростки !	пусть все умирать на мой рука - и живность , и росток !	PART ANIM;NOM;PL;PRO 3;ACT;FIN;IND;IPFV;PL;PRS;V ADP DET;ESS;PL ESS;FEM;INAN;N;PL _ CONJ FEM;INAN;N;NOM;PL _ CONJ INAN;MASC;N;NOM;PL _
нормально .	нормальный .	ADJ;NEUT;SG _
а потом в перерыве к нему подходят , никто не остается без внимания ..	а потом в перерыв к он подходить , никто не оставаться без внимание ..	CONJ ADV ADP ESS;INAN;MASC;N;SG ADP 3;DAT;MASC;PRO;SG 3;ACT;FIN;IND;IPFV;PL;PRS;V _ NOM;PRO NEG;PART 3;FIN;IND;IPFV;MID;PRS;SG;V ADP GEN;INAN;N;NEUT;SG _
три волшебных ореха не плывут по реке .	три волшебный орех не плыть по река .	NOM;NUM ADJ;GEN;PL GEN;INAN;MASC;N;SG NEG;PART 3;ACT;FIN;IND;IPFV;PL;PRS;V ADP DAT;FEM;INAN;N;SG _
вам делать не надо партийные взносы , за вас заплатили уже олигархи , поднимем за их благоденстивие чарки !	вы делать не надо партийный взнос , за вы заплатить уже олигарх , поднять за их благоденствие чарка !	2;DAT;PL;PRO ACT;IPFV;NFIN;V NEG;PART V ACC;ADJ;INAN;PL ACC;INAN;MASC;N;PL _ ADP 2;GEN;PL;PRO ACT;FIN;IND;PFV;PL;PST;V ADV ANIM;MASC;N;NOM;PL _ 1;ACT;FIN;FUT;IND;PFV;PL;V ADP DET ACC;INAN;N;NEUT;SG ACC;FEM;INAN;N;PL _
в этот раз он , наверное , просто будет 5 минут стоять молча , потом глубоко вздохнет и скажет " это пи*дец просто " , а потом куранты .	в этот раз он , наверное , просто быть 5 минута стоять молча , потом глубоко вздохнуть и сказать " это пиздец просто " , а потом куранты .	ADP ACC;DET;INAN;MASC;SG ACC;INAN;MASC;N;SG 3;MASC;NOM;PRO;SG _ ADV _ PART 3;ACT;FIN;IND;IPFV;PRS;SG;V NUM FEM;GEN;INAN;N;PL ACT;IPFV;NFIN;V ADV _ ADV ADV 3;ACT;FIN;FUT;IND;PFV;SG;V CONJ 3;ACT;FIN;FUT;IND;PFV;SG;V _ INAN;NEUT;NOM;PRO;SG ANIM;MASC;N;NOM;SG PART _ _ CONJ ADV INAN;MASC;N;NOM;PL _
важно то , о чем ты думаешь и какие поступки совершаешь .	важный то , о что ты думать и какой поступок совершать .	ADJ;NEUT;SG INAN;NEUT;NOM;PRO;SG _ ADP ESS;INAN;NEUT;PRO;SG 2;NOM;PRO;SG 2;ACT;FIN;IND;IPFV;PRS;SG;V CONJ ACC;DET;PL ACC;INAN;MASC;N;PL 2;ACT;FIN;IND;IPFV;PRS;SG;V _
порядка 40 депутатов госдумы предоставили сведения о том , что у них имеется за рубежом недвижимость и ценные бумаги .	порядка 40 депутат госдума предоставить сведение о то , что у они иметься за рубеж недвижимость и ценный бумага .	ADP NUM ANIM;GEN;MASC;N;PL FEM;GEN;INAN;PROPN;SG ACT;FIN;IND;PFV;PL;PST;V ACC;INAN;N;NEUT;PL ADP ESS;INAN;NEUT;PRO;SG _ CONJ ADP 3;GEN;PL;PRO 3;FIN;IND;IPFV;MID;PRS;SG;V ADP INAN;INS;MASC;N;SG FEM;INAN;N;NOM;SG CONJ ACC;ADJ;INAN;PL ACC;FEM;INAN;N;PL _
кому не сложно , разместите эту запись	кто не сложный , разместить этот запись	ANIM;DAT;MASC;PRO;SG NEG;PART ADJ;NEUT;SG _ 2;ACT;FIN;IMP;PFV;PL;V ACC;DET;FEM;SG ACC;FEM;INAN;N;SG
лимонная пропитка	лимонный пропитка	ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG
самое великое волшебство творится внутри каждого из нас !	самый великий волшебство твориться внутри каждый из мы !	ADJ;NEUT;NOM;SG ADJ;NEUT;NOM;SG INAN;N;NEUT;NOM;SG 3;FIN;IND;IPFV;MID;PRS;SG;V ADP DET;GEN;MASC;SG ADP 1;GEN;PL;PRO _
чехлы для iphone 5 luxury aluminum едут в уфу ;-)	чехол для iphone 5 luxury aluminum ехать в уфа ;-)	INAN;MASC;N;NOM;PL ADP PROPN NUM PROPN PROPN 3;ACT;FIN;IND;IPFV;PL;PRS;V ADP ACC;FEM;INAN;PROPN;SG _
1 . итак , открывает наш хит-парад : баба босс .	1 . итак , открывать наш хит-парад : баба босс .	NUM _ ADV _ 3;ACT;FIN;IND;IPFV;PRS;SG;V DET;MASC;NOM;SG ACC;INAN;MASC;N;SG _ ANIM;FEM;N;NOM;SG FEM;GEN;INAN;N;PL _
за несколько лет , я видел множество постов с этими двумя песнями , теперь пришла и моя очередь их поставить .... )))	за несколько год , я видеть множество пост с этот два песня , теперь прийти и мой очередь они поставить .... )))	ADP ACC;INAN;NUM GEN;INAN;MASC;N;PL _ 1;NOM;PRO;SG ACT;FIN;IND;IPFV;MASC;PST;SG;V ACC;INAN;N;NEUT;SG GEN;INAN;MASC;N;PL ADP DET;INS;PL INS;NUM FEM;INAN;INS;N;PL _ ADV ACT;FEM;FIN;IND;PFV;PST;SG;V PART DET;FEM;NOM;SG FEM;INAN;N;NOM;SG 3;ACC;PL;PRO ACT;NFIN;PFV;V _ _
собираем арбузные корки с целого большого арбуза .	собирать арбузный корка с целый большой арбуз .	1;ACT;FIN;IND;IPFV;PL;PRS;V ACC;ADJ;INAN;PL ACC;FEM;INAN;N;PL ADP ADJ;GEN;MASC;SG ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG _
- показать как котенок зевает : а-а ( широко открыли рот ) ;	- показать как котенок зевать : а-а ( широко открыть рот ) ;	_ ACT;NFIN;PFV;V CONJ ANIM;MASC;N;NOM;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V _ INTJ _ ADV ACT;FIN;IND;PFV;PL;PST;V ACC;INAN;MASC;N;SG _ _
в жопу твой социализм вместе с зюгановым ! понял ублюдок !	в жопа твой социализм вместе с зюганов ! понять ублюдок !	ADP ACC;FEM;INAN;N;SG DET;MASC;NOM;SG INAN;MASC;N;NOM;SG ADV ADP ANIM;INS;MASC;PROPN;SG _ ACT;FIN;IND;MASC;PFV;PST;SG;V INAN;MASC;N;NOM;SG _
поэтому нам приходится прятаться .	поэтому мы приходиться прятаться .	ADV 1;DAT;PL;PRO 3;FIN;IND;IPFV;MID;PRS;SG;V IPFV;MID;NFIN;V _
и нах зал . )...	и нах зал . )...	CONJ V ACC;INAN;MASC;N;SG _ _
вы мне дороже меня самой , стада о шестнадцать лап !!	вы я дорогой я сам , стадо о шестнадцать лапа !!	2;NOM;PL;PRO 1;DAT;PRO;SG ADJ;CMPR 1;GEN;PRO;SG ADJ;FEM;INS;SG _ INAN;N;NEUT;NOM;PL ADP ACC;NUM FEM;GEN;INAN;N;PL _
жена : — ой , мама !	жена : — ой , мама !	ANIM;FEM;N;NOM;SG _ _ INTJ _ ANIM;FEM;N;NOM;SG _
@xxxxxx - или у тебя мозги гнилые .	@xxxxxx - или у ты мозг гнилой .	_ _ CONJ ADP 2;GEN;PRO;SG INAN;MASC;N;NOM;PL ADJ;NOM;PL _
тесто :	тесто :	INAN;N;NEUT;NOM;SG _
молитвенная просьба , помещенная на сайте молитва .	молитвенный просьба , поместить на сайт молитва .	ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG _ FEM;NOM;PASS;PFV;PST;SG;V;V.PTCP ADP ESS;INAN;MASC;N;SG FEM;INAN;N;NOM;SG _
паспорт был потерян в с-пб , перешлите пожалуйста своим друзьям мое обращение , может всплывет где нибудь , вознаграждение гарантирую ...	паспорт быть потерять в с-пб , переслать пожалуйста свой друг мой обращение , мочь всплывать где нибудь , вознаграждение гарантировать ...	INAN;MASC;N;NOM;SG ACT;FIN;IND;IPFV;MASC;PST;SG;V MASC;PASS;PFV;PST;SG;V;V.PTCP ADP ESS;INAN;MASC;PROPN;SG _ 2;ACT;FIN;IMP;PFV;PL;V PART DAT;DET;PL ANIM;DAT;MASC;N;PL ACC;DET;NEUT;SG ACC;INAN;N;NEUT;SG _ 3;ACT;FIN;IND;IPFV;PRS;SG;V 3;ACT;FIN;IND;IPFV;PRS;SG;V ADV ADV _ ACC;INAN;N;NEUT;SG 1;ACT;FIN;IND;IPFV;PRS;SG;V _
и я согласна с этим абсолютно , женя !	и я согласный с это абсолютно , женя !	CONJ 1;NOM;PRO;SG ADJ;FEM;SG ADP INAN;INS;NEUT;PRO;SG ADV _ ANIM;MASC;NOM;PROPN;SG _
у меня нет претензий к коммунистам , надеюсь , и у коммунистов - ко мне таковых тоже не имеется .	у я нет претензия к коммунист , надеяться , и у коммунист - ко я таковой тоже не иметься .	ADP 1;GEN;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V FEM;GEN;INAN;N;PL ADP ANIM;DAT;MASC;N;PL _ 1;FIN;IND;IPFV;MID;PRS;SG;V _ CONJ ADP ANIM;GEN;MASC;N;PL _ ADP 1;DAT;PRO;SG ADJ;GEN;PL PART NEG;PART 3;FIN;IND;IPFV;MID;PRS;SG;V _
