« 11 » , omkadering van de belgische voetbalcompetitie voor belgacom tv ( 2005- ? )	« 11 » , omkadering van de belgisch voetbalcompetitie voor belgacom tv ( 2005- ? )	_ NUM _ _ MASC+FEM;N;SG ADP DEF;DET ADJ MASC+FEM;N;SG ADP NEUT;PROPN;SG MASC+FEM;N;SG _ _ _ _
die verwierf pas enige politieke invloed na 1900 , mede door de invoering van het algemeen , universeel stemrecht .	die verwerven pas enig politiek invloed na 1900 , mede door de invoering van het algemeen , universeel stemrecht .	3;PRO FIN;PST;SG;V ADV DET ADJ MASC+FEM;N;SG ADP NUM _ ADV ADP DEF;DET MASC+FEM;N;SG ADP DEF;DET ADJ _ ADJ N;NEUT;SG _
de federale gerechtelijke politie , per gerechtelijk arrondissement onder leiding van een gerechtelijk directeur .	de federaal gerechtelijk politie , per gerechtelijk arrondissement onder leiding van een gerechtelijk directeur .	DEF;DET ADJ ADJ MASC+FEM;N;SG _ ADP ADJ N;NEUT;SG ADP MASC+FEM;N;SG ADP DET;INDF ADJ MASC+FEM;N;SG _
andras pandy , geboren op 1 juni 1927	andras pandy , geboren op 1 juni 1927	PROPN PROPN _ ADJ ADP NUM MASC+FEM;PROPN;SG NUM
na een relatief vlak begin gaat het parcours via oostende en torhout richting kortrijk , waarna het zich door het vlaamse heuvelland slingert tot aan de finish in meerbeke .	na een relatief vlak begin gaan het parcours via oostende en torhout richting kortrijk , waarna het zich door het vlaams heuvelland slingeren tot aan de finish in meerbeke .	ADP DET;INDF ADJ N;NEUT;SG N;NEUT;SG FIN;PRS;SG;V DEF;DET N;NEUT;SG ADP NEUT;PROPN;SG CONJ NEUT;PROPN;SG MASC+FEM;N;SG NEUT;PROPN;SG _ ADV 3;PRO 3;ACC;PRO;REFL ADP DEF;DET ADJ N;NEUT;SG FIN;PRS;SG;V ADP ADP DEF;DET MASC+FEM;N;SG ADP NEUT;PROPN;SG _
onzeker over de afloop gaat ze toch naar de olympische spelen van athene .	onzeker over de afloop gaan ze toch naar de olympische spelen van athene .	ADJ ADP DEF;DET MASC+FEM;N;SG FIN;PRS;SG;V 3;PRO ADV ADP DEF;DET PROPN PROPN ADP NEUT;PROPN;SG _
web gallery of art ( goede afbeeldingen )	web gallery of art ( goed afbeelding )	PROPN PROPN PROPN PROPN _ ADJ N;PL _
pico coppens - walter michiels ( 1990-1993 )	pico coppens - walter michiels ( 1990-1993 )	PROPN PROPN _ PROPN PROPN _ _ _
albert ii van belgië	albert ii van belgië	PROPN PROPN PROPN PROPN
lessius hogeschool	lessius hogeschool	PROPN PROPN
men noemt ze ook de brusselse " caelevoeters " waarvan de mechelaar rik wouters er zeker de belangrijkste van was .	men noemen ze ook de brussels " caelevoeter " waarvan de mechelaar rik wouters er zeker de belangrijk van zijn .	3;NOM;PRO FIN;PRS;SG;V 3;PRO ADV DEF;DET ADJ _ PL;PROPN _ ADV DEF;DET MASC+FEM;PROPN;SG PROPN PROPN ADV ADJ DEF;DET ADJ;RL ADP FIN;PST;SG;V _
ludwigshafen , ( duitsland ) , 8 juni 1998	ludwigshafen , ( duitsland ) , 8 juni 1998	NEUT;PROPN;SG _ _ NEUT;PROPN;SG _ _ NUM MASC+FEM;PROPN;SG NUM
ze ligt centraal tussen de grote steden antwerpen en brussel , aan de rivier dijle , en telt ruim 78.000 inwoners .	ze liggen centraal tussen de groot stad antwerpen en brussel , aan de rivier dijle , en tellen ruim 78.000 inwoner .	3;PRO FIN;PRS;SG;V ADJ ADP DEF;DET ADJ N;PL NEUT;PROPN;SG CONJ NEUT;PROPN;SG _ ADP DEF;DET MASC+FEM;N;SG MASC+FEM;PROPN;SG _ CONJ FIN;PRS;SG;V ADJ NUM N;PL _
ze kregen zelfs een speciale benaming .	ze krijgen zelfs een speciaal benaming .	3;PRO FIN;PL;PST;V ADV DET;INDF ADJ MASC+FEM;N;SG _
vld : 18	vld : 18	MASC+FEM;PROPN;SG _ NUM
externe link	extern link	ADJ MASC+FEM;N;SG
op 2 mei 1816 trouwde hij met kroonprinses charlotte augusta , de enige dochter van de latere koning george iv van engeland .	op 2 mei 1816 trouwen hij met kroonprinses charlotte augusta , de enig dochter van de laat koning george iv van engeland .	ADP NUM MASC+FEM;PROPN;SG NUM FIN;PST;SG;V 3;NOM;PRO ADP MASC+FEM;N;SG PROPN PROPN _ DEF;DET PRO MASC+FEM;N;SG ADP DEF;DET ADJ;CMPR MASC+FEM;N;SG PROPN PROPN ADP NEUT;PROPN;SG _
monumentaal is de 19de eeuwse kerk ( 1861-1870 ) en een sterk gewijzigd middeleeuwse kasteel .	monumentaal zijn de 19 eeuws kerk ( 1861-1870 ) en een sterk wijzigen middeleeuws kasteel .	ADJ FIN;PRS;SG;V DEF;DET ADJ ADJ MASC+FEM;N;SG _ NUM _ CONJ DET;INDF ADJ V;V.PTCP ADJ N;NEUT;SG _
ontstaan van de beweging anders gaan leven ( de jaren '70 )	ontstaan van de beweging anders gaan leven ( de jaar '70 )	NFIN;V ADP DEF;DET MASC+FEM;N;SG PROPN PROPN PROPN _ DEF;DET N;PL NUM _
bestuur	bestuur	N;NEUT;SG
in 1890 werden nog meer gebieden veroverd en stonden de beide kamers een nieuwe lening toe .	in 1890 worden nog veel gebied veroveren en staan de beide kamer een nieuw lening toe .	ADP NUM FIN;PL;PST;V ADV PRO N;PL V;V.PTCP CONJ FIN;PL;PST;V DEF;DET DET N;PL DET;INDF ADJ MASC+FEM;N;SG ADP _
daarnaast verschenen onder meer ook heel wat nieuwe ( belgische ) postzegels en boeken over kuifje , en een « nieuw » album , « kuifje en de alfa-kunst » , waarin het onvoltooide laatste verhaal van hergé ( schetsen en pentekeningen ) is opgenomen .	daarnaast verschijnen onder veel ook heel wat nieuw ( belgisch ) postzegel en boek over kuifje , en een « nieuw » album , « kuifje en de alfa-kunst » , waarin het onvoltooid laat verhaal van hergé ( schets en pentekening ) zijn opnemen .	ADV FIN;PL;PST;V ADP PRO ADV ADJ 3;PRO ADJ _ ADJ _ N;PL CONJ N;PL ADP MASC+FEM;PROPN;SG _ CONJ DET;INDF _ ADJ _ N;NEUT;SG _ _ MASC+FEM;PROPN;SG CONJ DEF;DET MASC+FEM;PROPN;SG _ _ ADV DEF;DET ADJ ADJ;RL N;NEUT;SG ADP MASC+FEM;PROPN;SG _ N;PL CONJ N;PL _ FIN;PRS;SG;V V;V.PTCP _
sinaai	sinaai	NEUT;PROPN;SG
ministerie van de vlaamse gemeenschap : omvat alle klassieke departementen van alle ministeries samen .	ministerie van de vlaamse gemeenschap : omvatten al klassiek departement van al ministerie samen .	N;NEUT;SG ADP DEF;DET PROPN PROPN _ FIN;PRS;SG;V DET ADJ N;PL ADP DET N;PL ADV _
hij produceerde slechts 750 pagina's proza , maar heeft een grote invloed gehad .	hij produceren slechts 750 pagina proza , maar hebben een groot invloed hebben .	3;NOM;PRO FIN;PST;SG;V ADV NUM N;PL N;NEUT;SG _ CONJ FIN;PRS;SG;V DET;INDF ADJ MASC+FEM;N;SG V;V.PTCP _
1979 - « zwijgen kan niet verbeterd worden ongebundelde teksten » , met jeugdgedichten , journalistiek werk , een brief aan zijn zoon .	1979 - « zwijgen kunnen niet verbeteren worden ongebundeld tekst » , met jeugdgedicht , journalistiek werk , een brief aan zijn zoon .	NUM _ _ NFIN;V FIN;PRS;SG;V ADV V;V.PTCP NFIN;V ADJ N;PL _ _ ADP N;PL _ ADJ N;NEUT;SG _ DET;INDF MASC+FEM;N;SG ADP 3;PRO MASC+FEM;N;SG _
ook in de kommunistische partij van belgië was hij belangrijk leider .	ook in de kommunistische partij van belgië zijn hij belangrijk leider .	ADV ADP DEF;DET PROPN PROPN ADP NEUT;PROPN;SG FIN;PST;SG;V 3;NOM;PRO ADJ MASC+FEM;N;SG _
hij stierf toen ensor 27 jaar was en op het toppunt van zijn creatieve periode .	hij sterven toen ensor 27 jaar zijn en op het toppunt van zijn creatief periode .	3;NOM;PRO FIN;PST;SG;V CONJ MASC+FEM;PROPN;SG NUM N;NEUT;SG FIN;PST;SG;V CONJ ADP DEF;DET N;NEUT;SG ADP 3;PRO ADJ MASC+FEM;N;SG _
bier is een alcoholische drank .	bier zijn een alcoholisch drank .	N;NEUT;SG FIN;PRS;SG;V DET;INDF ADJ MASC+FEM;N;SG _
»	»	_
vlaams kartel	vlaams kartel	ADJ N;NEUT;SG
aspirant-agent van politie ( leerling )	aspirant-agent van politie ( leerling )	MASC+FEM;N;SG ADP MASC+FEM;N;SG _ MASC+FEM;N;SG _
oostkantons	oostkantons	PL;PROPN
ze zullen pas na de verkiezingen van november aftreden .	ze zullen pas na de verkiezing van november aftreden .	3;PRO FIN;PL;PRS;V ADV ADP DEF;DET N;PL ADP MASC+FEM;PROPN;SG NFIN;V _
eind jaren 60 , begin jaren 70 liepen de communautaire spanningen in belgië hoog op .	eind jaar 60 , begin jaar 70 lopen de communautair spanning in belgië hoog op .	N;NEUT;SG N;PL NUM _ N;NEUT;SG N;PL NUM FIN;PL;PST;V DEF;DET ADJ N;PL ADP NEUT;PROPN;SG ADJ ADP _
sp.a -- spirit : 1 zetel	sp.a -- spirit : 1 zetel	MASC+FEM;PROPN;SG _ PROPN;SG;{MASC+FEM/NEUT} _ NUM MASC+FEM;N;SG
verder is er de muziek-o-droom .	ver zijn er de muziek-o-droom .	ADJ;CMPR FIN;PRS;SG;V ADV DEF;DET MASC+FEM;N;SG _
zo ontstond in 1959 één van zijn meest populaire reeksen , die hij in 1967 door karel biddeloo liet overnemen .	zo ontstaan in 1959 één van zijn veel populair reeks , die hij in 1967 door karel biddeloo laten overnemen .	ADV FIN;PST;SG;V ADP NUM NUM ADP 3;PRO PRO ADJ N;PL _ PRO 3;NOM;PRO ADP NUM ADP PROPN PROPN FIN;PST;SG;V NFIN;V _
bert anciaux : 1992-1998	bert anciaux : 1992-1998	PROPN PROPN _ _
de lokale politie	de lokaal politie	DEF;DET ADJ MASC+FEM;N;SG
de koningin kwam hierbij om het leven en albert verloor zijn moeder .	de koningin komen hierbij om het leven en albert verliezen zijn moeder .	DEF;DET MASC+FEM;N;SG FIN;PST;SG;V ADV ADP DEF;DET N;NEUT;SG CONJ MASC+FEM;PROPN;SG FIN;PST;SG;V 3;PRO MASC+FEM;N;SG _
de werken « lijmen » en « het been » vormen samen een geheel .	de werk « lijmen » en « het been » vormen samen een geheel .	DEF;DET N;PL _ NFIN;V _ CONJ _ DEF;DET N;NEUT;SG _ FIN;PL;PRS;V ADV DET;INDF N;NEUT;SG _
1984-89 werkzaam in de microgravity afdeling van estec experimenten met eureca en spacelab-1 .	1984-89 werkzaam in de microgravity afdeling van estec experiment met eureca en spacelab-1 .	_ ADJ ADP DEF;DET _ MASC+FEM;N;SG ADP NEUT;PROPN;SG N;PL ADP MASC+FEM;PROPN;SG CONJ MASC+FEM;PROPN;SG _
archeologische vondsten bewijzen dat al lang voor het agrarische neolithicum , noordwest-europa werd bewoond door de zogenaamde neanderthalers .	archeologisch vondst bewijzen dat al lang voor het agrarisch neolithicum , noordwest-europa worden bewonen door de zogenaamd neanderthaler .	ADJ N;PL FIN;PL;PRS;V CONJ ADV ADJ ADP DEF;DET ADJ N;NEUT;SG _ NEUT;PROPN;SG FIN;PST;SG;V V;V.PTCP ADP DEF;DET ADJ N;PL _
royalty	royalty	MASC+FEM;PROPN;SG
regering	regering	MASC+FEM;N;SG
in 1884 wonnen de katholieken de verkiezingen en zij bleven dertig jaar aan de macht .	in 1884 winnen de katholiek de verkiezing en zij blijven dertig jaar aan de macht .	ADP NUM FIN;PL;PST;V DEF;DET N;PL DEF;DET N;PL CONJ 3;NOM;PRO FIN;PL;PST;V NUM N;NEUT;SG ADP DEF;DET MASC+FEM;N;SG _
vaak zijn die activiteiten verbonden met de functies als hoofdstad :	vaak zijn die activiteit verbinden met de functie als hoofdstad :	ADJ FIN;PL;PRS;V DET N;PL V;V.PTCP ADP DEF;DET N;PL ADP MASC+FEM;N;SG _
in 1906 verblijft hij te gent , voor zijn militaire dienstplicht .	in 1906 verblijven hij te gent , voor zijn militair dienstplicht .	ADP NUM FIN;PRS;SG;V 3;NOM;PRO ADP NEUT;PROPN;SG _ ADP 3;PRO ADJ MASC+FEM;N;SG _
napoleon werd nu voorgoed verbannen naar sint-helena .	napoleon worden nu voorgoed verbannen naar sint-helena .	MASC+FEM;PROPN;SG FIN;PST;SG;V ADV ADV V;V.PTCP ADP NEUT;PROPN;SG _
dit werd haar laatste wedstrijd van 2004 .	dit worden haar laat wedstrijd van 2004 .	3;PRO FIN;PST;SG;V 3;PRO ADJ;RL MASC+FEM;N;SG ADP NUM _
belgië	belgië	NEUT;PROPN;SG
de herleving van de partij was succesvol en de partij behaalde in 1986 9 zetels en behaalde in 1989 12 zetels .	de herleving van de partij zijn succesvol en de partij behalen in 1986 9 zetel en behalen in 1989 12 zetel .	DEF;DET MASC+FEM;N;SG ADP DEF;DET MASC+FEM;N;SG FIN;PST;SG;V ADJ CONJ DEF;DET MASC+FEM;N;SG FIN;PST;SG;V ADP NUM NUM N;PL CONJ FIN;PST;SG;V ADP NUM NUM N;PL _
mezen	mees	N;PL
de tervurense meesters zonderden zich niet af .	de tervurens meester zonderen zich niet af .	DEF;DET ADJ N;PL FIN;PL;PST;V 3;ACC;PRO;REFL ADV ADP _
minister van staat ( frankrijk )	minister van staat ( frankrijk )	MASC+FEM;N;SG ADP MASC+FEM;N;SG _ NEUT;PROPN;SG _
« de parelvissers » ( 2006 )	« de parelvisser » ( 2006 )	_ DEF;DET N;PL _ _ NUM _
hij werd geboren in het kasteel ehrenburg in coburg als derde zoon van hertog frans van saksen-coburg-saalfeld en augusta van reuss-ebersdorf en lobenstein .	hij worden geboren in het kasteel ehrenburg in coburg als drie zoon van hertog frans van saksen-coburg-saalfeld en augusta van reuss-ebersdorf en lobenstein .	3;NOM;PRO FIN;PST;SG;V ADJ ADP DEF;DET N;NEUT;SG NEUT;PROPN;SG ADP NEUT;PROPN;SG ADP ADJ MASC+FEM;N;SG ADP MASC+FEM;N;SG PROPN PROPN PROPN CONJ PROPN PROPN PROPN PROPN PROPN _
na de tweede wereldoorlog begon de ronde aan zijn opmars als belangrijke internationale wedstrijd .	na de tweede wereldoorlog beginnen de ronde aan zijn opmars als belangrijk internationaal wedstrijd .	ADP DEF;DET PROPN PROPN FIN;PST;SG;V DEF;DET MASC+FEM;N;SG ADP 3;PRO MASC+FEM;N;SG ADP ADJ ADJ MASC+FEM;N;SG _
de meningen over dit laatste zijn verdeeld , ook binnen de cvp .	de mening over dit laat zijn verdelen , ook binnen de cvp .	DEF;DET N;PL ADP DET ADJ;RL FIN;PL;PRS;V V;V.PTCP _ ADV ADP DEF;DET MASC+FEM;PROPN;SG _
in de 12e eeuw werd het brouwen overgenomen door herbergen .	in de 12 eeuw worden het brouwen overnemen door herberg .	ADP DEF;DET ADJ MASC+FEM;N;SG FIN;PST;SG;V DEF;DET NFIN;V V;V.PTCP ADP N;PL _
de toevoeging van lucht is noodzakelijk voor een snelle vermeerdering van de gistcellen die voor hun reproductie zuurstof nodig hebben .	de toevoeging van lucht zijn noodzakelijk voor een snel vermeerdering van de gistcel die voor hun reproductie zuurstof nodig hebben .	DEF;DET MASC+FEM;N;SG ADP MASC+FEM;N;SG FIN;PRS;SG;V ADJ ADP DET;INDF ADJ MASC+FEM;N;SG ADP DEF;DET N;PL PRO ADP 3;PRO MASC+FEM;N;SG MASC+FEM;N;SG ADJ FIN;PL;PRS;V _
in het neolithicum ( ca. 4000 v.chr. ) verschenen de eerste landbouwdorpen met ongeveer 100 inwoners .	in het neolithicum ( ca. 4000 v.chr. ) verschijnen de één landbouwdorp met ongeveer 100 inwoner .	ADP DEF;DET N;NEUT;SG _ ADV NUM _ _ FIN;PL;PST;V DEF;DET ADJ N;PL ADP ADV NUM N;PL _
oppervlakte en bevolking	oppervlakte en bevolking	MASC+FEM;N;SG CONJ MASC+FEM;N;SG
federaal parlement , met senaat en kamer van volksvertegenwoordigers	federaal parlement , met senaat en kamer van volksvertegenwoordiger	ADJ N;NEUT;SG _ ADP MASC+FEM;N;SG CONJ MASC+FEM;N;SG ADP N;PL
dit was het eerste album waarin hergé ook nauwgezet onderzoek deed naar de wereld waarin zijn verhalen zich afspeelde .	dit zijn het één album waarin hergé ook nauwgezet onderzoek doen naar de wereld waarin zijn verhaal zich afspelen .	3;PRO FIN;PST;SG;V DEF;DET ADJ N;NEUT;SG ADV MASC+FEM;PROPN;SG ADV ADJ N;NEUT;SG FIN;PST;SG;V ADP DEF;DET MASC+FEM;N;SG ADV 3;PRO N;PL 3;ACC;PRO;REFL FIN;PST;SG;V _
op 13 december 2005 kwamen daar twee prinsjes bij , een tweeling die de namen nicolas en aymeric dragen .	op 13 december 2005 komen daar twee prins bij , een tweeling die de naam nicolas en aymeric dragen .	ADP NUM MASC+FEM;PROPN;SG NUM FIN;PL;PST;V ADV NUM N;PL ADP _ DET;INDF MASC+FEM;N;SG PRO DEF;DET N;PL MASC+FEM;PROPN;SG CONJ MASC+FEM;PROPN;SG FIN;PL;PRS;V _
lijst van belgische gemeenten	lijst van belgisch gemeente	MASC+FEM;N;SG ADP ADJ N;PL
rogier van der weyden ( 1399-1464 ) , kunstschilder	rogier van der weyden ( 1399-1464 ) , kunstschilder	PROPN PROPN PROPN PROPN _ _ _ _ MASC+FEM;N;SG
de fransen waren al eerder in conflict met de nederlanden geweest .	de frans zijn al eerder in conflict met de nederland zijn .	DEF;DET ADJ FIN;PL;PST;V ADV ADJ ADP N;NEUT;SG ADP DEF;DET PL;PROPN V;V.PTCP _
haven van antwerpen	haven van antwerpen	MASC+FEM;N;SG ADP NEUT;PROPN;SG
ze is gegroeid uit verschillende liberale vakverenigingen die overal in het land ontstonden .	ze zijn groeien uit verschillend liberaal vakvereniging die overal in het land ontstaan .	3;PRO FIN;PRS;SG;V V;V.PTCP ADP ADJ ADJ N;PL PRO ADV ADP DEF;DET N;NEUT;SG FIN;PL;PST;V _
oostenrijkse tijd	oostenrijks tijd	ADJ MASC+FEM;N;SG
er was zelfs wisselwerking met de landschappers van de kalmthoutse school en de dendermondse school , die zich in de tervurense natuur kwamen ophouden .	er zijn zelfs wisselwerking met de landschapper van de kalmthouts school en de dendermonds school , die zich in de tervurens natuur komen ophouden .	ADV FIN;PST;SG;V ADV MASC+FEM;N;SG ADP DEF;DET N;PL ADP DEF;DET ADJ MASC+FEM;N;SG CONJ DEF;DET ADJ MASC+FEM;N;SG _ PRO 3;ACC;PRO;REFL ADP DEF;DET ADJ MASC+FEM;N;SG FIN;PL;PST;V NFIN;V _
de twee toernooien worden gewonnen door justine henin .	de twee toernooi worden winnen door justine henin .	DEF;DET NUM N;PL FIN;PL;PRS;V V;V.PTCP ADP PROPN PROPN _
nederlands stripmuseum	nederlands stripmuseum	PROPN PROPN
momenteel zijn slechts twee bedrijven eigenaar van de vlaamse media maatschappij , namelijk de persgroep ( het laatste nieuws , de morgen , het parool , ... ) en roularta ( knack , trends , le vif , ... ) .	momenteel zijn slechts twee bedrijf eigenaar van de vlaams media maatschappij , namelijk de persgroep ( het laatste nieuws , de morgen , het parool , ... ) en roularta ( knack , trends , le vif , ... ) .	ADJ FIN;PL;PRS;V ADV NUM N;PL MASC+FEM;N;SG ADP DEF;DET ADJ N;PL MASC+FEM;N;SG _ ADV DEF;DET MASC+FEM;PROPN;SG _ PROPN PROPN PROPN _ PROPN PROPN _ PROPN PROPN _ _ _ CONJ MASC+FEM;PROPN;SG _ MASC+FEM;PROPN;SG _ MASC+FEM;PROPN;SG _ PROPN PROPN _ _ _ _
recentelijk werd een fontein uit de tijd van napoleon na bijna dertig jaar teruggeplaatst op het gentiel antheunisplein , naast het cultureel centrum .	recentelijk worden een fontein uit de tijd van napoleon na bijna dertig jaar terugplaatsen op het gentiel antheunisplein , naast het cultureel centrum .	ADJ FIN;PST;SG;V DET;INDF MASC+FEM;N;SG ADP DEF;DET MASC+FEM;N;SG ADP MASC+FEM;PROPN;SG ADP ADV NUM N;NEUT;SG V;V.PTCP ADP DEF;DET PROPN PROPN _ ADP DEF;DET ADJ N;NEUT;SG _
van 2002 tot 2004 verzorgde urbanus het scenario van de eerste vier albums van klein suske en wiske .	van 2002 tot 2004 verzorgen urbanus het scenario van de één vier album van klein suske en wiske .	ADP NUM ADP NUM FIN;PST;SG;V MASC+FEM;PROPN;SG DEF;DET N;NEUT;SG ADP DEF;DET ADJ NUM N;PL ADP ADJ MASC+FEM;PROPN;SG CONJ MASC+FEM;PROPN;SG _
oorspronkelijk liep de wedstrijd van parijs naar roubaix , een voorstad van rijsel .	oorspronkelijk lopen de wedstrijd van parijs naar roubaix , een voorstad van rijsel .	ADJ FIN;PST;SG;V DEF;DET MASC+FEM;N;SG ADP NEUT;PROPN;SG ADP NEUT;PROPN;SG _ DET;INDF MASC+FEM;N;SG ADP NEUT;PROPN;SG _
antwerpen	antwerpen	NEUT;PROPN;SG
engels ( uk ) : spike & suzy	engels ( uk ) : spike & suzy	NEUT;PROPN;SG _ MASC+FEM;PROPN;SG _ _ PROPN PROPN PROPN
openleggen van de vliet melaan	openleggen van de vliet melaan	NFIN;V ADP DEF;DET MASC+FEM;N;SG MASC+FEM;PROPN;SG
door de pruisische nederlaag bij ligny was wellingtons positie bij quatre-bras onhoudbaar geworden .	door de pruisisch nederlaag bij ligny zijn wellington positie bij quatre-bras onhoudbaar worden .	ADP DEF;DET ADJ MASC+FEM;N;SG ADP NEUT;PROPN;SG FIN;PST;SG;V PROPN;SG MASC+FEM;N;SG ADP NEUT;PROPN;SG ADJ V;V.PTCP _
1908 - cyrille van hauwaert	1908 - cyrille van hauwaert	NUM _ PROPN PROPN PROPN
externe links	extern link	ADJ N;PL
de spaanse tijd is de periode tussen 1494 en 1714 .	de spaans tijd zijn de periode tussen 1494 en 1714 .	DEF;DET ADJ MASC+FEM;N;SG FIN;PRS;SG;V DEF;DET MASC+FEM;N;SG ADP NUM CONJ NUM _
islamieten vormen naar schatting 3% van de vlaamse bevolking ; vormen protestanten , anglicanen , orthodoxen en joden elk minder dan een procent .	islamiet vormen naar schatting 3% van de vlaams bevolking ; vormen protestant , anglicaan , orthodox en jood elk weinig dan een procent .	N;PL FIN;PL;PRS;V ADP MASC+FEM;N;SG _ ADP DEF;DET ADJ MASC+FEM;N;SG _ FIN;PL;PRS;V N;PL _ N;PL _ ADJ CONJ N;PL PRO PRO CONJ DET;INDF N;NEUT;SG _
leen verbist ( sp.a )	leen verbist ( sp.a )	PROPN PROPN _ MASC+FEM;PROPN;SG _
sus antigoon - bet-bet-bet-bet-betovergrootvader van suske en de ontdekker van het eiland amoras .	sus antigoon - bet-bet-bet-bet-betovergrootvader van suske en de ontdekker van het eiland amoras .	PROPN PROPN _ MASC+FEM;N;SG ADP MASC+FEM;PROPN;SG CONJ DEF;DET MASC+FEM;N;SG ADP DEF;DET N;NEUT;SG NEUT;PROPN;SG _
in 1920 leidde dat tot de oprichting van de « nationale centrale der liberale vakbonden van belgië » .	in 1920 leiden dat tot de oprichting van de « nationaal centraal de liberaal vakbond van belgië » .	ADP NUM FIN;PST;SG;V 3;PRO ADP DEF;DET MASC+FEM;N;SG ADP DEF;DET _ ADJ ADJ DEF;DET ADJ N;PL ADP NEUT;PROPN;SG _ _
hergé , franstalige striptekenaar die kuifje schiep	hergé , franstalig striptekenaar die kuifje scheppen	MASC+FEM;PROPN;SG _ ADJ MASC+FEM;N;SG PRO MASC+FEM;PROPN;SG FIN;PST;SG;V
deze gevangenis biedt plaats aan 450 gedetineerden en is de modernste gevangenis van belgië .	deze gevangenis bieden plaats aan 450 detineren en zijn de modern gevangenis van belgië .	DET MASC+FEM;N;SG FIN;PRS;SG;V MASC+FEM;N;SG ADP NUM V;V.PTCP CONJ FIN;PRS;SG;V DEF;DET ADJ;RL MASC+FEM;N;SG ADP NEUT;PROPN;SG _
1910 - jules masselis	1910 - jules masselis	NUM _ PROPN PROPN
1986 - sean kelly ( )	1986 - sean kelly ( )	NUM _ PROPN PROPN _ _
het hoogste punt vormt de 651 meter hoge baraque de fraiture in de gemeente vielsalm .	het hoog punt vormen de 651 meter hoog baraque de fraiture in de gemeente vielsalm .	DEF;DET ADJ;RL N;NEUT;SG FIN;PRS;SG;V DEF;DET NUM MASC+FEM;N;SG ADJ PROPN PROPN PROPN ADP DEF;DET MASC+FEM;N;SG NEUT;PROPN;SG _
deze is de modernste en grootste hal van belgië , en hal de enige die voldoet aan de olympische normen .	deze zijn de modern en groot hal van belgië , en hal de enig die voldoen aan de olympisch norm .	PRO FIN;PRS;SG;V DEF;DET ADJ;RL CONJ ADJ;RL MASC+FEM;N;SG ADP NEUT;PROPN;SG _ CONJ MASC+FEM;N;SG DEF;DET PRO PRO FIN;PRS;SG;V ADP DEF;DET ADJ N;PL _
ook is er de universiteit hasselt met een campus in diepenbeek en vanaf 2007 ook in hasselt .	ook zijn er de universiteit hasselt met een campus in diepenbeek en vanaf 2007 ook in hasselt .	ADV FIN;PRS;SG;V ADV DEF;DET PROPN PROPN ADP DET;INDF MASC+FEM;N;SG ADP NEUT;PROPN;SG CONJ ADP NUM ADV ADP NEUT;PROPN;SG _
de fontein werkt nog steeds .	de fontein werken nog steeds .	DEF;DET MASC+FEM;N;SG FIN;PRS;SG;V ADV ADV _
de gebruikte gisten vallen in twee hoofdgroepen uiteen : « bovengist » en « ondergist » .	de gebruiken gist vallen in twee hoofdgroep uiteen : « bovengist » en « ondergist » .	DEF;DET V;V.PTCP N;PL FIN;PL;PRS;V ADP NUM N;PL ADV _ _ MASC+FEM;N;SG _ CONJ _ MASC+FEM;N;SG _ _
ook bij evenementen in de grenslandhallen gebeurt dit .	ook bij evenement in de grenslandhallen gebeuren dit .	ADV ADP N;PL ADP DEF;DET PL;PROPN FIN;PRS;SG;V 3;PRO _
ensor had een zus , mietje ( mitche , noemde hij haar ) die één jaar jonger was dan hij .	ensor hebben een zus , mietje ( mitche , noemen hij haar ) die één jaar jong zijn dan hij .	MASC+FEM;PROPN;SG FIN;PST;SG;V DET;INDF MASC+FEM;N;SG _ MASC+FEM;PROPN;SG _ MASC+FEM;PROPN;SG _ FIN;PST;SG;V 3;NOM;PRO 3;ACC;PRO _ PRO NUM N;NEUT;SG ADJ;CMPR FIN;PST;SG;V CONJ 3;NOM;PRO _
- 18 augustus 2004 - opinieartikel van rudi de ceuster naar aanleiding van het ontslag van luc van loon	- 18 augustus 2004 - opinieartikel van rudi de ceuster naar aanleiding van het ontslag van luc van loon	_ NUM MASC+FEM;PROPN;SG NUM _ N;NEUT;SG ADP PROPN PROPN PROPN ADP MASC+FEM;N;SG ADP DEF;DET N;NEUT;SG ADP PROPN PROPN PROPN
