oighe chuimealta a bhíos aige leis an obair is fíneálta a dhéanamh .	oighe chuimealta a bí ag le an obair is fíneálta a déanamh .	MASC;PROPN;SG ADJ;V.PTCP PART IMP;PST;V 3;ADP;MASC;SG ADP DEF;DET;SG DEF;FEM;N;SG PART ADJ;{CMPR/RL} PART N;NFIN _
troideadh an cás i ngaeilge os comhair an bhreithimh peter kelly agus cheadaigh seisean toirmeasc a chuireann cosc ar stiúrthóir na nionchúiseamh poiblí , atá ag glacadh an cháis thar ceann an gharda , a chuireann cosc air an cás a chur chun na cúirte dúiche go dtí go n-éistfear leis an chás iomlán san ard-chúirt .	troid an cás i gaeilge os comhair an breithimh peter kelly agus ceadaigh seisean toirmeasc a cuir cosc ar stiúrthóir na ionchúiseamh poiblí , bí ag glacadh an cás thar ceann an garda , a cuir cosc ar an cás a cur chun na cúirt dúiche go dtí go éist le an cás iomlán i ard-chúirt .	IND;PST;V DEF;DET;SG DEF;MASC;N;SG ADP FEM;PROPN;SG ADP ADP DEF;DET;SG FEM;GEN;PROPN;SG MASC;PROPN;SG MASC;PROPN;SG CONJ IND;PST;V 3;MASC;PRO;SG MASC;N;SG PART IND;PRS;V MASC;N;SG ADP MASC;N;SG DEF;DET;PL DEF;GEN;MASC;N;PL ADJ _ IND;PRS;V ADP N;V.MSDR DEF;DET;SG DEF;GEN;MASC;N;SG ADP ADP DEF;DET;SG DEF;GEN;MASC;N;SG _ PART IND;PRS;V MASC;N;SG 3;ADP;MASC;SG DEF;DET;SG DEF;MASC;N;SG PART N;NFIN ADP DEF;DET;FEM;GEN;SG DEF;FEM;GEN;N;SG DEF;FEM;GEN;N;SG ADP ADP CONJ FUT;IND;V ADP DEF;DET;SG MASC;N;SG ADJ;MASC;SG ADP;SG MASC;PROPN;SG _
cad a thug sí do mháire ?	cad a tabhair sí do máire ?	PRO PART IND;PST;V 3;FEM;PRO;SG ADP FEM;PROPN;SG _
tar éis trí lá tháinig sé abhaile .	tar éis trí lá tar sé abhaile .	ADP ADP NUM MASC;N;SG IND;PST;V 3;MASC;PRO;SG ADV _
deineadh amhlaidh .	dein amhlaidh .	IND;PST;V ADV _
ansin nach deas mar a bheadh an scéal a'm ?	ansin is deas mar a bí an scéal ag ?	ADV NEG;PRS;V ADJ CONJ PART COND;V DEF;DET;SG DEF;MASC;N;SG 1;ADP;SG _
agus d' imigh liomsa , ' adeir sé , ' agus thosaigh mé ag strapadóireacht , agus suas , suas a chuaigh mé , ' adeir sé , ' agus bhí mé a' dhul suas suas ar an gcrann , ' adeir sé , ' go brách , ó ghéagán go géagán , ' adeir sé , ' go dtáinig mé go dtí doras na bhflaitheas .	agus do imigh le , ' abair sé , ' agus tosaigh mé ag strapadóireacht , agus suas , suas a téigh mé , ' abair sé , ' agus bí mé a dul suas suas ar an crann , ' abair sé , ' go brách , ó ghéagán go géagán , ' abair sé , ' go tar mé go dtí doras na flaitheas .	CONJ PART IND;PST;V 1;ADP;SG _ _ IND;PRS;V 3;MASC;PRO _ _ CONJ IND;PST;V 1;PRO;SG ADP N;V.MSDR _ CONJ ADV _ ADV PART IND;PST;V 1;PRO;SG _ _ IND;PRS;V 3;MASC;PRO _ _ CONJ IND;PST;V 1;PRO;SG PART N;NFIN ADV ADV ADP DEF;DET;SG MASC;N;SG _ _ IND;PRS;V 3;MASC;PRO _ _ ADP N;SG _ ADP MASC;N;SG ADP MASC;N;SG _ _ IND;PRS;V 3;MASC;PRO _ _ PART IND;PST;V 1;PRO;SG ADP ADP MASC;N;SG DEF;DET;PL DEF;GEN;MASC;N;PL _
fearais ti gniomhartha da dtagraitear fear cathrach é pearse hutchinson , mar shampla , fear a bheadh ina éan corr i bpobal tuaithe , agus is léar sin ar a chuid filíochta .	fearas ti gniomharth da tagair fear cathair é pearse hutchinson , mar sampla , fear a bí i éan corr i pobal tuath , agus is léar sin ar a cuid filíocht .	MASC;N;PL MASC;PROPN;SG MASC;N;PL MASC;PROPN;SG IND;PRS;V MASC;N;SG FEM;GEN;N;SG 3;MASC;PRO;SG MASC;PROPN;SG MASC;PROPN;SG _ ADP MASC;N;SG _ MASC;N;SG PART COND;V 3;ADP;MASC;SG MASC;N;SG ADJ;MASC;SG ADP MASC;N;SG FEM;GEN;N;SG _ CONJ PRS;V MASC;N;SG PRO ADP 3;DET;MASC;SG FEM;N;SG FEM;GEN;N;SG _
máire .	máire .	FEM;PROPN;SG _
' creidimidne , mar thoradh ar intra , go bhforbraíonn na mic léinn a gcuid tuisceana ar shaol proifisiúnta na tionsclaíochta agus go dtagann borradh faoina bhféinmhuinín , a n-aibíocht agus a gcuid scileanna caidrimh dhaonna , ' a deir an dr. caoilfhionn nic pháidín , stiúrthóir fiontar .	' creid , mar toradh ar intra , go forbair na mac léann a cuid tuisceana ar saol proifisiúnta na tionsclaíocht agus go tar borradh faoi bhféinmhuinín , a aibíocht agus a cuid scil caidreamh daonna , ' a abair an dochtúir caoilfhionn nic páidín , stiúrthóir fiontar .	_ 1;IND;PL;PRS;V _ ADP MASC;N;SG ADP _ _ PART IND;PRS;V DEF;DET;PL DEF;MASC;N;PL GEN;MASC;N;SG 3;DET;PL FEM;N;SG MASC;N;PL ADP MASC;N;SG ADJ DEF;DET;FEM;GEN;SG DEF;FEM;GEN;N;SG CONJ PART IND;PRS;V MASC;N;SG 3;ADP;PL MASC;N;SG _ 3;DET;PL FEM;N;SG CONJ 3;DET;PL FEM;N;SG FEM;GEN;N;PL GEN;MASC;N;SG ADJ;GEN;MASC;SG _ _ PART IND;PRS;V DEF;DET;SG _ FEM;PROPN;SG PART MASC;PROPN;SG _ MASC;N;SG GEN;MASC;N;PL _
bhí a raibh uathu sa chiseán acu : buidéal mór bainne , ceapairí deasa , brioscaí agus milseáin .	bí a bí ó i ciseán ag : buidéal mór bainne , ceapaire deas , briosca agus milseán .	IND;PST;V PART IND;NEG;PST;V 3;ADP;PL ADP;SG MASC;N;SG 3;ADP;PL _ MASC;N;SG ADJ;MASC;SG GEN;MASC;N;SG _ MASC;N;PL ADJ;PL _ MASC;N;PL CONJ MASC;N;PL _
cheannaigh sé leabhar áit a bhí sé ar fáil .	ceannaigh sé leabhar áit a bí sé ar fáil .	IND;PST;V 3;MASC;PRO;SG MASC;N;SG CONJ PART IND;PST;V 3;MASC;PRO;SG ADP N;NFIN _
casadh eochair i nglas a raibh meirg na mblianta air , dar leat , ón díoscán gránna a rinne sé agus b' iúd an doras ar leathadh romham .	cas eochair i glas a bí meirg na bliain ar , dar le , ó díoscán gránna a déan sé agus is iúd an doras ar leathadh roimh .	IND;PST;V FEM;N;SG ADP MASC;N;SG PART IND;PST;V FEM;N;SG DEF;DET;PL DEF;FEM;GEN;N;PL 3;ADP;MASC;SG _ IND;PRS;V 2;ADP;SG _ ADP;SG DEF;MASC;N;SG ADJ;MASC;SG PART IND;PST;V 3;MASC;PRO;SG CONJ PST;V PRO DEF;DET;SG DEF;MASC;N;SG ADP N;NFIN 1;ADP;SG _
tháinig beirt fhathach isteach sa chúige agus bhí siad ag creachadh na dúiche gan stad gan staonadh .	tar beirt fathach isteach i cúige agus bí siad ag creachadh na dúiche gan stad gan staonadh .	IND;PST;V FEM;N;SG MASC;N;SG ADV ADP;SG MASC;N;SG CONJ IND;PST;V 3;PL;PRO ADP N;V.MSDR DEF;DET;FEM;GEN;SG DEF;FEM;GEN;N;SG ADP MASC;N;SG ADP MASC;N;SG _
tháinig imní airsean de bharr éirí amach 1916 ; bhí mórchuid den troid thart ar fhaiche stiabhna agus , mar a tharla , conraitheoir gníomhach liam ó briain istigh ina lár leis an arm cathartha .	tar imní ar de bharr éirí amach 1916 ; bí mórchuid de troid thart ar faiche stiabhna agus , mar a tarlaigh , conraitheoir gníomhach liam ó briain istigh i lár le an arm cathartha .	IND;PST;V FEM;N;SG 3;ADP;MASC;SG ADP ADP GEN;MASC;N;SG ADV NUM _ IND;PST;V FEM;N;SG ADP;SG FEM;N;SG ADV ADP FEM;N;SG MASC;PROPN;SG CONJ _ CONJ PART IND;PST;V _ MASC;N;SG ADJ;MASC;SG MASC;PROPN;SG PART MASC;PROPN;SG ADV 3;ADP;MASC;SG MASC;N;SG ADP DEF;DET;SG MASC;N;SG ADJ;MASC;SG _
bhí máirtín conspóideach .	bí máirtín conspóideach .	IND;PST;V MASC;PROPN;SG ADJ _
is airde sliabh ná cnoc .	is ard sliabh ná cnoc .	PRS;V ADJ;{CMPR/RL} MASC;N;SG CONJ MASC;N;SG _
meabhraítear dhá arcaitíopa mháire dúinn arís , ' fear sanntach saoghalta agus fear fial fileamhanta ' , ( 1942 , 5) a luaigh mé i gcaibidil 1 .	meabhraigh dó arcaitíop máire do arís , ' fear sanntach saoghalta agus fear fial fileamhanta ' , ( 1942 , 5) a luaigh mé i caibidil 1 .	IND;PRS;V NUM MASC;N;PL FEM;GEN;PROPN 1;ADP;PL ADV _ _ MASC;N;SG ADJ;MASC;SG ADJ;MASC;SG CONJ MASC;N;SG ADJ;MASC;SG ADJ;MASC;SG _ _ _ NUM _ _ PART IND;PST;V 1;PRO;SG ADP FEM;N;SG NUM _
d' fhan sé ansin go ciúin ins an seomra ar feadh leath uair a chloig nuair a bhí tuirse air .	do fan sé ansin go ciúin i an seomra ar feadh leath uair an clog nuair a bí tuirse ar .	PART IND;PST;V 3;MASC;PRO;SG ADV PART ADJ ADP;SG DEF;DET;SG DEF;MASC;N;SG ADP ADP DET FEM;N;SG DEF;DET;SG DEF;GEN;MASC;N;SG CONJ PART IND;PST;V FEM;N;SG 3;ADP;MASC;SG _
foinse sa rang .	foinse i rang .	FEM;N;SG ADP;SG MASC;N;SG _
faisean le úna ní bhrannagáin ná híocaigí na táillí - fahey brú tráchta i maigh eo .	faisean le úna ní bhrannagáin ná híoc na táille - fahey brú trácht i maigh eo .	MASC;N;SG ADP FEM;PROPN;SG PART MASC;PROPN;SG IMP;PART 2;IMP;PL;V DEF;DET;PL DEF;FEM;N;PL _ MASC;PROPN;SG MASC;PROPN;SG GEN;MASC;N;SG ADP MASC;PROPN;SG PROPN _
as san go dtí fromista , áit a bhfuil séipéal álainn ón 11ú céad sa stíl rómhánach .	as sin go dtí fromista , áit a bí séipéal álainn ó 11 céad i stíl rómhánach .	ADP PRO ADP ADP MASC;PROPN;SG _ FEM;N;SG PART IND;PRS;V MASC;N;SG ADJ;MASC;SG ADP;SG NUM MASC;N;SG ADP;SG FEM;N;SG ADJ;MASC;SG _
tá sé briste as a phost gan tuilleadh moille mar gheall ar cheist polasaí atá leagtha síos ag eagraíocht nach bhfuil ceaptha ag an stát ná ag aon eagraíocht stáit .i. an foras pátrúnachta , dream nach bhfuil d' údarás acu labhairt thar ceann na roinne oideachais , thar ceann gaelscoileanna ná thar ceann foras na gaeilge ' , a deir an tuas ó cuinneagáin .	bí sé briste as a post gan tuilleadh moill mar geall ar ceist polasaí bí leagtha síos ag eagraíocht nach bí ceaptha ag an stát ná ag aon eagraíocht stát .i. an foras pátrúnacht , dream nach bí de údarás ag labhairt thar ceann na roinn oideachas , thar ceann gaelscoileanna ná thar ceann foras na gaeilge ' , a abair an uas ó cuinneagáin .	IND;PRS;V 3;MASC;PRO;SG ADJ;V.PTCP ADP 3;DET;MASC;SG MASC;N;SG ADP MASC;N;SG FEM;GEN;N;SG ADP MASC;N;SG ADP FEM;N;SG GEN;MASC;N;SG IND;PRS;V ADJ;V.PTCP ADV ADP FEM;N;SG NEG;PART IND;PRS;V ADJ;V.PTCP ADP DEF;DET;SG DEF;MASC;N;SG CONJ ADP DET FEM;N;SG GEN;MASC;N;SG _ DEF;DET;SG DEF;MASC;N;SG FEM;GEN;N;SG _ MASC;N;SG NEG;PART IND;NEG;PRS;V ADP MASC;N;SG 3;ADP;PL N;NFIN ADP ADP DEF;DET;PL PRS;SBJV;V MASC;N;SG;VOC _ ADP ADP MASC;PROPN;SG CONJ ADP ADP GEN;MASC;N;PL DEF;DET;FEM;GEN;SG DEF;FEM;GEN;PROPN;SG _ _ PART IND;PRS;V DEF;DET;SG DEF;MASC;N;SG PART MASC;PROPN;SG _
i seó abábú , beidh máire andrews ag insint scéalta difriúla trí mheán an cheoil agus na gluaiseachta .	i seó abábú , bí máire andrews ag insint scéal difriúil trí meán an ceol agus na gluaiseacht .	ADP MASC;N;SG MASC;PROPN;SG _ FUT;IND;V FEM;PROPN;SG MASC;PROPN;SG ADP N;V.MSDR GEN;MASC;N;PL ADJ;GEN;PL ADP MASC;N;SG DEF;DET;SG DEF;GEN;MASC;N;SG CONJ DEF;DET;FEM;GEN;SG DEF;FEM;GEN;N;SG _
sea !	is !	PRS;V _
níl tóiceo agus aerfort haneda ach thart ar leathuair ar shiúl i gcarr agus níl aerfort idirnáisiúnta thóiceo , naritam , ach thart ar uair go leith an chloig ar shiúl .	bí tóiceo agus aerfort haneda ach thart ar uair ar siúl i carr agus bí aerfort idirnáisiúnta tóiceo , naritam , ach thart ar uair go leith an clog ar siúl .	IND;NEG;PRS;V MASC;PROPN;SG CONJ MASC;N;SG MASC;PROPN;SG CONJ ADV ADP FEM;N;SG ADP N;NFIN ADP MASC;N;SG CONJ IND;NEG;PRS;V MASC;N;SG ADJ GEN;MASC;PROPN;SG _ MASC;PROPN;SG _ CONJ ADV ADP FEM;N;SG ADP FEM;N;SG DEF;DET;SG DEF;GEN;MASC;N;SG ADP N;NFIN _
' ' cad a déarfaidh an tiarna liom ?	' ' cad a abair an tiarna le ?	_ _ PRO PART FUT;IND;V DEF;DET;SG DEF;MASC;N;SG 1;ADP;SG _
bhí a cos féin ag breathnú uirthi , an chos chéanna go baileach ar dhath an spáinnéir , bán is donn , súil ghrinn ag an gcos is an tsúil sin ag amhastrach uirthi .	bí a cos féin ag breathnú ar , an cos céanna go baileach ar dath an spáinnéar , bán agus donn , súil grinn ag an cos agus an súil sin ag amhastrach ar .	IND;PST;V 3;DET;FEM;SG FEM;N;SG PRO;REFL ADP N;V.MSDR 3;ADP;FEM;SG _ DEF;DET;SG FEM;N;SG ADJ PART ADJ ADP MASC;N;SG DEF;DET;SG GEN;MASC;N;SG _ MASC;N;SG CONJ MASC;N;SG _ FEM;N;SG ADJ;FEM;SG ADP DEF;DET;SG FEM;N;SG CONJ DEF;DET;SG DEF;FEM;N;SG DET ADP N;V.MSDR 3;ADP;FEM;SG _
dar leis go bhfuil sé de dhualgas ar gach duine atá bainteach le clg , tús áite a thabhairt do labhairt na gaeilge agus féachaint chuige , pé acu tré ' scór ' nó ócáidí sóisialta an chumainn , go mbeidh ' an chuid sin dár n-oidhreacht á caomhnú agus á forbairt ' .	dar le go bí sé de dualgas ar gach duine bí bainteach le clg , tús áit a tabhairt do labhairt na gaeilge agus féachaint chuig , pé ag trí ' scór ' nó ócáid sóisialta an cumann , go bí ' an cuid sin de oidhreacht do caomhnú agus do forbairt ' .	IND;PRS;V 3;ADP;MASC;SG PART IND;PRS;V 3;MASC;PRO;SG ADP MASC;N;SG ADP DEF;DET MASC;N;SG IND;PRS;V ADJ ADP _ _ MASC;N;SG FEM;GEN;N;SG PART N;NFIN ADP N;NFIN DEF;DET;FEM;GEN;SG DEF;FEM;GEN;PROPN;SG CONJ FEM;N;SG 3;ADP;MASC;SG _ PRO 3;ADP;PL ADP _ MASC;N;SG _ CONJ FEM;N;PL ADJ DEF;DET;SG DEF;GEN;MASC;N;SG _ PART FUT;IND;V _ DEF;DET;SG DEF;FEM;N;SG DET 1;ADP;PL FEM;N;SG 3;ADP;FEM;SG N;NFIN CONJ 3;ADP;FEM;SG N;NFIN _ _
níorbh eol d' éinne cé mhéad éalainge a bhí ar an gcuid sin dá corp a bhí clúdaithe le dhá chóitín , rapar , ceithre bhlús agus geansaí a raibh an oiread poll ann agus a bheadh in eangach .	is eol do duine cé méad éalang a bí ar an cuid sin do corp a bí clúdaithe le dó cóitín , rapar , ceathair blús agus geansaí a bí an oiread poll i agus a bí i eangach .	NEG;PST;V MASC;N;SG ADP MASC;N;SG PRO MASC;N;SG FEM;GEN;N;SG PART IND;PST;V ADP DEF;DET;SG FEM;N;SG DET 3;ADP;FEM;SG MASC;N;SG PART IND;PST;V ADJ;V.PTCP ADP NUM MASC;N;SG _ MASC;N;SG _ NUM MASC;N;SG CONJ MASC;N;SG PART IND;PST;V DEF;DET;SG N;SG GEN;MASC;N;PL 3;ADP;MASC;SG CONJ PART COND;V ADP FEM;N;SG _
agus bígí ar ais anseo thart ar mheán lae .	agus bí ar ais anseo thart ar meán lá .	CONJ 2;IMP;PL;V ADV ADV ADV ADV ADP MASC;N;SG GEN;MASC;N;SG _
feictear fosta é san eachtra ina mbuaileann babaí an dálach trasna na pluice ( 46-54 ) , agus in iarmairt an ghnímh sin ( 60-62 ) .	feic fosta é i eachtra i buail babaí an dálach trasna na pluc ( 46-54 ) , agus i iarmairt an gníomh sin ( 60-62 ) .	IND;PRS;V ADV 3;MASC;PRO;SG ADP;SG FEM;N;SG PART IND;PRS;V MASC;N;SG DEF;DET;SG N;SG PART DEF;DET;FEM;GEN;SG FEM;GEN;N;SG _ NUM _ _ CONJ ADP FEM;N;SG DEF;DET;SG DEF;GEN;MASC;N;SG DET _ NUM _ _
' ní bheidh mé in ann fanacht istigh leat anocht , tá cabhair ag teastáil ó liam , an fear bocht .	' ní bí mé in ann fanacht istigh le anocht , bí cabhair ag teastáil ó liam , an fear bocht .	_ NEG;PART FUT;IND;NEG;V 1;PRO;SG ADP ADP N;NFIN ADV 2;ADP;SG ADV _ IND;PRS;V FEM;N;SG ADP N;V.MSDR ADP MASC;PROPN;SG _ DEF;DET;SG DEF;MASC;N;SG ADJ;MASC;SG _
bhí ciúnas millteanach sa halla mhór a bhí chóir lán .	bí ciúnas millteanach i halla mór a bí cóir lán .	IND;PST;V MASC;N;SG ADJ;MASC;SG ADP;SG MASC;N;SG ADJ;MASC;SG PART IND;PST;V FEM;N;SG ADJ;FEM;SG _
tá colmlanna áille ann ar chrot tithe beaga ceanntuí .	bí lann álainn i ar chrot teach beag tuí .	IND;PRS;V FEM;N;PL ADJ;PL 3;ADP;MASC;SG ADP MASC;N;SG GEN;MASC;N;PL ADJ;GEN;PL FEM;GEN;N;SG _
' tabhair faoi deara freisin gur tháinig garret os comhair an bhinse fiosraithe an lá céanna a bhí bill clinton ar cuairt go baile átha cliath .	' tabhair faoi deara freisin gur tar garret os comhair an binse fiosrú an lá céanna a bí bill clinton ar cuairt go baile átha cliath .	_ 2;IMP;SG;V ADP N;SG ADV PART;PST IND;PST;V MASC;PROPN;SG ADP ADP DEF;DET;SG FEM;GEN;PROPN;SG GEN;N;NFIN DEF;DET;SG DEF;MASC;N;SG ADJ;MASC;SG PART IND;PST;V MASC;PROPN;SG MASC;PROPN;SG ADP FEM;N;SG ADP MASC;PROPN;SG GEN;MASC;PROPN;SG PROPN _
thaistil eoin ní ba mhó ná pápa ar bith ó aimsir pio nono ( pius ix ) ar aghaidh - i ngluaisteáin agus ar thraenacha .	taistil eoin ní ba mór ná pápa ar bith ó aimsir pio nono ( pius ix ) ar aghaidh - i gluaisteán agus ar traein .	IND;PST;V MASC;PROPN;SG PART PART ADJ;{CMPR/RL} CONJ MASC;N;SG ADP N;SG ADP FEM;N;SG MASC;PROPN;SG MASC;PROPN;SG _ MASC;PROPN;SG NUM _ ADP FEM;N;SG _ ADP MASC;N;PL CONJ ADP FEM;N;PL _
ach cá raibh na mórmheáin eile go léir idir phoiblí is phríobháideach ?	ach cá bí na meán eile go léir idir poiblí agus príobháideach ?	CONJ ADV IND;PST;V DEF;DET;PL DEF;MASC;N;PL DET PART ADJ ADP ADJ CONJ ADJ _
rinneadh ball de de rafiq mottiar sa bhliain 1965 agus riamh i leith , tá sé ag obair ar son saoirse san afraic theas .	déan ball de de rafiq mottiar i bliain 1965 agus riamh i leith , bí sé ag obair ar son saoirse i afraic theas .	IND;PST;V MASC;N;SG ADP PART MASC;PROPN;SG MASC;PROPN;SG ADP;SG DEF;FEM;N;SG NUM CONJ ADV ADP FEM;N;SG _ IND;PRS;V 3;MASC;PRO;SG ADP N;V.MSDR ADP ADP FEM;GEN;N;SG ADP;SG DEF;FEM;PROPN;SG ADV _
( postas níos mó ) .	( postas níos mór ) .	_ MASC;N;SG N;SG ADJ;{CMPR/RL} _ _
post ilghnéitheach é seo bunaithe san oifig den chuid is mó .	post ilghnéitheach é seo bunaithe i oifig de cuid is mór .	MASC;N;SG ADJ;MASC;SG 3;MASC;PRO;SG PRO ADJ;V.PTCP ADP;SG DEF;FEM;N;SG ADP;SG DEF;FEM;N;SG PART ADJ;{CMPR/RL} _
beidh a chomhionann le déanamh le fuaimniú na teanga agus is mithid sin le freastal ar mhúinteoirí , agus orthu sin a bhíonn ag plé le scrúduithe agus le trialacha cainte agus éisteachta , agus go háirithe le cuidiú le lucht raidió agus teilifíse uirlis chumhachtach chumarsáide , a dhéanfadh freastal ar phobal leathan ilbhéascnach , a chothú agus a bhuanú .	bí a ionann le déananh le fuaimniú na teanga agus is mithid sin le freastal ar múinteoir , agus ar sin a bí ag plé le scrúdú agus le triail caint agus éisteacht , agus go áirithe le cuidiú le lucht raidió agus teilifís uirlis cumhachtach cumarsáid , a déan freastal ar pobal leathan ilbhéascnach , a cothú agus a buanú .	FUT;IND;V 3;DET;MASC;SG ADJ ADP N;NFIN ADP MASC;N;SG DEF;DET;FEM;GEN;SG DEF;FEM;GEN;N;SG CONJ PRS;V ADJ PRO ADP N;NFIN ADP MASC;N;PL _ CONJ 3;ADP;PL PRO PART V ADP N;V.MSDR ADP MASC;N;PL CONJ ADP FEM;N;PL FEM;GEN;N;SG CONJ FEM;GEN;N;SG _ CONJ PART ADJ ADP N;NFIN ADP MASC;N;SG GEN;MASC;N;SG CONJ FEM;GEN;N;SG FEM;N;SG ADJ;FEM;SG FEM;GEN;N;SG _ PART COND;V MASC;N;SG ADP MASC;N;SG ADJ;MASC;SG ADJ _ PART N;NFIN CONJ PART N;NFIN _
cuimhní ó áit éigin eile , na blianta fada ó shin ?	cuimhne ó áit éigin eile , na bliain fada ó sin ?	FEM;N;PL ADP FEM;N;SG ADJ;FEM;SG DET _ DEF;DET;PL DEF;FEM;N;PL ADJ ADP PRO _
lean an madra í .	lean an madra í .	IND;PST;V DEF;DET;SG DEF;MASC;N;SG 3;FEM;PRO;SG _
tharla an rud céanna do chlann na poblachta tráth , agus do pháirtí na noibrithe .	tarlaigh an rud céanna do clann na poblacht tráth , agus do páirtí na oibriú .	IND;PST;V DEF;DET;SG DEF;MASC;N;SG ADJ ADP FEM;N;SG DEF;DET;FEM;GEN;SG DEF;FEM;GEN;N;SG MASC;N;SG _ CONJ ADP MASC;N;SG DEF;DET;FEM;GEN;SG DEF;GEN;MASC;N;PL _
sa seanam , d' imíodh sealgairí go corrán binne ag crochaireacht i gcuracha céasla le héin a ribeadh agus a chaitheamh .	i am , do imigh sealgaire go corrán beann ag crochaireacht i curach céasla le éan a ribeadh agus a caitheamh .	ADP;SG DEF;MASC;N;SG _ PART IND;PST;V MASC;N;PL ADP MASC;N;SG FEM;GEN;N;SG ADP FEM;N;SG ADP FEM;N;PL FEM;GEN;N;SG ADP MASC;N;PL PART N;NFIN CONJ PART N;NFIN _
!	!	_
bhí sé ag féachaint ar eilís go fiosrach ar feadh tamaill fhada agus ba é sin an chéad chaint uaidh .	bí sé ag féachaint ar eilís go fiosrach ar feadh tamall fada agus is é sin an céad caint ó .	IND;PST;V 3;MASC;PRO;SG ADP N;V.MSDR ADP FEM;PROPN;SG PART ADJ ADP ADP GEN;MASC;N;SG ADJ;GEN;MASC;SG CONJ PST;V 3;MASC;PRO;SG PRO DEF;DET;SG NUM FEM;N;SG 3;ADP;MASC;SG _
is miosáir é an volta ar ' neart ' bataire nó soláthair chumhachta .	is miosáir é an volta ar ' neart ' bataire nó soláthar cumhacht .	PRS;V FEM;N;SG 3;MASC;PRO;SG DEF;DET;SG DEF;MASC;N;SG ADP _ MASC;N;SG _ GEN;MASC;N;SG CONJ GEN;MASC;N;SG FEM;GEN;N;SG _
an rud a theastaigh ó bhreandán agus uaim féin ná post buan ollscoile a chur ar fáil , agus faraor , de bharr easpa airgeadais , níor éirigh leis an bplean ag an am .	an rud a teastaigh ó breandán agus ó féin ná post buan ollscoil a cur ar fáil , agus faraor , de bharr easpa airgeadas , níor éirigh le an plean ag an am .	DEF;DET;SG DEF;MASC;N;SG PART IND;PST;V ADP MASC;PROPN;SG CONJ 1;ADP;SG PRO;REFL CONJ MASC;N;SG ADJ;MASC;SG FEM;GEN;N;SG PART N;NFIN ADP N;NFIN _ CONJ INTJ _ ADP ADP FEM;N;SG GEN;MASC;N;SG _ NEG;PART;PST IND;NEG;PST;V ADP DEF;DET;SG MASC;N;SG ADP DEF;DET;SG MASC;N;SG _
b' fhearr dúinn imeacht isteach a tom .	is maith do imeacht isteach a tom .	PST;V ADJ;{CMPR/RL} 1;ADP;PL N;NFIN ADV PART MASC;PROPN;SG;VOC _
ní mar sin atá áfach .	is mar sin bí áfach .	NEG;PRS;V ADP PRO IND;PRS;V ADV _
b' in é an uair a baineadh an gheit as pádhraic .	is i é an uair a bain an geit as pádhraic .	PST;V ADP 3;MASC;PRO;SG DEF;DET;SG DEF;FEM;N;SG PART IND;PST;V DEF;DET;SG DEF;FEM;N;SG ADP MASC;PROPN;SG _
ach chonacthas iad ag dul thart i gcúl uaighe agus rinneadh trí charraig díobh .	ach feic iad ag dul thart i cúl uaigh agus déan trí carraig de .	CONJ IND;PST;V 3;PL;PRO ADP N;V.MSDR ADV ADP MASC;N;SG FEM;GEN;N;SG CONJ IND;PST;V NUM FEM;N;SG 3;ADP;PL _
thug .	tabhair .	IND;PST;V _
' tá an méid sin suimiúil a d' inis tú dom , ' a dúirt sé .	' bí an méid sin suimiúil a do inis tú do , ' a abair sé .	_ IND;PRS;V DEF;DET;SG DEF;MASC;N;SG DET ADJ PART PART IND;PST;V 2;PRO;SG 1;ADP;SG _ _ PART IND;PST;V 3;MASC;PRO;SG _
déantar chan di roimh ghutaí nó f plus guta ag tús focail : cha chuireann / chuireadh / chuirfeadh sé chan fhágann / fhágadh / fhágfadh sé chan ólann / óladh / ólfadh sé .	déan chan de roimh guta nó f plus guta ag tús focal : cha cuir / cuir / cuir sé chan fág / fág / fág sé chan ól / ól / ól sé .	IND;PRS;V NEG 3;ADP;FEM;SG ADP MASC;N;PL CONJ _ NUM MASC;N;SG ADP MASC;N;SG GEN;MASC;N;SG _ NEG IND;NEG;PRS;V _ IMP;NEG;PST;V _ COND;NEG;V 3;MASC;PRO;SG NEG IND;NEG;PRS;V _ IMP;NEG;PST;V _ COND;NEG;V 3;MASC;PRO;SG NEG IND;NEG;PRS;V _ IND;NEG;PST;V _ COND;NEG;V 3;MASC;PRO;SG _
imíonn sí suas chuig an staighre agus fuadar fútha .	imigh sí suas chuig an staighre agus fuadar fútha .	IND;PRS;V 3;FEM;PRO;SG ADV ADP DEF;DET;SG DEF;MASC;N;SG CONJ MASC;N;SG MASC;N;PL _
ní raibh aon chóras leasa shóisialta ag na rómhánaigh , ach níor mhór do na himpirí a dheimhniú go mbeadh dóthain le hithe ag cách .	ní bí aon córas leas sóisialta ag na rómhánach , ach is mór do na impire a deimhniú go bí dóthain le ithe ag cách .	NEG;PART IND;NEG;PST;V DET MASC;N;SG GEN;MASC;N;SG ADJ ADP DEF;DET;PL DEF;MASC;N;PL _ CONJ NEG;PST;V ADJ ADP DEF;DET;PL DEF;MASC;N;PL PART N;NFIN PART COND;V FEM;N;SG ADP N;NFIN ADP MASC;N;SG _
