eilañ perzhioù an teuliad	eilañ perzh an teuliad	NFIN;V MASC;N;PL DET MASC;N;SG
an diskoulmoù hag an diaesterioù evit diorren ar c’hinnig	an diskoulm ha an diaester evit diorren an kinnig	DET MASC;N;PL CONJ DET MASC;N;PL ADP NFIN;V DET MASC;N;SG
ur vro zo pinvidik a wazed hag a vaouezed	un bro bezañ pinvidik a gwaz ha a maouez	DET FEM;N;SG 3;FIN;IND;PRS;SG;V ADJ ADP MASC;N;PL CONJ ADP FEM;N;PL
un " dro bed ar sonerezh " a zastumo war he hent 10 strollad a sono e-kerz 13vet gouel an erer kozh .	un " tro bed an sonerezh " a dastum war he hent 10 strollad a soniñ e-kerz 13vet gouel an arar kozh .	DET _ FEM;N;SG MASC;N;SG DET MASC;N;SG _ PART 3;FIN;FUT;IND;SG;V ADP DET;PSS MASC;N;SG NUM;PL MASC;N;SG PART 3;FIN;FUT;IND;SG;V ADP NUM MASC;N;SG DET MASC;N;PL ADJ _
dont a ra soñj din _ , a-hend-all , eus ar c'homzoù a gane ma mamm d am breudeur ha din _ .	dont a ober soñj da indirect , a-hend-all , eus an komz a kanañ ma mamm da ma breur ha da indirect .	NFIN;V PART 3;FIN;IND;PRS;SG;V MASC;N;SG ADP 1;ACC;PRO;SG _ ADV _ ADP DET FEM;N;PL PART 3;FIN;IND;PST;SG;V DET FEM;N;SG ADP DET MASC;N;PL CONJ ADP 1;ACC;PRO;SG _
bravoc'h eo bremañ .	brav bezañ bremañ .	ADJ;CMPR 3;FIN;IND;PRS;SG;V ADV _
miliadoù a dud a oa deuet da vanifestiñ dec'h er r gêr-benn saoz evit skoazellañ tud tibet gwasket gant gouarnamant sina .	miliad a den a bezañ dont da manifestiñ dec’h e an kêr-penn saoz evit skoazellañ den tibet gwaskañ gant gouarnamant sina .	MASC;N;PL ADP MASC;N;PL PART 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADP NFIN;V ADV ADP DET FEM;N;SG ADJ ADP NFIN;V MASC;N;PL PROPN;SG PST;V;V.PTCP ADP MASC;N;SG PROPN;SG _
na selaouit ket ac'hanon !	na selaou ket direct !	NEG;PART 2;FIN;IND;PL;PRS;V ADV 1;ACC;PRO;SG _
bet eo yannig labourer-douar e-pad daou vloaz .	bezañ bezañ yannig labourer-douar e-pad daou bloaz .	PST;V;V.PTCP 3;FIN;IND;PRS;SG;V MASC;PROPN;SG MASC;N;SG ADP MASC;NUM;PL MASC;N;SG _
lakaet e oa izili ar sened d ar marv hag ar " peurrest " eus ar bobl a oa gwerzhet evel sklaved .	lakaat e bezañ ezel an sened da an marv ha an " peurrest " eus an pobl a bezañ gwerzhañ evel sklav .	PST;V;V.PTCP PART 3;FIN;IND;PST;SG;V MASC;N;PL DET MASC;N;SG ADP DET MASC;N;SG CONJ DET _ MASC;N;SG _ ADP DET FEM;N;SG PART 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADP MASC;N;PL _
ret eo dit _ dont .	ret bezañ da indirect dont .	ADJ 3;FIN;IND;PRS;SG;V ADP 2;ACC;PRO;SG NFIN;V _
klask un abadenn	klask un abadenn	NFIN;V DET FEM;N;SG
pasianted ivez !	pasianted ivez !	FEM;N;SG ADV _
saverion bennañ àr o zachenn	saver pennañ àr o tachenn	MASC;N;PL ADJ ADP DET FEM;N;SG
evet endeus .	evañ kaout .	PST;V;V.PTCP 3;FIN;IND;MASC;PRS;SG;V _
diorroet eo bet ar c’hinnig dre rouedadoù gant labour ar c’hevreadoù .	diorren bezañ bezañ an kinnig dre rouedad gant labour an kevread .	PST;V;V.PTCP 3;FIN;IND;PRS;SG;V PST;V;V.PTCP DET MASC;N;SG ADP FEM;N;PL ADP MASC;N;SG DET MASC;N;PL _
bras e voe e levezon war al lennegezh italianek er r xviivet kantved .	bras e bezañ e levezon war an lennegezh italianek e an xviivet kantved .	ADJ PART 3;FIN;PST;SG;V DET;PSS FEM;N;SG ADP DET FEM;N;SG ADJ ADP DET NUM;SG MASC;N;SG _
'vit an drede ploñjadenn , ar paotr beuzet e oa .	evit an trede ploñjadenn , an paotr beuziñ e bezañ .	ADP DET NUM FEM;N;SG _ DET MASC;N;SG PST;V;V.PTCP PART 3;FIN;IND;PST;SG;V _
degouezhet eo da gentañ .	degouezhout bezañ da kentañ .	PST;V;V.PTCP 3;FIN;IND;PRS;SG;V ADP ADJ _
ne c'haller ket lenn ur perzh skrivañ hepken .	ne gallout ket lenn un perzh skrivañ hepken .	ADV;NEG FIN;IND;PRS;V ADV NFIN;V DET MASC;N;SG NFIN;V ADV _
ar c'hezeg a harpas krenn war an taol hag a chomas hep fichal .	an marc’h a harpañ krenn war an taol ha a chom hep fichal .	DET MASC;N;PL PART 3;FIN;PST;SG;V ADJ ADP DET MASC;N;SG CONJ PART 3;FIN;PST;SG;V ADP NFIN;V _
dek kilometrad a-raok ar fin , e oa daou varc'hhouarner oc'h en em gannañ evit ar plas kentañ .	dek kilometrad a-raok an fin , e bezañ daou marc’hhouarner o en em kannañ evit an plas kentañ .	NUM;PL MASC;N;SG ADP DET FEM;N;SG _ PART 3;FIN;IND;PST;SG;V MASC;NUM;PL MASC;N;SG PART _ PART;REFL NFIN;V ADP DET MASC;N;SG ADJ _
disadorn e krogo ivez trede devezh ar brezhoneg e karaez .	disadorn e kregiñ ivez trede devezh an brezhoneg e karaez .	ADV PART 3;FIN;FUT;IND;SG;V ADV NUM MASC;N;SG DET MASC;N;SG ADP PROPN;SG _
kriz e chomo ar boued na vo ket poazhet .	kriz e chom an boued na bezañ ket poazhañ .	ADJ PART 3;FIN;FUT;IND;SG;V DET MASC;N;SG NEG;PART 3;FIN;FUT;IND;SG;V ADV PST;V;V.PTCP _
ne gavo ho preudeur labour ebet e pariz .	ne kavout ho breur labour ebet e pariz .	ADV;NEG 3;FIN;FUT;IND;SG;V DET MASC;N;PL MASC;N;SG ADV ADP PROPN;SG _
al levr -mañ eo an hini ameus kavet .	an levr mañ bezañ an hini kaout kavout .	DET MASC;N;SG ADV 3;FIN;IND;PRS;SG;V DET PRO;SG 1;FIN;IND;PRS;SG;V PST;V;V.PTCP _
arabat deoc h en em santout re gablus ma rit fazioù .	arabat da indirect en em santout re kablus ma ober fazi .	ADV ADP 2;ACC;PL;PRO _ PART;REFL NFIN;V ADV ADJ CONJ 2;FIN;IND;PL;PRS;V MASC;N;PL _
e brest , douarnenez , kemper , montroulez ha naoned e vo ivez tud bodet evit goulenn ar peoc'h etre israel ha palestina .	e brest , douarnenez , kemper , montroulez ha naoned e bezañ ivez den bodañ evit goulenn an peoc’h etre israel ha palestina .	ADP PROPN;SG _ PROPN;SG _ PROPN;SG _ PROPN;SG CONJ PROPN;SG PART 3;FIN;FUT;IND;SG;V ADV MASC;N;PL PST;V;V.PTCP ADP NFIN;V DET MASC;N;SG ADP PROPN;SG CONJ PROPN;SG _
da eil e vez erlec'hiet genoù liesseurt-kenañ -kenañ gant un doare gen hepken .	da eil e bezañ erlec’hiañ genoù liesseurt kenañ gant un doare gen hepken .	ADP NUM PART 3;FIN;HAB;PRS;SG;V PST;V;V.PTCP MASC;N;SG ADJ ADV ADP DET MASC;N;SG FEM;N;PL ADV _
cheñch a raio spontus e vuhez abalamour d' an enklask -se .	cheñch a ober spontus e buhez abalamour da an enklask se .	NFIN;V PART 3;FIN;FUT;IND;SG;V ADJ DET;PSS FEM;N;SG _ ADP DET MASC;N;SG ADV _
hervez ar vonreizh eo lakaet da vezañ " prezidant peurbadel " ar vro , goude e varv zoken .	hervez an bonreizh bezañ lakaat da bezañ " prezidant peurbadel " an bro , goude e marv zoken .	ADP DET FEM;N;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP ADP NFIN;V _ MASC;N;SG ADJ _ DET FEM;N;SG _ ADP DET;PSS MASC;N;SG ADV _
selaou a rit an avel .	selaou a ober an avel .	NFIN;V PART 2;FIN;IND;PL;PRS;V DET MASC;N;SG _
ar yaou da noz a vo gouestlet , evel warlene , d ar sonerezh gall .	an yaou da noz a bezañ gouestlañ , evel warlene , da an sonerezh gall .	DET MASC;N ADP FEM;N;SG PART 3;FIN;FUT;IND;SG;V PST;V;V.PTCP _ ADP ADV _ ADP DET MASC;N;SG ADJ _
na ziskouezit ket din _ an ti !	na diskouez ket da indirect an ti !	NEG;PART 2;PL;V ADV ADP 1;ACC;PRO;SG DET MASC;N;SG _
kinnig a ra ar gevredigezh kentelioù an noz un dibenn-sizhun staj er poulgwenn ( 44 ) d ar sadorn 15 ha d ar sul 16 a viz meurzh 2008 .	kinnig a ober an kevredigezh kentel an noz un dibenn-sizhun staj e ar poulgwenn ( 44 ) da an sadorn 15 ha da an sul 16 a miz meurzh 2008 .	NFIN;V PART 3;FIN;IND;PRS;SG;V DET FEM;N;SG FEM;N;PL DET FEM;N;SG DET MASC;N;SG MASC;N;SG ADP PROPN;SG _ NUM;PL _ ADP DET MASC;N NUM;PL CONJ ADP DET MASC;N NUM;PL ADP _ MASC;N NUM;PL _
ret eo d an dud dont .	ret bezañ da an den dont .	ADJ 3;FIN;IND;PRS;SG;V ADP DET MASC;N;PL NFIN;V _
n' eo ket gwezet an ti .	ne bezañ ket gwerzhañ an ti .	ADV;NEG 3;FIN;IND;PRS;SG;V ADV PST;V;V.PTCP DET MASC;N;SG _
da gemper emaon o vont .	da kemper bezañ o mont .	ADP PROPN;SG 1;FIN;IND;PRS;SG;V PART NFIN;V _
bremañ o gwelan .	bremañ direct gwelout .	ADV 3;ACC;PL;PRO 1;FIN;IND;PRS;SG;V _
ul lec'h evit kinnigoù hag eskemmoù eo ivez .	un lec’h evit kinnig ha eskemm bezañ ivez .	DET MASC;N;SG ADP MASC;N;PL CONJ MASC;N;PL 3;FIN;IND;PRS;SG;V ADV _
un anv - tiegezh eo genver ivez .	un anv - tiegezh bezañ genver ivez .	DET MASC;N;SG _ MASC;N;SG 3;FIN;IND;PRS;SG;V MASC;N ADV _
merket e vo poentoù ganeoc h pa dizhoc'h harnez ar c'hoarierien all .	merkañ e bezañ poent gant indirect pa tizhout harnez an c’hoarier all .	PST;V;V.PTCP PART 3;FIN;FUT;IND;SG;V MASC;N;PL ADP 2;ACC;PL;PRO CONJ 2;FIN;FUT;IND;PL;V MASC;N;SG DET MASC;N;PL ADJ _
degouezhet eo da drede .	degouezhout bezañ da trede .	PST;V;V.PTCP 3;FIN;IND;PRS;SG;V ADP ADJ _
e dad , olier iañ klison , a reas brezel da yann iañ , dug breizh .	e tad , olier iañ klison , a ober brezel da yann iañ , dug breizh .	DET;PSS MASC;N;SG _ MASC;PROPN;SG MASC;PROPN;SG PROPN;SG _ PART 3;FIN;PST;SG;V MASC;N;SG ADP MASC;PROPN;SG MASC;PROPN;SG _ MASC;N;SG PROPN;SG _
pegement e labour -hi e-pad an devezh ?	pegement e labourat prpers e-pad an devezh ?	ADV PART 3;FIN;IND;PRS;SG;V 3;FEM;NOM;PRO;SG ADP DET MASC;N;SG _
glav a ra .	glav a ober .	MASC;N;SG PART 3;FIN;IND;PRS;SG;V _
ne labour ket amañ .	ne labourat ket amañ .	ADV;NEG 3;FIN;IND;PRS;SG;V ADV ADV _
er _ mod -se eo bet saveteet gouenn " yer - koukoug bro-roazhon " pe an deñved bihan eus enez eusa .	e an mod se bezañ bezañ saveteiñ gouenn " yar - koukoug bro-roazhon " pe an dañvad bihan eus enez eusa .	ADP DET MASC;N;SG ADV 3;FIN;IND;PRS;SG;V PST;V;V.PTCP PST;V;V.PTCP FEM;N;SG _ FEM;N;PL _ FEM;N;SG PROPN;SG _ CONJ DET MASC;N;PL ADJ ADP FEM;N;SG PROPN;SG _
brav e vo an amzer pe glav a vo .	brav e bezañ an amzer pe glav a bezañ .	ADJ PART 3;FIN;FUT;IND;SG;V DET FEM;N;SG CONJ MASC;N;SG PART 3;FIN;FUT;IND;SG;V _
distrujet hag aloubet e voe war-lerc’h gant ar vikinged e deroù an x kantved .	distrujañ ha aloubiñ e bezañ war-lerc’h gant an viking e deroù an x kantved .	PST;V;V.PTCP CONJ PST;V;V.PTCP PART 3;FIN;PST;SG;V ADV ADP DET MASC;N;PL _ ADP DET NUM MASC;N;SG _
yann a chomo er r ger rak fall eo an amzer .	yann a chom e an ger rak fall bezañ an amzer .	MASC;PROPN;SG PART 3;FIN;FUT;IND;SG;V ADP DET MASC;N;SG CONJ ADJ 3;FIN;IND;PRS;SG;V DET FEM;N;SG _
kemmañ ar bannoù hag an arventennoù	kemmañ an bann ha an arventenn	NFIN;V DET MASC;N;PL CONJ DET FEM;N;PL
karget eo da genurzhiañ ar studioù war an dachenn geltiek .	kargañ bezañ da kenurzhiañ an studi war an tachenn keltiek .	PST;V;V.PTCP 3;FIN;IND;PRS;SG;V ADP NFIN;V DET FEM;N;PL ADP DET FEM;N;SG ADJ _
dastumadoù ha tud	dastumad ha den	MASC;N;PL CONJ MASC;N;PL
doare-skrivañ pennañ ar brezhoneg eo hiziv .	doare-skrivañ pennañ an brezhoneg bezañ hiziv .	MASC;N;SG ADJ DET MASC;N;SG 3;FIN;IND;PRS;SG;V ADV _
yann endeus debret e voued er r wetur .	yann kaout debriñ e boued e an gwetur .	MASC;PROPN;SG 3;FIN;IND;MASC;PRS;SG;V PST;V;V.PTCP DET;PSS MASC;N;SG ADP DET FEM;N;SG _
niv. d' ober war an douchennaoueg	niv. da ober war an touchennaoueg	MASC;N;SG ADP NFIN;V ADP DET FEM;N;SG
hervez un enklask kaset en-dro gant fañch broudig ha tmo , paeet gant kuzul rannvro breizh , ne vije nemet 207 000 brezhoneger ken e 2007 .	hervez un enklask kas en-dro gant fañch broudig ha tmo , paeañ gant kuzul rannvro breizh , ne bezañ nemet 207 000 brezhoneger ken e 2007 .	ADP DET MASC;N;SG PST;V;V.PTCP ADV ADP MASC;PROPN;SG PROPN;SG CONJ MASC;N;SG _ PST;V;V.PTCP ADP MASC;N;SG FEM;N;SG PROPN;SG _ ADV;NEG 3;SG;V ADP _ NUM;PL MASC;N;SG ADV ADP NUM;PL _
krouet e oa ar rannvro breizh ez-ofisiel e 1943 gant gouarnamant vichy , enni nni pevar departamant eus breizh istorel hepken .	krouiñ e bezañ an rannvro breizh ez-ofisiel e 1943 gant gouarnamant vichy , e indirect pevar departamant eus breizh istorel hepken .	PST;V;V.PTCP PART 3;FIN;IND;PST;SG;V DET FEM;N;SG PROPN;SG ADJ ADP NUM;PL ADP MASC;N;SG PROPN;SG _ ADP 3;ACC;FEM;PRO;SG MASC;NUM;PL MASC;N;SG ADP PROPN;SG ADJ ADV _
ne douin ket ne oa netra da damall d am distagadur .	ne touiñ ket ne bezañ netra da tamall da ma distagadur .	ADV;NEG 1;FIN;FUT;IND;SG;V ADV ADV;NEG 3;FIN;IND;PST;SG;V PRO;SG ADP NFIN;V ADP DET MASC;N;SG _
hi a blijfe dezhi _ debriñ ur grampouezhenn vras .	prpers a plijout da indirect debriñ un krampouezh bras .	3;FEM;NOM;PRO;SG PART 3;COND;SG;V ADP 3;ACC;FEM;PRO;SG NFIN;V DET FEM;N;SG ADJ _
fellout a ra dezho _ e vefe savet un destenn ofisiel a-benn anzav n' eo ket doujet ouzh o gwirioù abaoe trevadennerezh aostralia gant ar rouantelezh .	fellout a ober da indirect e bezañ sevel un testenn ofisiel a-benn anzav ne bezañ ket doujañ ouzh o gwir abaoe trevadennerezh aostralia gant an rouantelezh .	NFIN;V PART 3;FIN;IND;PRS;SG;V ADP 3;ACC;PL;PRO PART 3;COND;SG;V PST;V;V.PTCP DET FEM;N;SG ADJ ADP NFIN;V ADV;NEG 3;FIN;IND;PRS;SG;V ADV PST;V;V.PTCP ADP DET MASC;N;PL ADP MASC;N;SG PROPN;SG ADP DET FEM;N;SG _
un ti zo ganeoc h .	un ti bezañ gant indirect .	DET MASC;N;SG 3;FIN;IND;PRS;SG;V ADP 2;ACC;PL;PRO _
ret eo dezhañ _ dont .	ret bezañ da indirect dont .	ADJ 3;FIN;IND;PRS;SG;V ADP 3;ACC;MASC;PRO;SG NFIN;V _
grit anaoudegezh gant istor an hollved kontet deoc h a-hed e bazennoù bras war-bouez gerioù eeun dalc'hmat .	ober anaoudegezh gant istor an hollved kontañ da indirect a-hed e pazenn bras war-bouez ger eeun dalc’hmat .	2;PL;V FEM;N;SG ADP MASC;N;SG DET MASC;N;SG PST;V;V.PTCP ADP 2;ACC;PL;PRO ADP DET;PSS FEM;N;PL ADJ ADP MASC;N;PL ADJ ADV _
ur stourm a ranko kenderc'hel ( ha marteze dont da vezañ ... nerzhusoc'h ) ma fell d ar vretoned bezañ doujet evit pezh a sell ouzh skignañ o yezh er r radio .	un stourm a rankout kenderc’hel ( ha marteze dont da bezañ ... nerzhus ) ma fellout da an breton bezañ doujañ evit pezh a sellout ouzh skignañ o yezh e an radio .	DET MASC;N;SG PART 3;FIN;FUT;IND;SG;V NFIN;V _ CONJ ADV NFIN;V ADP NFIN;V _ ADJ;CMPR _ CONJ 3;FIN;IND;PRS;SG;V ADP DET MASC;N;PL NFIN;V PST;V;V.PTCP ADP _ PRO;SG 3;FIN;IND;PRS;SG;V ADP NFIN;V DET FEM;N;SG ADP DET MASC;N;SG _
diskouezit din _ an ti !	diskouez da indirect an ti !	2;PL;V ADP 1;ACC;PRO;SG DET MASC;N;SG _
buan 'ni e rede dre ar parkeier .	buan hini e redek dre an park .	ADV PRO PART 3;FIN;IND;PST;SG;V ADP DET MASC;N;PL _
aesoc'h e vo an traoù deoc h .	aes e bezañ an tra da indirect .	ADJ;CMPR PART 3;FIN;FUT;IND;SG;V DET MASC;N;PL ADP 2;ACC;PL;PRO _
antreal a rae hor bro en n istor .	antreal a ober hon bro e an istor .	NFIN;V PART 3;FIN;IND;PST;SG;V DET FEM;N;SG ADP DET MASC;N;SG _
mard eo bet trec'het breizh er r brezelioù bras , he yezh a zo bepred ken bev ha biskoazh , he c'halon virvidik a lamm c'hoazh 'n he c'hreiz .	ma bezañ bezañ trec’hiñ breizh e an brezel bras , he yezh a bezañ bepred ken bev ha biskoazh , he kalon birvidik a lammat c’hoazh un he kreiz .	CONJ 3;FIN;IND;PRS;SG;V PST;V;V.PTCP PST;V;V.PTCP PROPN;SG ADP DET MASC;N;PL ADJ _ DET;PSS FEM;N;SG PART 3;FIN;IND;PRS;SG;V ADV ADV ADJ CONJ ADV _ DET;PSS FEM;N;SG ADJ PART 3;FIN;IND;PRS;SG;V ADV DET DET;PSS MASC;N;SG _
met ne oa nemet penn-kentañ an nozvezh , an traoù a c'helle cheñch buan .	met ne bezañ nemet penn-kentañ an nozvezh , an tra a gellout cheñch buan .	CONJ ADV;NEG 3;FIN;IND;PST;SG;V ADJ MASC;N;SG DET FEM;N;SG _ DET MASC;N;PL PART 3;FIN;IND;PST;SG;V NFIN;V ADV _
gallout a rin ober kement-se .	gallout a ober ober kement-se .	NFIN;V PART 1;FIN;FUT;IND;SG;V NFIN;V PRO;SG _
eilañ ar grafik	eilañ an grafik	NFIN;V DET MASC;N;SG
standoù ar c'hevredigezhioù	stand an kevredigezh	MASC;N;PL DET FEM;N;PL
graet e oa kalz pezhioù moneiz .	ober e bezañ kalz pezh moneiz .	PST;V;V.PTCP PART 3;FIN;IND;PST;SG;V ADP MASC;N;PL MASC;N;SG _
goude gerioù fromus ar ganerez nolwenn korbell e oa bet kaset an dibunadeg war-raok gant startijenn liseidi ha skolajidi an hentad kelenn dre soubidigezh .	goude ger fromus an kaner nolwenn korbell e bezañ bezañ kas an dibunadeg war-raok gant startijenn lisead ha skolajiad an hentad kelenn dre soubidigezh .	ADP MASC;N;PL ADJ DET FEM;N;SG FEM;PROPN;SG PROPN;SG PART 3;FIN;IND;PST;SG;V PST;V;V.PTCP PST;V;V.PTCP DET FEM;N;SG ADV ADP FEM;N;SG MASC;N;PL CONJ MASC;N;PL DET MASC;N;SG MASC;N;SG ADP FEM;N;SG _
er _ bloavezhioù 80 , e sina .	e an bloavezh 80 , e sina .	ADP DET MASC;N;PL NUM;PL _ ADP PROPN;SG _
pa vo prest e teuio lenaig da gêr .	pa bezañ prest e dont lenaig da kêr .	CONJ 3;FIN;FUT;IND;SG;V ADJ PART 3;FIN;FUT;IND;SG;V FEM;PROPN;SG ADP FEM;N;SG _
me a ganas .	prpers a kanañ .	1;NOM;PRO;SG PART 3;FIN;PST;SG;V _
staliañ ar brezhoneg e diabarzh mont en-dro ho framm	staliañ an brezhoneg e diabarzh mont en-dro ho framm	NFIN;V DET MASC;N;SG _ ADP _ MASC;N;SG DET MASC;N;SG
deut eo yannig da verañ labourer-douar .	dont bezañ yannig da merañ labourer-douar .	PST;V;V.PTCP 3;FIN;IND;PRS;SG;V MASC;PROPN;SG ADP NFIN;V MASC;N;SG _
hag int kroget da c'hounit tachenn en-dro memes tra .	ha bezañ kregiñ da gounit tachenn en-dro memes tra .	CONJ 3;FIN;IND;PL;PRS;V PST;V;V.PTCP ADP NFIN;V FEM;N;SG ADV _ ADV _
klask a raint o mignoned .	klask a ober o mignon .	NFIN;V PART 3;FIN;FUT;IND;PL;V DET MASC;N;PL _
mouezhiadegoù peurheñvel a voe aozet gant kuzul-rannvro breizh ivez .	mouezhiadeg peurheñvel a bezañ aozañ gant kuzul-rannvro breizh ivez .	FEM;N;PL ADJ PART 3;FIN;PST;SG;V PST;V;V.PTCP ADP MASC;N;SG PROPN;SG ADV _
diskouezadegoù skeudennoù a vez graet ingal gant skol diwan roazhon .	diskouezadeg skeudenn a bezañ ober ingal gant skol diwan roazhon .	FEM;N;PL FEM;N;PL PART 3;FIN;HAB;PRS;SG;V PST;V;V.PTCP ADV ADP FEM;N;SG PROPN;SG PROPN;SG _
ur vro eo breizh .	un bro bezañ breizh .	DET FEM;N;SG 3;FIN;IND;PRS;SG;V PROPN;SG _
da roazhon ez in -me .	da roazhon e mont prpers .	ADP PROPN;SG PART 1;FIN;FUT;IND;SG;V 1;NOM;PRO;SG _
keñveriañ an teul -mañ gant ar stumm enrollet da ziwezhañ war ar servijer .	keñveriañ an teul mañ gant an stumm enrollañ da diwezhañ war an servijer .	NFIN;V DET MASC;N;SG ADV ADP DET MASC;N;SG PST;V;V.PTCP ADP ADJ ADP DET MASC;N;SG _
savet eo bet dija .	sevel bezañ bezañ dija .	PST;V;V.PTCP 3;FIN;IND;PRS;SG;V PST;V;V.PTCP ADV _
lazhet e oa tud ha serret e oa tibet d an estrañjourien .	lazhañ e bezañ den ha serriñ e bezañ tibet da an estrañjour .	PST;V;V.PTCP PART 3;FIN;IND;PST;SG;V MASC;N;PL CONJ PST;V;V.PTCP PART 3;FIN;IND;PST;SG;V PROPN;SG ADP DET MASC;N;PL _
ezel eus kevredigezh al livourien - engraverien c'hall , e produ dourioù - kreñv .	ezel eus kevredigezh an livour - engraver gall , e produiñ dour - kreñv .	MASC;N;SG ADP FEM;N;SG DET MASC;N;PL _ MASC;N;PL ADJ _ PART 3;FIN;IND;PRS;SG;V MASC;N;PL _ ADJ _
debriñ a ra mona he boued er r gegin .	debriñ a ober mona he boued e an kegin .	NFIN;V PART 3;FIN;IND;PRS;SG;V FEM;PROPN;SG DET;PSS MASC;N;SG ADP DET FEM;N;SG _
bremañ ne lennont ket ar vugale .	bremañ ne lenn ket an bugel .	ADV ADV;NEG 3;FIN;IND;PL;PRS;V ADV DET MASC;N;PL _
war-dro 300.000 annezad zo enni nni .	war-dro 300.000 annezad bezañ e indirect .	ADV NUM;PL MASC;N;SG 3;FIN;IND;PRS;SG;V ADP 3;ACC;FEM;PRO;SG _
a-bouez bras eo al livioù .	a-bouez bras bezañ an liv .	ADJ ADJ 3;FIN;IND;PRS;SG;V DET MASC;N;PL _
me a gano .	prpers a kanañ .	1;NOM;PRO;SG PART 3;FIN;FUT;IND;SG;V _
e voued endeus debret yann er r wetur .	e boued kaout debriñ yann e an gwetur .	DET;PSS MASC;N;SG 3;FIN;IND;MASC;PRS;SG;V PST;V;V.PTCP MASC;PROPN;SG ADP DET FEM;N;SG _
war tachenn al labour e vo mat-kenañ -kenañ lodenn gentañ 2006 .	war tachenn an labour e bezañ mat kenañ lodenn kentañ 2006 .	ADP FEM;N;SG DET MASC;N;SG PART 3;FIN;FUT;IND;SG;V ADJ ADV FEM;N;SG ADJ NUM;PL _
ar voudaegezh a vez kemeret a-wechoù evel prederouriezh pe evel ur relijion .	an boudaegezh a bezañ kemer a-wezhioù evel prederouriezh pe evel un relijion .	DET FEM;N;SG PART 3;FIN;HAB;PRS;SG;V PST;V;V.PTCP ADV ADP FEM;N;SG CONJ ADP DET FEM;N;SG _
yann a zibab ul levr .	yann a dibab un levr .	MASC;PROPN;SG PART 3;FIN;IND;PRS;SG;V DET MASC;N;SG _
ur film dudius eo neuze , met hep a-walc'h a bersonelezh evit ma vefe dispar .	un film dudius bezañ neuze , met hep a-walc’h a personelezh evit ma bezañ dispar .	DET MASC;N;SG ADJ 3;FIN;IND;PRS;SG;V ADV _ CONJ ADP ADV ADP FEM;N;SG _ CONJ 3;COND;SG;V ADJ _
gellout a reer gwelet skeudennoù eus al labourioù -se en n diskouezadeg .	gellout a ober gwelout skeudenn eus an labour se e an diskouezadeg .	NFIN;V PART FIN;IND;PRS;V NFIN;V FEM;N;PL ADP DET MASC;N;PL ADV ADP DET FEM;N;SG _
kerzhet honeus e-pad 2 eurvezh .	kerzhout kaout e-pad 2 eurvezh .	PST;V;V.PTCP 1;FIN;IND;PL;PRS;V ADP NUM;PL FEM;N;SG _
cheñchet odeus , met e gwirionez n' odeus ket cheñchet .	cheñch kaout , met e gwirionez ne kaout ket cheñch .	PST;V;V.PTCP 3;FIN;IND;PL;PRS;V _ CONJ ADP FEM;N;SG ADV;NEG 3;FIN;IND;PL;PRS;V ADV PST;V;V.PTCP _
priziet eo ar brezhoneg gant ar gevredigezh hiziv an deiz , met ezhomm hedeus bezañ emskiantekoc’h eus talvoudegezh ar yezh .	priziañ bezañ an brezhoneg gant an kevredigezh hiziv an deiz , met ezhomm kaout bezañ emskiantek eus talvoudegezh an yezh .	PST;V;V.PTCP 3;FIN;IND;PRS;SG;V DET MASC;N;SG ADP DET FEM;N;SG _ _ ADV _ CONJ MASC;N;SG 3;FEM;FIN;IND;PRS;SG;V NFIN;V ADJ;CMPR ADP FEM;N;SG DET FEM;N;SG _
tri bugel a zeuas d ar priedoù .	tri bugel a dont da an pried .	MASC;NUM;PL MASC;N;SG PART 3;FIN;PST;SG;V ADP DET MASC;N;PL _
tri fezh-c'hoari e brezhoneg a vo kinniget d an 10 , 19 ha 24 .	tri pezh-c’hoari e brezhoneg a bezañ kinnig da an 10 , 19 ha 24 .	MASC;NUM;PL MASC;N;SG ADP MASC;N;SG PART 3;FIN;FUT;IND;SG;V PST;V;V.PTCP ADP DET NUM;PL _ NUM;PL CONJ NUM;PL _
kousket ne rin ket .	kousket ne ober ket .	NFIN;V ADV;NEG 1;FIN;FUT;IND;SG;V ADV _
yaouank eo .	yaouank bezañ .	ADJ 3;FIN;IND;PRS;SG;V _
kavet odoa ar soudarded c'hazh dindan ar gador .	kavout kaout an soudard kazh dindan an kador .	PST;V;V.PTCP 3;FIN;IND;PL;PST;V DET MASC;N;PL MASC;N;SG ADP DET FEM;N;SG _
poent eo din _ mont .	poent bezañ da indirect mont .	MASC;N;SG 3;FIN;IND;PRS;SG;V ADP 1;ACC;PRO;SG NFIN;V _
petra ' ra dit _ gouelañ ?	petra a ober da indirect gouelañ ?	PRO PART 3;FIN;IND;PRS;SG;V ADP 2;ACC;PRO;SG NFIN;V _
gant ar servijer -mañ e vez goulennet diganin _ kevreañ	gant an servijer mañ e bezañ goulenn digant indirect kevreañ	ADP DET MASC;N;SG ADV PART 3;FIN;HAB;PRS;SG;V PST;V;V.PTCP ADP 1;ACC;PRO;SG NFIN;V
5 .	5 .	NUM;PL _
