това застрашава живота на военните ни разведки зад граница , реагираха специалисти .	този застрашавам живот на военен наш разведка зад граница , реагирам специалист .	NEUT;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V DEF;MASC;N;SG ADP ADJ;DEF;PL 1;PRO FEM;INDF;N;PL ADP FEM;INDF;N;SG _ 3;ACT;FIN;IND;PFV;PL;PST;V INDF;MASC;N;PL _
а тази кампания беше абсолютно необходима .	а този кампания съм абсолютно необходим .	CONJ DET;FEM;NOM;SG FEM;INDF;N;SG 3;ACT;FIN;IND;IPFV;PST;SG;V ADV ADJ;FEM;INDF;SG _
смъртността ще спадне в по-голяма степен , ако възрастните пушачи успеят да скъсат с нездравословния навик , но лекарите твърдят , че на всяка възраст е полезно човек да се откаже от цигарите .	смъртност ще спадна в голям степен , ако възрастен пушач успея да скъсам-(се) с нездравословен навик , но лекар твърдя , че на всеки възраст съм полезно човек да се откажа-(се) от цигара .	DEF;FEM;N;SG V 3;ACT;FIN;IND;PFV;PRS;SG;V ADP ADJ;CMPR;FEM;INDF;SG FEM;INDF;N;SG _ CONJ ADJ;DEF;PL INDF;MASC;N;PL 3;ACT;FIN;IND;PFV;PL;PRS;V V 3;ACT;FIN;IND;PFV;PL;PRS;V ADP ADJ;DEF;MASC;SG INDF;MASC;N;SG _ CONJ DEF;MASC;N;PL 3;ACT;FIN;IND;IPFV;PL;PRS;V _ CONJ ADP DET;FEM;SG FEM;INDF;N;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ADV INDF;MASC;N;SG V ACC;PRO;REFL 3;ACT;FIN;IND;PFV;PRS;SG;V ADP DEF;FEM;N;PL _
вторият основен дебат е каква система на социално подпомагане да имаме .	втори основен дебат съм какъв система на социален подпомагане да имам .	ADJ;DEF;MASC;SG ADJ;INDF;MASC;SG INDF;MASC;N;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V DET;FEM;SG FEM;INDF;N;SG ADP ADJ;INDF;NEUT;SG INDF;N;NEUT;SG V 1;ACT;FIN;IND;IPFV;PL;PRS;V _
ечемикът е готов .	ечемик съм готов .	DEF;MASC;N;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ADJ;INDF;MASC;SG _
- важното е стоката да е качествена и евтина .	- важен съм стока да съм качествен и евтин .	_ ADJ;DEF;NEUT;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V DEF;FEM;N;SG V 3;ACT;FIN;IND;IPFV;PRS;SG;V ADJ;FEM;INDF;SG CONJ ADJ;FEM;INDF;SG _
ще искаме д-р жанина калинкова незабавно да освободи шефския пост в добричката болница , обяви вчера и председателят на бсп в града ясен пенчев .	ще искам д-р жанина калинкова незабавно да освободя-(се) шефски пост в добрички болница , обявя-(се) вчера и председател на бсп в град ясен пенчев .	V 1;ACT;FIN;IND;IPFV;PL;PRS;V INDF;MASC;N;SG FEM;INDF;PROPN;SG FEM;INDF;PROPN;SG ADV V 3;ACT;FIN;IND;PFV;PRS;SG;V ADJ;DEF;MASC;SG INDF;MASC;N;SG ADP ADJ;DEF;FEM;SG FEM;INDF;N;SG _ 3;ACT;FIN;IND;PFV;PST;SG;V ADV CONJ DEF;MASC;N;SG ADP FEM;INDF;PROPN;SG ADP DEF;MASC;N;SG INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG _
докато шейтанов не бъде допуснат до материалите , няма смисъл да пътува за либия , отвърна антоанета узунова в отговор на репортерски въпрос дали адвокатът ще замине за делото на 4 ноември .	докато шейтанов не бъда допусна до материал , нямам смисъл да пътувам за либия , отвърна-(се) антоанета узунова в отговор на репортерски въпрос дали адвокат ще замина за дело на четвърти ноември .	CONJ INDF;MASC;PROPN;SG NEG;PART 3;ACT;FIN;IND;PFV;PRS;SG;V INDF;MASC;PASS;PFV;SG;V;V.PTCP ADP DEF;MASC;N;PL _ 3;ACT;FIN;IND;IPFV;PRS;SG;V INDF;MASC;N;SG V 3;ACT;FIN;IND;IPFV;PRS;SG;V ADP FEM;INDF;PROPN;SG _ 3;ACT;FIN;IND;PFV;PST;SG;V FEM;INDF;PROPN;SG FEM;INDF;PROPN;SG ADP INDF;MASC;N;SG ADP ADJ;INDF;MASC;SG INDF;MASC;N;SG PART DEF;MASC;N;SG V 3;ACT;FIN;IND;PFV;PRS;SG;V ADP DEF;N;NEUT;SG ADP ADJ;INDF;MASC;SG INDF;MASC;N;SG _
свързва се с депресия , тревожност , себеомаловажаване , лошо психично здраве , трудности в отношенията с другите , песимизъм , безнадеждност , ниска самооценка , неразрешен гняв и липса на удовлетворение от живота .	свързвам-(се) се с депресия , тревожност , себеомаловажаване , лош психичен здраве , трудност в отношение с друг , песимизъм , безнадеждност , нисък самооценка , неразрешен гняв и липса на удовлетворение от живот .	3;ACT;FIN;IND;IPFV;PRS;SG;V ACC;PRO;REFL ADP FEM;INDF;N;SG _ FEM;INDF;N;SG _ INDF;N;NEUT;SG _ ADJ;INDF;NEUT;SG ADJ;INDF;NEUT;SG INDF;N;NEUT;SG _ FEM;INDF;N;PL ADP DEF;N;NEUT;PL ADP ADJ;DEF;PL _ INDF;MASC;N;SG _ FEM;INDF;N;SG _ ADJ;FEM;INDF;SG FEM;INDF;N;SG _ ADJ;INDF;MASC;SG INDF;MASC;N;SG CONJ FEM;INDF;N;SG ADP INDF;N;NEUT;SG ADP DEF;MASC;N;SG _
както видяхте и в този случай има бивши служители на мвр , разбирайте държавна сигурност , които си пазят бяла информация за черни дни и не се знае кога ще решат да я използват по този начин	както видя-(се) и в този случай има бивш служител на мвр , разбирам-(се) държавен сигурност , който се пазя-(се) бял информация за черен ден и не се знам кога ще реша да аз използвам по този начин	ADV 2;ACT;FIN;IND;PFV;PL;PST;V CONJ ADP DET;MASC;SG INDF;MASC;N;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ADJ;INDF;PL INDF;MASC;N;PL ADP INDF;NEUT;PROPN;SG _ 2;FIN;IMP;IPFV;PL;V ADJ;FEM;INDF;SG FEM;INDF;N;SG _ NOM;PL;PRO DAT;PRO;REFL 3;ACT;FIN;IND;IPFV;PL;PRS;V ADJ;FEM;INDF;SG FEM;INDF;N;SG ADP ADJ;INDF;PL INDF;MASC;N;PL CONJ NEG;PART ACC;PRO;REFL 3;ACT;FIN;IND;IPFV;PRS;SG;V ADV V 3;ACT;FIN;IND;PFV;PL;PRS;V V 3;ACC;FEM;PRO;SG 3;ACT;FIN;IND;IPFV;PL;PRS;V ADP DET;MASC;SG INDF;MASC;N;SG
основната причина за режима е изключването на парното , което работи на газ , и преминаването на по-голямата част от населението на отопление с електроуреди .	основен причина за режим съм изключване на парно , който работя на газ , и преминаване на голям част от население на отопление с електроуред .	ADJ;DEF;FEM;SG FEM;INDF;N;SG ADP DEF;MASC;N;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V DEF;N;NEUT;SG ADP DEF;N;NEUT;SG _ NEUT;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ADP FEM;INDF;N;SG _ CONJ DEF;N;NEUT;SG ADP ADJ;CMPR;DEF;FEM;SG FEM;INDF;N;SG ADP DEF;N;NEUT;SG ADP INDF;N;NEUT;SG ADP INDF;MASC;N;PL _
не следва това право да му се оспорва .	не следва този право да аз се оспорвам .	NEG;PART 3;ACT;FIN;IND;IPFV;PRS;SG;V DET;NEUT;NOM;SG INDF;N;NEUT;SG V 3;DAT;MASC;PRO;SG ACC;PRO;REFL 3;ACT;FIN;IND;IPFV;PRS;SG;V _
той може би ще ни лиши от част от илюзиите ни , но със сигурност ще ни предпази от нарастваща податливост към популизъм и дребни политически комбинации .	аз може съм ще аз лиша-(се) от част от илюзия наш , но със сигурност ще аз предпазя-(се) от нараствам податливост към популизъм и дребен политически комбинация .	3;MASC;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V 3;COND;FIN;IPFV;PST;SG;V V 1;ACC;PL;PRO 3;ACT;FIN;IND;PFV;PRS;SG;V ADP FEM;INDF;N;SG ADP DEF;FEM;N;PL 1;PRO _ CONJ ADP FEM;INDF;N;SG V 1;ACC;PL;PRO 3;ACT;FIN;IND;PFV;PRS;SG;V ADP ACT;ADJ;FEM;INDF;IPFV;PRS;SG;V.PTCP FEM;INDF;N;SG ADP INDF;MASC;N;SG CONJ ADJ;INDF;PL ADJ;INDF;PL FEM;INDF;N;PL _
- кои са новостите в областта на военномедицинското осигуряване ?	- кой съм новост в област на военномедицински осигуряване ?	_ NOM;PL;PRO 3;ACT;FIN;IND;IPFV;PL;PRS;V DEF;FEM;N;PL ADP DEF;FEM;N;SG ADP ADJ;DEF;NEUT;SG INDF;N;NEUT;SG _
мира перна силно ръката му .	мира перна силно ръка мой .	FEM;INDF;PROPN;SG 3;ACT;FIN;IND;PFV;PST;SG;V ADV DEF;FEM;N;SG 3;PRO _
до влизането на присъдата в сила двамата остават на свобода срещу гаранция от по 2000 лв.	до влизане на присъда в сила двама оставам на свобода срещу гаранция от по 2000 лев	ADP DEF;N;NEUT;SG ADP DEF;FEM;N;SG ADP FEM;INDF;N;SG DEF;NUM;PL 3;ACT;FIN;IND;IPFV;PL;PRS;V ADP FEM;INDF;N;SG ADP FEM;INDF;N;SG ADP ADP INDF;NUM;PL MASC;N
това е пряка функция от увеличаване на доверието към управляващата коалиция .	този съм пряк функция от увеличаване на доверие към управлявам коалиция .	NEUT;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ADJ;FEM;INDF;SG FEM;INDF;N;SG ADP INDF;N;NEUT;SG ADP DEF;N;NEUT;SG ADP ACT;ADJ;DEF;FEM;IPFV;PRS;SG;V.PTCP FEM;INDF;N;SG _
арташес тер-овсепян е единият от загиналите при експлозията в столичния хотел " амбасадор " на 15 ноември .	арташес тер-овсепян съм един от загина при експлозия в столичен хотел " амбасадор " на 15 ноември .	INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V DEF;DET;MASC;NOM;SG ADP ACT;ADJ;DEF;PFV;PL;PST;V.PTCP ADP DEF;FEM;N;SG ADP ADJ;DEF;MASC;SG INDF;MASC;N;SG _ INDF;MASC;PROPN;SG _ ADP ADJ;INDF;MASC;SG INDF;MASC;N;SG _
на избори 2001 едва ли обаче новите лица в парламента ще бъдат представители на някоя ултранационалистическа партия .	на избор 2001 едва ли обаче нов лице в парламент ще бъда представител на някой ултранационалистически партия .	ADP INDF;MASC;N;PL INDF;NUM;PL ADV PART ADV ADJ;DEF;PL INDF;N;NEUT;PL ADP DEF;MASC;N;SG V 3;ACT;FIN;IND;PFV;PL;PRS;V INDF;MASC;N;PL ADP DET;FEM;SG ADJ;FEM;INDF;SG FEM;INDF;N;SG _
танкер се запали на пристанището в пирея съобщи ройтерс .	танкер се запаля-(се) на пристанище в пирея съобщя ройтерс .	INDF;MASC;N;SG ACC;PRO;REFL 3;ACT;FIN;IND;PFV;PST;SG;V ADP DEF;N;NEUT;SG ADP FEM;INDF;PROPN;SG 3;ACT;FIN;IND;PFV;PST;SG;V INDF;MASC;PROPN;SG _
о , човек е хитър , той направя всичко , стига само да има тука .	о , човек съм хитър , аз направям-(се) всеки , стига само да има там .	INTJ _ INDF;MASC;N;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ADJ;INDF;MASC;SG _ 3;MASC;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V NEUT;NOM;PRO;SG _ PART ADV V 3;ACT;FIN;IND;IPFV;PRS;SG;V ADV _
с какво образование са постъпилите на кадрова служба жени ?	с какъв образование съм постъпя на кадрови служба жена ?	ADP DET;NEUT;SG INDF;N;NEUT;SG 3;ACT;FIN;IND;IPFV;PL;PRS;V ACT;ADJ;DEF;PFV;PL;PST;V.PTCP ADP ADJ;FEM;INDF;SG FEM;INDF;N;SG FEM;INDF;N;PL _
той се съгласи едва когато му показах документите .	аз се съглася-се едва когато аз покажа-(се) документ .	3;MASC;NOM;PRO;SG ACC;PRO;REFL 3;ACT;FIN;IND;PFV;PST;SG;V ADV ADV 3;DAT;MASC;PRO;SG 1;ACT;FIN;IND;PFV;PST;SG;V DEF;MASC;N;PL _
- много изискано .	- много изискано .	_ ADV;INDF;PL ADV _
затворили са ме в оня див край .	затворя-(се) съм аз в този див край .	ACT;INDF;PFV;PL;PST;V;V.PTCP 3;ACT;FIN;IND;IPFV;PL;PRS;V 1;ACC;PRO;SG ADP DET;MASC;SG ADJ;INDF;MASC;SG INDF;MASC;N;SG _
- съдове като картини	- съд като картина	_ INDF;MASC;N;PL ADP FEM;INDF;N;PL
начело е бразилия , следват франция , аржентина и др.	начело съм бразилия , следвам франция , аржентина и друг	ADV 3;ACT;FIN;IND;IPFV;PRS;SG;V FEM;INDF;PROPN;SG _ 3;ACT;FIN;IND;IPFV;PL;PRS;V FEM;INDF;PROPN;SG _ FEM;INDF;PROPN;SG CONJ ADJ;INDF;PL
наред с фоейрверките навред гърмяха тапи от шампанско .	наред с фойерверк навред гърмя тапа от шампанско .	ADV ADP DEF;MASC;N;PL ADV 3;ACT;FIN;IND;IPFV;PL;PST;V FEM;INDF;N;PL ADP INDF;N;NEUT;SG _
килограм контрабандни златни накити били изхвърлени в кошче за боклук на гкпп малко търново , съобщиха от бургаската митница .	килограм контрабанден златен накит съм изхвърля-(се) в кошче за боклук на гкпп малко търново , съобщя от бургаски митница .	INDF;MASC;N;SG ADJ;INDF;PL ADJ;INDF;PL INDF;MASC;N;PL ACT;IND;INDF;IPFV;PL;V;V.PTCP INDF;PASS;PFV;PL;V;V.PTCP ADP INDF;N;NEUT;SG ADP INDF;MASC;N;SG ADP INDF;MASC;PROPN;SG INDF;NEUT;PROPN;SG INDF;NEUT;PROPN;SG _ 3;ACT;FIN;IND;PFV;PL;PST;V ADP ADJ;DEF;FEM;SG FEM;INDF;N;SG _
синьото цвете цъфтеше , малки го моми беряха , че го на китки виеха .	син цвете цъфтя , малък аз мома бера , че аз на китка вия-(се) .	ADJ;DEF;NEUT;SG INDF;N;NEUT;SG 3;ACT;FIN;IND;IPFV;SG;V _ ADJ;INDF;PL 3;ACC;NEUT;PRO;SG FEM;INDF;N;PL 3;ACT;FIN;IND;IPFV;PL;V _ CONJ 3;ACC;NEUT;PRO;SG ADP FEM;INDF;N;PL 3;ACT;FIN;IND;IPFV;PL;V _
напускам , защото не одобряваме сегашното ръководство на мвр - министърът , заместник-министрите и главният секретар , каза коларов .	напускам , защото не одобрявам сегашен ръководство на мвр - министър , заместник-министър и главен секретар , кажа коларов .	1;ACT;FIN;IND;IPFV;PRS;SG;V _ ADV NEG;PART 1;ACT;FIN;IND;IPFV;PL;PRS;V ADJ;DEF;NEUT;SG INDF;N;NEUT;SG ADP INDF;NEUT;PROPN;SG _ DEF;MASC;N;SG _ DEF;MASC;N;PL CONJ ADJ;DEF;MASC;SG INDF;MASC;N;SG _ 3;ACT;FIN;IND;PFV;PST;SG;V INDF;MASC;PROPN;SG _
вуз-овете са поставени в хроничен финансов дефицит .	вуз-овете съм поставя-(се) в хроничен финансов дефицит .	INDF;MASC;PROPN;SG 3;ACT;FIN;IND;IPFV;PL;PRS;V INDF;PASS;PFV;PL;V;V.PTCP ADP ADJ;INDF;MASC;SG ADJ;INDF;MASC;SG INDF;MASC;N;SG _
дори и да не позная нито едно число , пак трябва шанс , за да спечеля колата .	дори и да не позная нито един число , пак трябва шанс , за да спечеля кола .	PART CONJ V NEG;PART 1;ACT;FIN;IND;PFV;PRS;SG;V NEG;PART INDF;NEUT;NUM;SG INDF;N;NEUT;SG _ ADV 3;ACT;FIN;IND;IPFV;PRS;SG;V INDF;MASC;N;SG _ ADP V 1;ACT;FIN;IND;PFV;PRS;SG;V DEF;FEM;N;SG _
в замяна на това гор ще се откаже от завеждането на съдебни дела в бъдеще , твърди в. " лос анжелис таймс " , цитиран от ройтерс .	в замяна на този гор ще се откажа-(се) от завеждане на съдебен дело в бъдеще , твърдя в. " лос анжелис таймс " , цитирам от ройтерс .	ADP FEM;INDF;N;SG ADP NEUT;NOM;PRO;SG INDF;MASC;PROPN;SG V ACC;PRO;REFL 3;ACT;FIN;IND;PFV;PRS;SG;V ADP DEF;N;NEUT;SG ADP ADJ;INDF;PL INDF;N;NEUT;PL ADP INDF;N;NEUT;SG _ 3;ACT;FIN;IND;IPFV;PRS;SG;V INDF;MASC;N;SG _ PROPN INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG _ _ ADJ;INDF;MASC;PASS;PFV;SG;V.PTCP ADP INDF;MASC;PROPN;SG _
